code,name
1,British or Mixed British
2,Irish
3,Other White
4,White + Black Caribbean
5,White + Black African
6,White + Asian
7,Other mixed
8,Indian or British Indian
9,Pakistani or British Pakistani
10, Bangladeshi or British Bangladeshi
11, Other Asian
12, Caribbean
13, African
14,Other Black
15, Chinese
16, Other
17, Not stated
,
