covid_vacc_date,1 Most deprived,2,3,4,5 Least deprived,Unknown,1 Most deprived_total,2_total,3_total,4_total,5 Least deprived_total,Unknown_total
2021-08-04,7.0,14.0,7.0,14.0,14.0,0.0,278796,227899,225673,213038,207158,31360
2021-08-05,14.0,21.0,14.0,21.0,21.0,0.0,278796,227899,225673,213038,207158,31360
2021-08-06,28.0,21.0,28.0,28.0,42.0,0.0,278796,227899,225673,213038,207158,31360
2021-08-07,28.0,28.0,35.0,63.0,56.0,7.0,278796,227899,225673,213038,207158,31360
2021-08-08,35.0,35.0,42.0,77.0,63.0,7.0,278796,227899,225673,213038,207158,31360
2021-08-09,35.0,42.0,49.0,84.0,77.0,14.0,278796,227899,225673,213038,207158,31360
2021-08-10,35.0,49.0,63.0,98.0,91.0,14.0,278796,227899,225673,213038,207158,31360
2021-08-11,56.0,63.0,84.0,112.0,112.0,14.0,278796,227899,225673,213038,207158,31360
2021-08-12,70.0,77.0,84.0,133.0,133.0,14.0,278796,227899,225673,213038,207158,31360
2021-08-13,91.0,84.0,98.0,154.0,147.0,14.0,278796,227899,225673,213038,207158,31360
2021-08-14,91.0,98.0,119.0,168.0,175.0,21.0,278796,227899,225673,213038,207158,31360
2021-08-15,98.0,105.0,119.0,182.0,182.0,21.0,278796,227899,225673,213038,207158,31360
2021-08-16,98.0,112.0,126.0,196.0,196.0,21.0,278796,227899,225673,213038,207158,31360
2021-08-17,112.0,119.0,140.0,224.0,217.0,28.0,278796,227899,225673,213038,207158,31360
2021-08-18,147.0,154.0,189.0,287.0,266.0,35.0,278796,227899,225673,213038,207158,31360
2021-08-19,196.0,189.0,217.0,322.0,301.0,42.0,278796,227899,225673,213038,207158,31360
2021-08-20,245.0,224.0,252.0,350.0,336.0,42.0,278796,227899,225673,213038,207158,31360
2021-08-21,329.0,294.0,336.0,434.0,413.0,49.0,278796,227899,225673,213038,207158,31360
2021-08-22,364.0,336.0,385.0,469.0,469.0,56.0,278796,227899,225673,213038,207158,31360
2021-08-23,406.0,385.0,427.0,525.0,525.0,70.0,278796,227899,225673,213038,207158,31360
2021-08-24,504.0,469.0,518.0,602.0,602.0,77.0,278796,227899,225673,213038,207158,31360
2021-08-25,595.0,560.0,637.0,728.0,763.0,84.0,278796,227899,225673,213038,207158,31360
2021-08-26,686.0,658.0,728.0,868.0,868.0,98.0,278796,227899,225673,213038,207158,31360
2021-08-27,763.0,735.0,805.0,966.0,959.0,112.0,278796,227899,225673,213038,207158,31360
2021-08-28,833.0,819.0,896.0,1064.0,1043.0,126.0,278796,227899,225673,213038,207158,31360
2021-08-29,889.0,868.0,938.0,1134.0,1120.0,133.0,278796,227899,225673,213038,207158,31360
2021-08-30,910.0,889.0,966.0,1169.0,1155.0,140.0,278796,227899,225673,213038,207158,31360
2021-08-31,952.0,959.0,1043.0,1232.0,1246.0,147.0,278796,227899,225673,213038,207158,31360
2021-09-01,1029.0,1036.0,1127.0,1330.0,1330.0,161.0,278796,227899,225673,213038,207158,31360
2021-09-02,1099.0,1134.0,1232.0,1428.0,1428.0,168.0,278796,227899,225673,213038,207158,31360
2021-09-03,1162.0,1197.0,1302.0,1526.0,1498.0,175.0,278796,227899,225673,213038,207158,31360
2021-09-04,1274.0,1302.0,1421.0,1624.0,1617.0,189.0,278796,227899,225673,213038,207158,31360
2021-09-05,1337.0,1358.0,1470.0,1666.0,1687.0,203.0,278796,227899,225673,213038,207158,31360
2021-09-06,1344.0,1358.0,1484.0,1680.0,1694.0,203.0,278796,227899,225673,213038,207158,31360
2021-09-07,1372.0,1393.0,1505.0,1715.0,1715.0,203.0,278796,227899,225673,213038,207158,31360
2021-09-08,1400.0,1414.0,1526.0,1750.0,1757.0,210.0,278796,227899,225673,213038,207158,31360
2021-09-09,1449.0,1463.0,1568.0,1806.0,1799.0,210.0,278796,227899,225673,213038,207158,31360
2021-09-10,1477.0,1505.0,1603.0,1855.0,1841.0,217.0,278796,227899,225673,213038,207158,31360
2021-09-11,1526.0,1561.0,1659.0,1911.0,1911.0,224.0,278796,227899,225673,213038,207158,31360
2021-09-12,1533.0,1575.0,1673.0,1925.0,1925.0,224.0,278796,227899,225673,213038,207158,31360
2021-09-13,1540.0,1589.0,1694.0,1946.0,1953.0,231.0,278796,227899,225673,213038,207158,31360
2021-09-14,1575.0,1624.0,1722.0,1967.0,1974.0,238.0,278796,227899,225673,213038,207158,31360
2021-09-15,1624.0,1673.0,1764.0,2030.0,2016.0,245.0,278796,227899,225673,213038,207158,31360
2021-09-16,1645.0,1694.0,1806.0,2065.0,2051.0,245.0,278796,227899,225673,213038,207158,31360
2021-09-17,1687.0,1750.0,1834.0,2100.0,2107.0,245.0,278796,227899,225673,213038,207158,31360
2021-09-18,1736.0,1792.0,1883.0,2156.0,2135.0,252.0,278796,227899,225673,213038,207158,31360
2021-09-19,1743.0,1799.0,1897.0,2163.0,2170.0,252.0,278796,227899,225673,213038,207158,31360
2021-09-20,1785.0,1848.0,1939.0,2240.0,2275.0,259.0,278796,227899,225673,213038,207158,31360
2021-09-21,1862.0,2072.0,2023.0,2317.0,2359.0,266.0,278796,227899,225673,213038,207158,31360
2021-09-22,2247.0,2541.0,2345.0,2716.0,2737.0,336.0,278796,227899,225673,213038,207158,31360
2021-09-23,2695.0,2940.0,2807.0,3297.0,3234.0,378.0,278796,227899,225673,213038,207158,31360
2021-09-24,3262.0,3423.0,3458.0,3962.0,4158.0,441.0,278796,227899,225673,213038,207158,31360
2021-09-25,3325.0,3472.0,3514.0,4032.0,4235.0,455.0,278796,227899,225673,213038,207158,31360
2021-09-26,3332.0,3486.0,3521.0,4046.0,4249.0,462.0,278796,227899,225673,213038,207158,31360
2021-09-27,4179.0,4277.0,4403.0,4998.0,5299.0,532.0,278796,227899,225673,213038,207158,31360
2021-09-28,5159.0,5404.0,5908.0,6335.0,7063.0,672.0,278796,227899,225673,213038,207158,31360
2021-09-29,5789.0,6328.0,7154.0,7658.0,8666.0,833.0,278796,227899,225673,213038,207158,31360
2021-09-30,6881.0,7399.0,8722.0,9170.0,10528.0,1008.0,278796,227899,225673,213038,207158,31360
2021-10-01,7770.0,8442.0,10045.0,10619.0,11879.0,1183.0,278796,227899,225673,213038,207158,31360
2021-10-02,7819.0,8498.0,10101.0,10682.0,11963.0,1197.0,278796,227899,225673,213038,207158,31360
2021-10-03,7840.0,8519.0,10157.0,10724.0,12068.0,1204.0,278796,227899,225673,213038,207158,31360
2021-10-04,8715.0,9576.0,11452.0,12075.0,13433.0,1358.0,278796,227899,225673,213038,207158,31360
2021-10-05,9688.0,10661.0,12789.0,13573.0,15694.0,1540.0,278796,227899,225673,213038,207158,31360
2021-10-06,10752.0,12075.0,14133.0,14987.0,17269.0,1715.0,278796,227899,225673,213038,207158,31360
2021-10-07,11921.0,13153.0,15428.0,16611.0,19271.0,1904.0,278796,227899,225673,213038,207158,31360
2021-10-08,13090.0,14294.0,16772.0,17941.0,21119.0,2058.0,278796,227899,225673,213038,207158,31360
2021-10-09,13167.0,14364.0,16849.0,18032.0,21210.0,2072.0,278796,227899,225673,213038,207158,31360
2021-10-10,13223.0,14392.0,16884.0,18095.0,21273.0,2079.0,278796,227899,225673,213038,207158,31360
2021-10-11,14427.0,15708.0,18242.0,19663.0,22806.0,2289.0,278796,227899,225673,213038,207158,31360
2021-10-12,16275.0,17640.0,20167.0,21770.0,25137.0,2534.0,278796,227899,225673,213038,207158,31360
2021-10-13,17941.0,19166.0,21847.0,23730.0,27377.0,2779.0,278796,227899,225673,213038,207158,31360
2021-10-14,19509.0,20657.0,23583.0,25382.0,29372.0,3003.0,278796,227899,225673,213038,207158,31360
2021-10-15,21161.0,22407.0,25249.0,26894.0,31122.0,3234.0,278796,227899,225673,213038,207158,31360
2021-10-16,21217.0,22547.0,25473.0,27104.0,31311.0,3262.0,278796,227899,225673,213038,207158,31360
2021-10-17,21266.0,22575.0,25515.0,27160.0,31353.0,3269.0,278796,227899,225673,213038,207158,31360
2021-10-18,23191.0,24255.0,26894.0,28714.0,32914.0,3479.0,278796,227899,225673,213038,207158,31360
2021-10-19,24619.0,26054.0,29022.0,30786.0,34748.0,3745.0,278796,227899,225673,213038,207158,31360
2021-10-20,26110.0,28014.0,30751.0,32746.0,36617.0,3969.0,278796,227899,225673,213038,207158,31360
2021-10-21,27608.0,29540.0,32550.0,34720.0,38759.0,4193.0,278796,227899,225673,213038,207158,31360
2021-10-22,29099.0,31213.0,34111.0,36253.0,40145.0,4417.0,278796,227899,225673,213038,207158,31360
2021-10-23,29267.0,31486.0,34482.0,36827.0,40656.0,4466.0,278796,227899,225673,213038,207158,31360
2021-10-24,29400.0,31661.0,34706.0,37093.0,40943.0,4487.0,278796,227899,225673,213038,207158,31360
2021-10-25,29883.0,32396.0,35742.0,38297.0,42294.0,4641.0,278796,227899,225673,213038,207158,31360
2021-10-26,30688.0,33250.0,36939.0,39599.0,43750.0,4795.0,278796,227899,225673,213038,207158,31360
2021-10-27,31682.0,34363.0,38325.0,41083.0,45500.0,4991.0,278796,227899,225673,213038,207158,31360
2021-10-28,32746.0,35609.0,40082.0,42910.0,47439.0,5222.0,278796,227899,225673,213038,207158,31360
2021-10-29,33474.0,36568.0,41440.0,44317.0,48930.0,5383.0,278796,227899,225673,213038,207158,31360
2021-10-30,34209.0,37450.0,42588.0,45542.0,50337.0,5516.0,278796,227899,225673,213038,207158,31360
2021-10-31,34839.0,38199.0,43610.0,46571.0,51660.0,5642.0,278796,227899,225673,213038,207158,31360
2021-11-01,36505.0,40040.0,45696.0,48713.0,54152.0,5936.0,278796,227899,225673,213038,207158,31360
2021-11-02,38633.0,42210.0,48048.0,51142.0,56553.0,6223.0,278796,227899,225673,213038,207158,31360
2021-11-03,40474.0,44142.0,50064.0,53676.0,59472.0,6566.0,278796,227899,225673,213038,207158,31360
2021-11-04,42448.0,46158.0,52276.0,56224.0,62237.0,6874.0,278796,227899,225673,213038,207158,31360
2021-11-05,44198.0,47950.0,54005.0,58016.0,63924.0,7126.0,278796,227899,225673,213038,207158,31360
2021-11-06,45094.0,48937.0,55209.0,59248.0,65233.0,7308.0,278796,227899,225673,213038,207158,31360
2021-11-07,45766.0,49756.0,56224.0,60291.0,66451.0,7441.0,278796,227899,225673,213038,207158,31360
2021-11-08,47131.0,51373.0,58177.0,62125.0,68089.0,7672.0,278796,227899,225673,213038,207158,31360
2021-11-09,48937.0,52927.0,60123.0,64050.0,69741.0,7889.0,278796,227899,225673,213038,207158,31360
2021-11-10,50463.0,54243.0,61572.0,65303.0,71316.0,8106.0,278796,227899,225673,213038,207158,31360
2021-11-11,51814.0,55769.0,63042.0,66969.0,72975.0,8316.0,278796,227899,225673,213038,207158,31360
2021-11-12,53046.0,56931.0,64204.0,68264.0,74676.0,8519.0,278796,227899,225673,213038,207158,31360
2021-11-13,53907.0,57827.0,65289.0,69461.0,75796.0,8680.0,278796,227899,225673,213038,207158,31360
2021-11-14,54481.0,58436.0,66038.0,70322.0,76727.0,8806.0,278796,227899,225673,213038,207158,31360
2021-11-15,55552.0,59626.0,67669.0,71820.0,78596.0,9072.0,278796,227899,225673,213038,207158,31360
2021-11-16,56455.0,60424.0,68775.0,72968.0,79898.0,9226.0,278796,227899,225673,213038,207158,31360
2021-11-17,57400.0,61194.0,69832.0,74256.0,81473.0,9415.0,278796,227899,225673,213038,207158,31360
2021-11-18,58464.0,62104.0,71085.0,75271.0,82502.0,9562.0,278796,227899,225673,213038,207158,31360
2021-11-19,59136.0,62895.0,72009.0,76335.0,83727.0,9716.0,278796,227899,225673,213038,207158,31360
2021-11-20,59710.0,63490.0,72674.0,76986.0,84329.0,9807.0,278796,227899,225673,213038,207158,31360
2021-11-21,60158.0,63882.0,73178.0,77497.0,84854.0,9877.0,278796,227899,225673,213038,207158,31360
2021-11-22,60816.0,64666.0,73920.0,78407.0,85449.0,9968.0,278796,227899,225673,213038,207158,31360
