covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White,Black_total,Mixed_total,Other_total,South Asian_total,Unknown_total,White_total
2020-12-08,0.0,0.0,0.0,14.0,14.0,126.0,19509,7945,16198,52388,140763,1039108
2020-12-09,0.0,7.0,0.0,21.0,49.0,441.0,19509,7945,16198,52388,140763,1039108
2020-12-10,7.0,7.0,14.0,35.0,77.0,728.0,19509,7945,16198,52388,140763,1039108
2020-12-11,14.0,14.0,14.0,56.0,112.0,1008.0,19509,7945,16198,52388,140763,1039108
2020-12-12,14.0,14.0,21.0,63.0,140.0,1225.0,19509,7945,16198,52388,140763,1039108
2020-12-13,21.0,21.0,21.0,84.0,161.0,1421.0,19509,7945,16198,52388,140763,1039108
2020-12-14,21.0,21.0,21.0,98.0,196.0,1652.0,19509,7945,16198,52388,140763,1039108
2020-12-15,28.0,28.0,35.0,119.0,245.0,2044.0,19509,7945,16198,52388,140763,1039108
2020-12-16,35.0,35.0,49.0,140.0,301.0,2569.0,19509,7945,16198,52388,140763,1039108
2020-12-17,42.0,42.0,56.0,175.0,385.0,3276.0,19509,7945,16198,52388,140763,1039108
2020-12-18,56.0,42.0,63.0,224.0,455.0,3906.0,19509,7945,16198,52388,140763,1039108
2020-12-19,63.0,49.0,70.0,266.0,525.0,4494.0,19509,7945,16198,52388,140763,1039108
2020-12-20,70.0,49.0,84.0,308.0,616.0,5250.0,19509,7945,16198,52388,140763,1039108
2020-12-21,84.0,56.0,91.0,371.0,707.0,6202.0,19509,7945,16198,52388,140763,1039108
2020-12-22,98.0,70.0,105.0,434.0,798.0,6993.0,19509,7945,16198,52388,140763,1039108
2020-12-23,112.0,77.0,126.0,518.0,896.0,8064.0,19509,7945,16198,52388,140763,1039108
2020-12-24,119.0,77.0,133.0,553.0,966.0,8589.0,19509,7945,16198,52388,140763,1039108
2020-12-25,119.0,77.0,133.0,553.0,966.0,8589.0,19509,7945,16198,52388,140763,1039108
2020-12-26,119.0,77.0,133.0,553.0,966.0,8603.0,19509,7945,16198,52388,140763,1039108
2020-12-27,119.0,77.0,140.0,553.0,973.0,8764.0,19509,7945,16198,52388,140763,1039108
2020-12-28,119.0,84.0,140.0,560.0,1001.0,9037.0,19509,7945,16198,52388,140763,1039108
2020-12-29,133.0,91.0,147.0,609.0,1071.0,9674.0,19509,7945,16198,52388,140763,1039108
2020-12-30,161.0,98.0,175.0,707.0,1232.0,11326.0,19509,7945,16198,52388,140763,1039108
2020-12-31,182.0,119.0,189.0,812.0,1414.0,12817.0,19509,7945,16198,52388,140763,1039108
2021-01-01,189.0,126.0,196.0,833.0,1463.0,13216.0,19509,7945,16198,52388,140763,1039108
2021-01-02,196.0,126.0,203.0,861.0,1498.0,13629.0,19509,7945,16198,52388,140763,1039108
2021-01-03,203.0,126.0,203.0,882.0,1533.0,13993.0,19509,7945,16198,52388,140763,1039108
2021-01-04,210.0,133.0,217.0,917.0,1582.0,14672.0,19509,7945,16198,52388,140763,1039108
2021-01-05,231.0,140.0,245.0,980.0,1708.0,15953.0,19509,7945,16198,52388,140763,1039108
2021-01-06,266.0,161.0,266.0,1078.0,1911.0,17871.0,19509,7945,16198,52388,140763,1039108
2021-01-07,308.0,189.0,301.0,1253.0,2184.0,20804.0,19509,7945,16198,52388,140763,1039108
2021-01-08,357.0,210.0,336.0,1449.0,2478.0,23821.0,19509,7945,16198,52388,140763,1039108
2021-01-09,392.0,231.0,371.0,1568.0,2758.0,26467.0,19509,7945,16198,52388,140763,1039108
2021-01-10,406.0,238.0,378.0,1645.0,2926.0,27881.0,19509,7945,16198,52388,140763,1039108
2021-01-11,441.0,252.0,406.0,1715.0,3150.0,30030.0,19509,7945,16198,52388,140763,1039108
2021-01-12,497.0,266.0,427.0,1834.0,3437.0,32655.0,19509,7945,16198,52388,140763,1039108
2021-01-13,546.0,287.0,462.0,1960.0,3773.0,35707.0,19509,7945,16198,52388,140763,1039108
2021-01-14,630.0,315.0,497.0,2107.0,4144.0,39193.0,19509,7945,16198,52388,140763,1039108
2021-01-15,693.0,350.0,546.0,2268.0,4592.0,43183.0,19509,7945,16198,52388,140763,1039108
2021-01-16,742.0,378.0,581.0,2436.0,4942.0,46585.0,19509,7945,16198,52388,140763,1039108
2021-01-17,791.0,392.0,602.0,2534.0,5173.0,48895.0,19509,7945,16198,52388,140763,1039108
2021-01-18,833.0,413.0,623.0,2632.0,5425.0,51534.0,19509,7945,16198,52388,140763,1039108
2021-01-19,889.0,441.0,658.0,2800.0,5754.0,54691.0,19509,7945,16198,52388,140763,1039108
2021-01-20,952.0,469.0,693.0,2996.0,6076.0,58149.0,19509,7945,16198,52388,140763,1039108
2021-01-21,1015.0,504.0,742.0,3178.0,6468.0,61698.0,19509,7945,16198,52388,140763,1039108
2021-01-22,1113.0,546.0,791.0,3423.0,6881.0,66045.0,19509,7945,16198,52388,140763,1039108
2021-01-23,1162.0,574.0,812.0,3584.0,7231.0,69636.0,19509,7945,16198,52388,140763,1039108
2021-01-24,1197.0,595.0,847.0,3703.0,7441.0,71883.0,19509,7945,16198,52388,140763,1039108
2021-01-25,1246.0,616.0,875.0,3829.0,7651.0,74193.0,19509,7945,16198,52388,140763,1039108
2021-01-26,1316.0,644.0,903.0,3962.0,7938.0,76923.0,19509,7945,16198,52388,140763,1039108
2021-01-27,1393.0,665.0,938.0,4137.0,8190.0,79548.0,19509,7945,16198,52388,140763,1039108
2021-01-28,1456.0,686.0,973.0,4298.0,8442.0,82397.0,19509,7945,16198,52388,140763,1039108
2021-01-29,1540.0,707.0,1008.0,4508.0,8771.0,85799.0,19509,7945,16198,52388,140763,1039108
2021-01-30,1596.0,728.0,1043.0,4669.0,8967.0,88543.0,19509,7945,16198,52388,140763,1039108
2021-01-31,1631.0,742.0,1078.0,4823.0,9170.0,90510.0,19509,7945,16198,52388,140763,1039108
2021-02-01,1680.0,756.0,1106.0,4949.0,9359.0,92379.0,19509,7945,16198,52388,140763,1039108
2021-02-02,1736.0,777.0,1141.0,5166.0,9569.0,94598.0,19509,7945,16198,52388,140763,1039108
2021-02-03,1820.0,805.0,1169.0,5390.0,9772.0,97195.0,19509,7945,16198,52388,140763,1039108
2021-02-04,1897.0,833.0,1211.0,5628.0,10010.0,100177.0,19509,7945,16198,52388,140763,1039108
2021-02-05,1974.0,868.0,1267.0,5908.0,10269.0,103082.0,19509,7945,16198,52388,140763,1039108
2021-02-06,2030.0,889.0,1302.0,6160.0,10507.0,106022.0,19509,7945,16198,52388,140763,1039108
2021-02-07,2065.0,910.0,1337.0,6328.0,10675.0,107786.0,19509,7945,16198,52388,140763,1039108
2021-02-08,2114.0,924.0,1365.0,6475.0,10808.0,109445.0,19509,7945,16198,52388,140763,1039108
2021-02-09,2170.0,938.0,1400.0,6776.0,11018.0,111895.0,19509,7945,16198,52388,140763,1039108
2021-02-10,2268.0,987.0,1484.0,7434.0,11312.0,115745.0,19509,7945,16198,52388,140763,1039108
2021-02-11,2387.0,1043.0,1610.0,8225.0,11795.0,121800.0,19509,7945,16198,52388,140763,1039108
2021-02-12,2555.0,1120.0,1778.0,9205.0,12383.0,130620.0,19509,7945,16198,52388,140763,1039108
2021-02-13,2723.0,1204.0,1911.0,10003.0,13097.0,140938.0,19509,7945,16198,52388,140763,1039108
2021-02-14,2814.0,1239.0,2009.0,10528.0,13475.0,145390.0,19509,7945,16198,52388,140763,1039108
2021-02-15,2905.0,1295.0,2093.0,11081.0,13895.0,150213.0,19509,7945,16198,52388,140763,1039108
2021-02-16,3108.0,1386.0,2289.0,11949.0,15141.0,166747.0,19509,7945,16198,52388,140763,1039108
2021-02-17,3353.0,1533.0,2576.0,13181.0,17157.0,195167.0,19509,7945,16198,52388,140763,1039108
2021-02-18,3556.0,1687.0,2779.0,14315.0,19124.0,220423.0,19509,7945,16198,52388,140763,1039108
2021-02-19,3752.0,1778.0,3010.0,15288.0,20475.0,239932.0,19509,7945,16198,52388,140763,1039108
2021-02-20,3927.0,1890.0,3164.0,16128.0,22015.0,260022.0,19509,7945,16198,52388,140763,1039108
2021-02-21,4039.0,1932.0,3269.0,16625.0,22540.0,266721.0,19509,7945,16198,52388,140763,1039108
2021-02-22,4165.0,1988.0,3374.0,17171.0,23163.0,274253.0,19509,7945,16198,52388,140763,1039108
2021-02-23,4410.0,2093.0,3570.0,18221.0,24591.0,292831.0,19509,7945,16198,52388,140763,1039108
2021-02-24,4683.0,2254.0,3850.0,19530.0,27335.0,322602.0,19509,7945,16198,52388,140763,1039108
2021-02-25,5019.0,2429.0,4172.0,21063.0,30786.0,356776.0,19509,7945,16198,52388,140763,1039108
2021-02-26,5411.0,2604.0,4578.0,22582.0,34566.0,395857.0,19509,7945,16198,52388,140763,1039108
2021-02-27,5747.0,2786.0,4872.0,23870.0,37863.0,426475.0,19509,7945,16198,52388,140763,1039108
2021-02-28,5901.0,2884.0,5068.0,24542.0,39949.0,443954.0,19509,7945,16198,52388,140763,1039108
2021-03-01,6034.0,2961.0,5208.0,25088.0,42140.0,461517.0,19509,7945,16198,52388,140763,1039108
2021-03-02,6202.0,3059.0,5467.0,25774.0,44877.0,483434.0,19509,7945,16198,52388,140763,1039108
2021-03-03,6461.0,3213.0,5761.0,26887.0,48580.0,511609.0,19509,7945,16198,52388,140763,1039108
2021-03-04,6818.0,3402.0,6132.0,28182.0,53529.0,551369.0,19509,7945,16198,52388,140763,1039108
2021-03-05,7203.0,3619.0,6545.0,29498.0,58464.0,590156.0,19509,7945,16198,52388,140763,1039108
2021-03-06,7686.0,3871.0,7035.0,31010.0,63560.0,630308.0,19509,7945,16198,52388,140763,1039108
2021-03-07,7868.0,3962.0,7224.0,31675.0,66276.0,649376.0,19509,7945,16198,52388,140763,1039108
2021-03-08,8092.0,4088.0,7490.0,32550.0,69510.0,672588.0,19509,7945,16198,52388,140763,1039108
