covid_vacc_date,1 Most deprived,2,3,4,5 Least deprived,Unknown,1 Most deprived_total,2_total,3_total,4_total,5 Least deprived_total,Unknown_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,276458,297612,333151,330099,313103,35798
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,276458,297612,333151,330099,313103,35798
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,276458,297612,333151,330099,313103,35798
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,276458,297612,333151,330099,313103,35798
2020-12-05,0.0,0.0,0.0,0.0,0.0,0.0,276458,297612,333151,330099,313103,35798
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,276458,297612,333151,330099,313103,35798
2020-12-08,35.0,42.0,49.0,77.0,70.0,7.0,276458,297612,333151,330099,313103,35798
2020-12-09,105.0,105.0,133.0,168.0,175.0,14.0,276458,297612,333151,330099,313103,35798
2020-12-10,154.0,168.0,210.0,259.0,259.0,21.0,276458,297612,333151,330099,313103,35798
2020-12-11,210.0,238.0,301.0,350.0,378.0,35.0,276458,297612,333151,330099,313103,35798
2020-12-12,252.0,301.0,392.0,462.0,476.0,42.0,276458,297612,333151,330099,313103,35798
2020-12-13,301.0,343.0,462.0,539.0,553.0,49.0,276458,297612,333151,330099,313103,35798
2020-12-14,364.0,413.0,553.0,623.0,637.0,56.0,276458,297612,333151,330099,313103,35798
2020-12-15,455.0,532.0,707.0,742.0,812.0,70.0,276458,297612,333151,330099,313103,35798
2020-12-16,581.0,679.0,896.0,938.0,1029.0,91.0,276458,297612,333151,330099,313103,35798
2020-12-17,721.0,861.0,1127.0,1155.0,1288.0,112.0,276458,297612,333151,330099,313103,35798
2020-12-18,854.0,1036.0,1379.0,1414.0,1547.0,147.0,276458,297612,333151,330099,313103,35798
2020-12-19,959.0,1162.0,1547.0,1596.0,1750.0,175.0,276458,297612,333151,330099,313103,35798
2020-12-20,1113.0,1372.0,1771.0,1841.0,2037.0,210.0,276458,297612,333151,330099,313103,35798
2020-12-21,1344.0,1659.0,2058.0,2156.0,2394.0,252.0,276458,297612,333151,330099,313103,35798
2020-12-22,1519.0,1869.0,2338.0,2471.0,2758.0,287.0,276458,297612,333151,330099,313103,35798
2020-12-23,1778.0,2142.0,2681.0,2856.0,3143.0,322.0,276458,297612,333151,330099,313103,35798
2020-12-24,1883.0,2275.0,2856.0,3031.0,3388.0,336.0,276458,297612,333151,330099,313103,35798
2020-12-25,1883.0,2275.0,2863.0,3031.0,3388.0,336.0,276458,297612,333151,330099,313103,35798
2020-12-26,1890.0,2282.0,2863.0,3045.0,3395.0,336.0,276458,297612,333151,330099,313103,35798
2020-12-27,1911.0,2331.0,2912.0,3094.0,3458.0,343.0,276458,297612,333151,330099,313103,35798
2020-12-28,1967.0,2401.0,3003.0,3164.0,3563.0,357.0,276458,297612,333151,330099,313103,35798
2020-12-29,2128.0,2618.0,3227.0,3395.0,3829.0,378.0,276458,297612,333151,330099,313103,35798
2020-12-30,2548.0,3087.0,3731.0,3983.0,4389.0,434.0,276458,297612,333151,330099,313103,35798
2020-12-31,2940.0,3577.0,4256.0,4522.0,4942.0,490.0,276458,297612,333151,330099,313103,35798
2021-01-01,3045.0,3696.0,4417.0,4690.0,5082.0,504.0,276458,297612,333151,330099,313103,35798
2021-01-02,3143.0,3864.0,4599.0,4858.0,5257.0,525.0,276458,297612,333151,330099,313103,35798
2021-01-03,3234.0,3990.0,4718.0,5012.0,5397.0,539.0,276458,297612,333151,330099,313103,35798
2021-01-04,3409.0,4207.0,4963.0,5292.0,5656.0,567.0,276458,297612,333151,330099,313103,35798
2021-01-05,3738.0,4606.0,5453.0,5838.0,6209.0,630.0,276458,297612,333151,330099,313103,35798
2021-01-06,4095.0,5103.0,6104.0,6566.0,6965.0,686.0,276458,297612,333151,330099,313103,35798
2021-01-07,4739.0,5936.0,7049.0,7574.0,7994.0,784.0,276458,297612,333151,330099,313103,35798
2021-01-08,5425.0,6888.0,8113.0,8652.0,9030.0,910.0,276458,297612,333151,330099,313103,35798
2021-01-09,5992.0,7609.0,9037.0,9597.0,10059.0,1008.0,276458,297612,333151,330099,313103,35798
2021-01-10,6342.0,8078.0,9597.0,10206.0,10703.0,1064.0,276458,297612,333151,330099,313103,35798
2021-01-11,6867.0,8827.0,10444.0,11053.0,11613.0,1169.0,276458,297612,333151,330099,313103,35798
2021-01-12,7644.0,9681.0,11473.0,12138.0,12705.0,1295.0,276458,297612,333151,330099,313103,35798
2021-01-13,8435.0,10773.0,12614.0,13286.0,13797.0,1435.0,276458,297612,333151,330099,313103,35798
2021-01-14,9401.0,11851.0,13923.0,14609.0,14994.0,1561.0,276458,297612,333151,330099,313103,35798
2021-01-15,10409.0,13083.0,15442.0,16058.0,16471.0,1715.0,276458,297612,333151,330099,313103,35798
