covid_vacc_date,no,yes,no_total,yes_total
2020-12-01,7.0,0.0,2077803,20405
2020-12-02,21.0,0.0,2077803,20405
2020-12-03,28.0,0.0,2077803,20405
2020-12-04,42.0,0.0,2077803,20405
2020-12-05,42.0,0.0,2077803,20405
2020-12-07,56.0,0.0,2077803,20405
2020-12-08,98.0,0.0,2077803,20405
2020-12-09,175.0,0.0,2077803,20405
2020-12-10,259.0,0.0,2077803,20405
2020-12-11,329.0,0.0,2077803,20405
2020-12-12,392.0,0.0,2077803,20405
2020-12-13,441.0,0.0,2077803,20405
2020-12-14,532.0,0.0,2077803,20405
2020-12-15,742.0,0.0,2077803,20405
2020-12-16,1015.0,0.0,2077803,20405
2020-12-17,1596.0,7.0,2077803,20405
2020-12-18,2156.0,14.0,2077803,20405
2020-12-19,2758.0,21.0,2077803,20405
2020-12-20,3297.0,21.0,2077803,20405
2020-12-21,3934.0,21.0,2077803,20405
2020-12-22,4522.0,28.0,2077803,20405
2020-12-23,5229.0,35.0,2077803,20405
2020-12-24,5544.0,35.0,2077803,20405
2020-12-25,5544.0,35.0,2077803,20405
2020-12-26,5551.0,35.0,2077803,20405
2020-12-27,5586.0,35.0,2077803,20405
2020-12-28,5684.0,35.0,2077803,20405
2020-12-29,6069.0,49.0,2077803,20405
2020-12-30,7896.0,63.0,2077803,20405
2020-12-31,9800.0,84.0,2077803,20405
2021-01-01,10311.0,91.0,2077803,20405
2021-01-02,11004.0,98.0,2077803,20405
2021-01-03,11137.0,98.0,2077803,20405
2021-01-04,11347.0,98.0,2077803,20405
2021-01-05,11767.0,98.0,2077803,20405
2021-01-06,14231.0,119.0,2077803,20405
2021-01-07,23233.0,203.0,2077803,20405
2021-01-08,34923.0,315.0,2077803,20405
2021-01-09,44485.0,371.0,2077803,20405
2021-01-10,48573.0,406.0,2077803,20405
2021-01-11,51779.0,448.0,2077803,20405
2021-01-12,58520.0,511.0,2077803,20405
2021-01-13,73612.0,644.0,2077803,20405
2021-01-14,90790.0,777.0,2077803,20405
2021-01-15,111251.0,952.0,2077803,20405
2021-01-16,127904.0,1092.0,2077803,20405
2021-01-17,135058.0,1141.0,2077803,20405
2021-01-18,142744.0,1218.0,2077803,20405
2021-01-19,175385.0,1463.0,2077803,20405
2021-01-20,218519.0,1792.0,2077803,20405
2021-01-21,268121.0,2170.0,2077803,20405
2021-01-22,346794.0,2800.0,2077803,20405
2021-01-23,446124.0,3563.0,2077803,20405
2021-01-24,481397.0,3829.0,2077803,20405
2021-01-25,511581.0,4074.0,2077803,20405
2021-01-26,553525.0,4431.0,2077803,20405
2021-01-27,596876.0,4830.0,2077803,20405
2021-01-28,671713.0,5474.0,2077803,20405
2021-01-29,786709.0,6447.0,2077803,20405
2021-01-30,911918.0,7539.0,2077803,20405
2021-01-31,984459.0,8092.0,2077803,20405
2021-02-01,1044904.0,8596.0,2077803,20405
2021-02-02,1115499.0,9156.0,2077803,20405
2021-02-03,1206856.0,9933.0,2077803,20405
2021-02-04,1301573.0,10766.0,2077803,20405
2021-02-05,1390858.0,11578.0,2077803,20405
2021-02-06,1507849.0,12635.0,2077803,20405
2021-02-07,1566285.0,13153.0,2077803,20405
2021-02-08,1615768.0,13622.0,2077803,20405
2021-02-09,1677291.0,14210.0,2077803,20405
2021-02-10,1727327.0,14742.0,2077803,20405
2021-02-11,1776271.0,15309.0,2077803,20405
2021-02-12,1819517.0,15813.0,2077803,20405
2021-02-13,1859893.0,16289.0,2077803,20405
2021-02-14,1872269.0,16422.0,2077803,20405
2021-02-15,1883007.0,16569.0,2077803,20405
2021-02-16,1893003.0,16737.0,2077803,20405
2021-02-17,1902040.0,16884.0,2077803,20405
2021-02-18,1908914.0,17017.0,2077803,20405
2021-02-19,1914178.0,17115.0,2077803,20405
2021-02-20,1918707.0,17185.0,2077803,20405
2021-02-21,1920128.0,17199.0,2077803,20405
2021-02-22,1922389.0,17234.0,2077803,20405
2021-02-23,1925504.0,17304.0,2077803,20405
2021-02-24,1929634.0,17395.0,2077803,20405
2021-02-25,1934051.0,17479.0,2077803,20405
2021-02-26,1938146.0,17577.0,2077803,20405
2021-02-27,1940946.0,17626.0,2077803,20405
2021-02-28,1942143.0,17647.0,2077803,20405
2021-03-01,1943249.0,17668.0,2077803,20405
2021-03-02,1944481.0,17696.0,2077803,20405
2021-03-03,1946042.0,17731.0,2077803,20405
2021-03-04,1948170.0,17787.0,2077803,20405
2021-03-05,1950669.0,17864.0,2077803,20405
2021-03-06,1952678.0,17899.0,2077803,20405
2021-03-07,1953133.0,17906.0,2077803,20405
2021-03-08,1953980.0,17920.0,2077803,20405
2021-03-09,1954918.0,17941.0,2077803,20405
2021-03-10,1955849.0,17983.0,2077803,20405
2021-03-11,1956738.0,18011.0,2077803,20405
2021-03-12,1958005.0,18046.0,2077803,20405
2021-03-13,1959384.0,18081.0,2077803,20405
2021-03-14,1959944.0,18095.0,2077803,20405
2021-03-15,1960777.0,18116.0,2077803,20405
2021-03-16,1961568.0,18144.0,2077803,20405
2021-03-17,1962338.0,18165.0,2077803,20405
2021-03-18,1963171.0,18200.0,2077803,20405
2021-03-19,1963969.0,18228.0,2077803,20405
2021-03-20,1964788.0,18249.0,2077803,20405
2021-03-21,1965103.0,18256.0,2077803,20405
2021-03-22,1965544.0,18270.0,2077803,20405
2021-03-23,1966083.0,18277.0,2077803,20405
2021-03-24,1966699.0,18298.0,2077803,20405
2021-03-25,1967350.0,18312.0,2077803,20405
2021-03-26,1968036.0,18326.0,2077803,20405
2021-03-27,1968820.0,18347.0,2077803,20405
2021-03-28,1969149.0,18354.0,2077803,20405
2021-03-29,1969562.0,18375.0,2077803,20405
2021-03-30,1970080.0,18382.0,2077803,20405
2021-03-31,1970661.0,18403.0,2077803,20405
2021-04-01,1971130.0,18410.0,2077803,20405
2021-04-02,1971445.0,18410.0,2077803,20405
2021-04-03,1971662.0,18417.0,2077803,20405
2021-04-04,1971753.0,18417.0,2077803,20405
2021-04-05,1971816.0,18417.0,2077803,20405
2021-04-06,1972124.0,18417.0,2077803,20405
2021-04-07,1972516.0,18431.0,2077803,20405
2021-04-08,1972992.0,18438.0,2077803,20405
2021-04-09,1973468.0,18445.0,2077803,20405
2021-04-10,1973930.0,18459.0,2077803,20405
2021-04-11,1974112.0,18466.0,2077803,20405
2021-04-12,1974406.0,18466.0,2077803,20405
2021-04-13,1974721.0,18473.0,2077803,20405
2021-04-14,1975092.0,18480.0,2077803,20405
2021-04-15,1975470.0,18487.0,2077803,20405
2021-04-16,1975960.0,18501.0,2077803,20405
2021-04-17,1976324.0,18508.0,2077803,20405
2021-04-18,1976527.0,18508.0,2077803,20405
2021-04-19,1976772.0,18515.0,2077803,20405
2021-04-20,1977045.0,18515.0,2077803,20405
2021-04-21,1977374.0,18522.0,2077803,20405
2021-04-22,1977780.0,18529.0,2077803,20405
2021-04-23,1978179.0,18536.0,2077803,20405
2021-04-24,1978571.0,18543.0,2077803,20405
2021-04-25,1978886.0,18543.0,2077803,20405
2021-04-26,1979103.0,18550.0,2077803,20405
2021-04-27,1979383.0,18557.0,2077803,20405
2021-04-28,1979712.0,18564.0,2077803,20405
2021-04-29,1980034.0,18571.0,2077803,20405
2021-04-30,1980307.0,18578.0,2077803,20405
2021-05-01,1980545.0,18585.0,2077803,20405
2021-05-02,1980622.0,18585.0,2077803,20405
