covid_vacc_date, African, Bangladeshi or British Bangladeshi, Caribbean, Chinese, Other, Other Asian,British or Mixed British,Indian or British Indian,Irish,Other Black,Other White,Other mixed,Pakistani or British Pakistani,Unknown,White + Asian,White + Black African,White + Black Caribbean, African_total, Bangladeshi or British Bangladeshi_total, Caribbean_total, Chinese_total, Other_total, Other Asian_total,British or Mixed British_total,Indian or British Indian_total,Irish_total,Other Black_total,Other White_total,Other mixed_total,Pakistani or British Pakistani_total,Unknown_total,White + Asian_total,White + Black African_total,White + Black Caribbean_total
2021-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-10-11,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-10-13,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-10-15,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-10-20,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-11-01,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-11-02,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-11-04,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-11-05,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-11-06,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-11-08,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-11-09,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-11-10,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-11-11,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
2021-11-12,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,0.0,42602,16611,7175,10934,47026,37177,1243886,64589,3920,15953,168063,30030,76741,208866,18319,12852,17423
