covid_vacc_date,1 Most deprived,2,3,4,5 Least deprived,Unknown,1 Most deprived_total,2_total,3_total,4_total,5 Least deprived_total,Unknown_total
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,152061,188223,238287,240716,232729,23023
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,152061,188223,238287,240716,232729,23023
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,152061,188223,238287,240716,232729,23023
2020-12-08,0.0,14.0,14.0,14.0,28.0,0.0,152061,188223,238287,240716,232729,23023
2020-12-09,21.0,28.0,28.0,49.0,56.0,0.0,152061,188223,238287,240716,232729,23023
2020-12-10,35.0,49.0,56.0,70.0,84.0,0.0,152061,188223,238287,240716,232729,23023
2020-12-11,56.0,84.0,70.0,105.0,105.0,7.0,152061,188223,238287,240716,232729,23023
2020-12-12,70.0,98.0,91.0,119.0,126.0,14.0,152061,188223,238287,240716,232729,23023
2020-12-13,91.0,112.0,112.0,133.0,140.0,14.0,152061,188223,238287,240716,232729,23023
2020-12-14,98.0,133.0,140.0,154.0,175.0,21.0,152061,188223,238287,240716,232729,23023
2020-12-15,126.0,175.0,196.0,196.0,224.0,28.0,152061,188223,238287,240716,232729,23023
2020-12-16,154.0,217.0,252.0,245.0,273.0,28.0,152061,188223,238287,240716,232729,23023
2020-12-17,203.0,273.0,315.0,315.0,329.0,35.0,152061,188223,238287,240716,232729,23023
2020-12-18,238.0,308.0,406.0,406.0,413.0,42.0,152061,188223,238287,240716,232729,23023
2020-12-19,287.0,350.0,483.0,469.0,483.0,56.0,152061,188223,238287,240716,232729,23023
2020-12-20,329.0,399.0,560.0,539.0,588.0,63.0,152061,188223,238287,240716,232729,23023
2020-12-21,385.0,462.0,644.0,644.0,679.0,77.0,152061,188223,238287,240716,232729,23023
2020-12-22,448.0,532.0,742.0,735.0,763.0,77.0,152061,188223,238287,240716,232729,23023
2020-12-23,511.0,637.0,847.0,854.0,875.0,84.0,152061,188223,238287,240716,232729,23023
2020-12-24,546.0,679.0,889.0,917.0,931.0,91.0,152061,188223,238287,240716,232729,23023
2020-12-25,546.0,679.0,889.0,917.0,931.0,91.0,152061,188223,238287,240716,232729,23023
2020-12-26,546.0,679.0,896.0,924.0,931.0,91.0,152061,188223,238287,240716,232729,23023
2020-12-27,546.0,686.0,910.0,945.0,952.0,91.0,152061,188223,238287,240716,232729,23023
2020-12-28,560.0,707.0,931.0,966.0,973.0,91.0,152061,188223,238287,240716,232729,23023
2020-12-29,616.0,770.0,1015.0,1036.0,1036.0,98.0,152061,188223,238287,240716,232729,23023
2020-12-30,749.0,931.0,1176.0,1225.0,1183.0,112.0,152061,188223,238287,240716,232729,23023
2020-12-31,875.0,1078.0,1351.0,1421.0,1351.0,133.0,152061,188223,238287,240716,232729,23023
2021-01-01,896.0,1106.0,1386.0,1456.0,1407.0,133.0,152061,188223,238287,240716,232729,23023
2021-01-02,931.0,1127.0,1414.0,1505.0,1449.0,140.0,152061,188223,238287,240716,232729,23023
2021-01-03,945.0,1148.0,1449.0,1540.0,1484.0,140.0,152061,188223,238287,240716,232729,23023
2021-01-04,987.0,1197.0,1512.0,1617.0,1533.0,147.0,152061,188223,238287,240716,232729,23023
2021-01-05,1057.0,1288.0,1624.0,1743.0,1652.0,168.0,152061,188223,238287,240716,232729,23023
2021-01-06,1162.0,1435.0,1813.0,1939.0,1834.0,189.0,152061,188223,238287,240716,232729,23023
2021-01-07,1358.0,1729.0,2114.0,2233.0,2107.0,210.0,152061,188223,238287,240716,232729,23023
2021-01-08,1610.0,2044.0,2471.0,2569.0,2401.0,238.0,152061,188223,238287,240716,232729,23023
2021-01-09,1799.0,2296.0,2786.0,2870.0,2758.0,266.0,152061,188223,238287,240716,232729,23023
2021-01-10,1883.0,2422.0,2947.0,3031.0,2919.0,280.0,152061,188223,238287,240716,232729,23023
2021-01-11,1995.0,2562.0,3136.0,3241.0,3122.0,301.0,152061,188223,238287,240716,232729,23023
2021-01-12,2163.0,2772.0,3423.0,3521.0,3381.0,329.0,152061,188223,238287,240716,232729,23023
2021-01-13,2408.0,3024.0,3780.0,3878.0,3689.0,364.0,152061,188223,238287,240716,232729,23023
2021-01-14,2709.0,3388.0,4158.0,4263.0,4102.0,399.0,152061,188223,238287,240716,232729,23023
2021-01-15,3052.0,3773.0,4662.0,4690.0,4571.0,434.0,152061,188223,238287,240716,232729,23023
2021-01-16,3332.0,4123.0,5047.0,5075.0,4977.0,483.0,152061,188223,238287,240716,232729,23023
2021-01-17,3465.0,4326.0,5334.0,5348.0,5222.0,504.0,152061,188223,238287,240716,232729,23023
2021-01-18,3647.0,4536.0,5628.0,5628.0,5502.0,532.0,152061,188223,238287,240716,232729,23023
2021-01-19,3885.0,4907.0,6006.0,6034.0,5922.0,574.0,152061,188223,238287,240716,232729,23023
2021-01-20,4277.0,5327.0,6496.0,6489.0,6391.0,602.0,152061,188223,238287,240716,232729,23023
2021-01-21,4732.0,5796.0,7147.0,7042.0,6902.0,651.0,152061,188223,238287,240716,232729,23023
