covid_vacc_date,total,40-49,30-39,18-29,70-79,50-54,55-59,60-64,80+,65-69,shielding (aged 16-69),16-17,care home,LD (aged 16-64)
2021 19 May,12659724.0,2137849.0,1107204.0,651672.0,1971032.0,1340430.0,1339758.0,1161419.0,1036154.0,996898.0,739333.0,25893.0,83559.0,68523.0
2021 20 May,12748078.0,2152787.0,1164723.0,663803.0,1971228.0,1341431.0,1340444.0,1161916.0,1036245.0,997129.0,739893.0,26292.0,83580.0,68607.0
2021 21 May,12816475.0,2165898.0,1209642.0,671083.0,1971382.0,1342299.0,1340990.0,1162364.0,1036322.0,997290.0,740369.0,26558.0,83601.0,68677.0
2021 22 May,12882002.0,2181333.0,1251250.0,676501.0,1971536.0,1343286.0,1341627.0,1162805.0,1036371.0,997479.0,740733.0,26754.0,83601.0,68726.0
2021 23 May,12920922.0,2188354.0,1278872.0,679231.0,1971613.0,1343804.0,1341963.0,1163022.0,1036399.0,997563.0,740922.0,26831.0,83601.0,68747.0
2021 24 May,12957280.0,2194374.0,1305759.0,680981.0,1971711.0,1344336.0,1342299.0,1163288.0,1036427.0,997668.0,741139.0,26901.0,83608.0,68789.0
2021 25 May,13017291.0,2201493.0,1348473.0,688674.0,1971837.0,1345001.0,1342845.0,1163610.0,1036483.0,997829.0,741489.0,27076.0,83622.0,68859.0
2021 26 May,13099891.0,2209018.0,1406867.0,702184.0,1972019.0,1345806.0,1343489.0,1163967.0,1036560.0,998004.0,741986.0,27426.0,83629.0,68936.0
2021 27 May,13183933.0,2216697.0,1468432.0,713818.0,1972180.0,1346646.0,1344175.0,1164338.0,1036651.0,998193.0,742469.0,27685.0,83636.0,69013.0
2021 28 May,13249621.0,2223501.0,1517474.0,720958.0,1972341.0,1347395.0,1344714.0,1164681.0,1036707.0,998368.0,742903.0,27853.0,83650.0,69076.0
2021 29 May,13305880.0,2230109.0,1557983.0,727573.0,1972467.0,1348151.0,1345302.0,1165010.0,1036742.0,998508.0,743267.0,28000.0,83650.0,69118.0
2021 30 May,13345500.0,2233637.0,1588405.0,731794.0,1972516.0,1348550.0,1345638.0,1165206.0,1036763.0,998592.0,743491.0,28119.0,83650.0,69139.0
2021 31 May,13373773.0,2235723.0,1607312.0,738003.0,1972558.0,1348858.0,1345876.0,1165339.0,1036777.0,998648.0,743624.0,28252.0,83650.0,69153.0
2021 01 Jun,13403663.0,2238502.0,1628235.0,742819.0,1972635.0,1349250.0,1346226.0,1165521.0,1036805.0,998732.0,743778.0,28336.0,83657.0,69167.0
2021 02 Jun,13454350.0,2242016.0,1662612.0,753676.0,1972733.0,1349789.0,1346639.0,1165717.0,1036840.0,998837.0,744065.0,28546.0,83664.0,69216.0
2021 03 Jun,13509699.0,2245411.0,1698823.0,767081.0,1972852.0,1350405.0,1347108.0,1165983.0,1036903.0,998956.0,744373.0,28868.0,83678.0,69258.0
2021 04 Jun,13564194.0,2248687.0,1733788.0,781235.0,1972950.0,1350979.0,1347584.0,1166214.0,1036931.0,999075.0,744632.0,29141.0,83678.0,69300.0
2021 05 Jun,13631744.0,2253195.0,1773961.0,801339.0,1973055.0,1351742.0,1348165.0,1166480.0,1036980.0,999201.0,744982.0,29603.0,83685.0,69356.0
2021 06 Jun,13669964.0,2255792.0,1798251.0,811167.0,1973111.0,1352141.0,1348487.0,1166627.0,1037001.0,999271.0,745206.0,29848.0,83685.0,69377.0
2021 07 Jun,13704817.0,2258179.0,1821253.0,819168.0,1973188.0,1352554.0,1348788.0,1166767.0,1037022.0,999355.0,745416.0,30023.0,83685.0,69419.0
2021 08 Jun,13744164.0,2260587.0,1843870.0,831845.0,1973286.0,1352967.0,1349103.0,1166921.0,1037064.0,999453.0,745654.0,30275.0,83692.0,69447.0
2021 09 Jun,13803811.0,2263709.0,1868622.0,861476.0,1973377.0,1353527.0,1349488.0,1167152.0,1037106.0,999565.0,745997.0,30597.0,83699.0,69496.0
2021 10 Jun,13866265.0,2266691.0,1894123.0,893403.0,1973503.0,1354052.0,1349824.0,1167362.0,1037162.0,999684.0,746305.0,30870.0,83713.0,69573.0
2021 11 Jun,13929825.0,2269981.0,1920779.0,924882.0,1973622.0,1354612.0,1350223.0,1167530.0,1037204.0,999810.0,746613.0,31234.0,83720.0,69615.0
2021 12 Jun,14015456.0,2273803.0,1948744.0,975863.0,1973727.0,1355228.0,1350692.0,1167768.0,1037253.0,999901.0,747019.0,32025.0,83727.0,69706.0
2021 13 Jun,14064085.0,2275868.0,1964403.0,1005242.0,1973783.0,1355571.0,1350937.0,1167887.0,1037274.0,999950.0,747201.0,32508.0,83727.0,69734.0
2021 14 Jun,14104594.0,2277702.0,1977031.0,1029980.0,1973860.0,1355893.0,1351203.0,1167999.0,1037302.0,1000013.0,747362.0,32746.0,83734.0,69769.0
2021 15 Jun,14158543.0,2280005.0,1991472.0,1065295.0,1973951.0,1356334.0,1351490.0,1168146.0,1037344.0,1000097.0,747593.0,33264.0,83734.0,69818.0
2021 16 Jun,14224161.0,2282560.0,2005696.0,1111999.0,1974070.0,1356789.0,1351798.0,1168335.0,1037393.0,1000174.0,747880.0,33845.0,83741.0,69881.0
2021 17 Jun,14302988.0,2285213.0,2021621.0,1169861.0,1974168.0,1357272.0,1352120.0,1168524.0,1037435.0,1000293.0,748216.0,34566.0,83748.0,69951.0
2021 18 Jun,14377790.0,2287978.0,2036174.0,1225105.0,1974252.0,1357685.0,1352463.0,1168692.0,1037477.0,1000370.0,748545.0,35280.0,83755.0,70014.0
2021 19 Jun,14474173.0,2291695.0,2052687.0,1297303.0,1974350.0,1358357.0,1352932.0,1168951.0,1037519.0,1000475.0,748965.0,37079.0,83762.0,70098.0
2021 20 Jun,14529816.0,2293200.0,2060499.0,1341879.0,1974392.0,1358616.0,1353107.0,1169049.0,1037547.0,1000510.0,749133.0,37982.0,83769.0,70133.0
2021 21 Jun,14576905.0,2294768.0,2067205.0,1378930.0,1974434.0,1358896.0,1353261.0,1169147.0,1037561.0,1000559.0,749308.0,38892.0,83769.0,70175.0
2021 22 Jun,14636468.0,2296707.0,2075129.0,1425963.0,1974511.0,1359267.0,1353534.0,1169266.0,1037589.0,1000636.0,749581.0,40271.0,83776.0,70238.0
2021 23 Jun,14703794.0,2298709.0,2084117.0,1479324.0,1974588.0,1359645.0,1353800.0,1169420.0,1037624.0,1000713.0,749854.0,41902.0,83783.0,70315.0
2021 24 Jun,14773192.0,2300893.0,2093007.0,1534386.0,1974686.0,1360044.0,1354073.0,1169581.0,1037666.0,1000811.0,750155.0,43708.0,83797.0,70385.0
2021 25 Jun,14837032.0,2303273.0,2101876.0,1583750.0,1974777.0,1360527.0,1354381.0,1169742.0,1037701.0,1000902.0,750477.0,45374.0,83804.0,70448.0
2021 26 Jun,14916062.0,2306871.0,2113153.0,1643257.0,1974889.0,1361311.0,1354885.0,1170022.0,1037750.0,1001042.0,750890.0,47635.0,83811.0,70546.0
2021 27 Jun,14963060.0,2308838.0,2119313.0,1679342.0,1974952.0,1361738.0,1355137.0,1170155.0,1037771.0,1001126.0,751100.0,49182.0,83811.0,70595.0
2021 28 Jun,14997339.0,2310161.0,2123555.0,1706117.0,1975008.0,1361983.0,1355326.0,1170267.0,1037799.0,1001175.0,751289.0,50211.0,83818.0,70630.0
2021 29 Jun,15037631.0,2311701.0,2128980.0,1737022.0,1975064.0,1362291.0,1355543.0,1170393.0,1037827.0,1001238.0,751520.0,51527.0,83825.0,70700.0
2021 30 Jun,15081262.0,2313549.0,2135441.0,1769432.0,1975148.0,1362683.0,1355802.0,1170554.0,1037855.0,1001315.0,751814.0,53095.0,83825.0,70749.0
2021 01 Jul,15126804.0,2315362.0,2141797.0,1803858.0,1975246.0,1363033.0,1356096.0,1170701.0,1037890.0,1001406.0,752094.0,54684.0,83832.0,70805.0
2021 02 Jul,15162686.0,2317119.0,2147292.0,1830150.0,1975323.0,1363376.0,1356327.0,1170827.0,1037911.0,1001497.0,752318.0,55839.0,83839.0,70868.0
2021 03 Jul,15208137.0,2319373.0,2154026.0,1863596.0,1975400.0,1363859.0,1356621.0,1170981.0,1037939.0,1001581.0,752598.0,57379.0,83846.0,70938.0
2021 04 Jul,15231699.0,2320423.0,2157414.0,1881187.0,1975435.0,1364104.0,1356761.0,1171065.0,1037946.0,1001616.0,752717.0,58212.0,83846.0,70973.0
2021 05 Jul,15252972.0,2321564.0,2160606.0,1896475.0,1975477.0,1364377.0,1356915.0,1171149.0,1037967.0,1001665.0,752878.0,59045.0,83846.0,71008.0
2021 06 Jul,15279110.0,2322915.0,2164638.0,1915151.0,1975533.0,1364657.0,1357090.0,1171268.0,1037988.0,1001721.0,753074.0,60172.0,83853.0,71050.0
2021 07 Jul,15307124.0,2324567.0,2169580.0,1934205.0,1975610.0,1364993.0,1357328.0,1171436.0,1038016.0,1001770.0,753312.0,61341.0,83860.0,71106.0
2021 08 Jul,15336783.0,2326268.0,2174543.0,1954610.0,1975694.0,1365336.0,1357580.0,1171569.0,1038044.0,1001861.0,753564.0,62713.0,83860.0,71141.0
2021 09 Jul,15364062.0,2328067.0,2179660.0,1972586.0,1975799.0,1365728.0,1357811.0,1171702.0,1038072.0,1001931.0,753830.0,63812.0,83874.0,71190.0
2021 10 Jul,15394092.0,2330328.0,2185519.0,1991759.0,1975883.0,1366225.0,1358105.0,1171856.0,1038100.0,1002022.0,754110.0,65058.0,83874.0,71253.0
2021 11 Jul,15407658.0,2331322.0,2188228.0,2000348.0,1975918.0,1366449.0,1358259.0,1171940.0,1038107.0,1002064.0,754236.0,65639.0,83874.0,71274.0
2021 12 Jul,15420664.0,2332288.0,2190804.0,2008587.0,1975946.0,1366666.0,1358392.0,1172003.0,1038128.0,1002099.0,754362.0,66227.0,83874.0,71288.0
2021 13 Jul,15436365.0,2333352.0,2193982.0,2018520.0,1976009.0,1366897.0,1358539.0,1172094.0,1038156.0,1002155.0,754530.0,66941.0,83881.0,71309.0
2021 14 Jul,15455496.0,2334668.0,2197909.0,2030413.0,1976086.0,1367198.0,1358721.0,1172220.0,1038177.0,1002218.0,754747.0,67907.0,83881.0,71351.0
2021 15 Jul,15474802.0,2336124.0,2202165.0,2041928.0,1976149.0,1367506.0,1358959.0,1172353.0,1038205.0,1002309.0,755006.0,68803.0,83888.0,71407.0
2021 16 Jul,15493177.0,2337664.0,2206757.0,2052232.0,1976219.0,1367849.0,1359169.0,1172493.0,1038233.0,1002386.0,755223.0,69594.0,83895.0,71463.0
2021 17 Jul,15517012.0,2339673.0,2212084.0,2066015.0,1976303.0,1368304.0,1359512.0,1172661.0,1038268.0,1002463.0,755489.0,70826.0,83895.0,71519.0
2021 18 Jul,15528149.0,2340604.0,2214723.0,2072315.0,1976338.0,1368514.0,1359645.0,1172724.0,1038275.0,1002512.0,755580.0,71484.0,83895.0,71540.0
2021 19 Jul,15539090.0,2341535.0,2217320.0,2078622.0,1976380.0,1368717.0,1359764.0,1172787.0,1038289.0,1002540.0,755685.0,71988.0,83902.0,71561.0
2021 20 Jul,15550738.0,2342459.0,2220022.0,2085307.0,1976436.0,1368920.0,1359904.0,1172871.0,1038303.0,1002596.0,755797.0,72646.0,83902.0,71575.0
2021 21 Jul,15564703.0,2343649.0,2223151.0,2093315.0,1976485.0,1369158.0,1360079.0,1172976.0,1038338.0,1002652.0,755944.0,73437.0,83909.0,71610.0
2021 22 Jul,15578220.0,2344762.0,2226259.0,2100875.0,1976555.0,1369431.0,1360240.0,1173088.0,1038352.0,1002708.0,756126.0,74270.0,83909.0,71645.0
2021 23 Jul,15591079.0,2345924.0,2229346.0,2107819.0,1976618.0,1369669.0,1360408.0,1173193.0,1038366.0,1002750.0,756273.0,75124.0,83916.0,71673.0
2021 24 Jul,15606101.0,2347317.0,2232951.0,2115813.0,1976674.0,1369963.0,1360618.0,1173305.0,1038373.0,1002820.0,756448.0,76195.0,83916.0,71708.0
2021 25 Jul,15614662.0,2348073.0,2234981.0,2120552.0,1976688.0,1370131.0,1360730.0,1173361.0,1038380.0,1002841.0,756539.0,76748.0,83916.0,71722.0
2021 26 Jul,15623363.0,2348766.0,2236969.0,2125354.0,1976716.0,1370306.0,1360835.0,1173417.0,1038394.0,1002876.0,756651.0,77413.0,83916.0,71750.0
2021 27 Jul,15632995.0,2349564.0,2239258.0,2130464.0,1976751.0,1370481.0,1360961.0,1173487.0,1038415.0,1002925.0,756777.0,78218.0,83923.0,71771.0
2021 28 Jul,15644384.0,2350509.0,2241904.0,2136533.0,1976800.0,1370712.0,1361094.0,1173564.0,1038436.0,1002967.0,756917.0,79226.0,83923.0,71799.0
2021 29 Jul,15655717.0,2351426.0,2244396.0,2142623.0,1976870.0,1370943.0,1361241.0,1173648.0,1038450.0,1003016.0,757078.0,80262.0,83930.0,71834.0
2021 30 Jul,15665979.0,2352315.0,2246874.0,2147845.0,1976905.0,1371139.0,1361388.0,1173732.0,1038464.0,1003065.0,757204.0,81242.0,83930.0,71876.0
2021 31 Jul,15679069.0,2353463.0,2249975.0,2154313.0,1976954.0,1371412.0,1361549.0,1173816.0,1038492.0,1003121.0,757379.0,82747.0,83930.0,71918.0
2021 01 Aug,15686307.0,2354009.0,2251739.0,2158261.0,1976975.0,1371538.0,1361633.0,1173858.0,1038492.0,1003128.0,757456.0,83363.0,83930.0,71925.0
2021 02 Aug,15693853.0,2354709.0,2253510.0,2162237.0,1976996.0,1371685.0,1361724.0,1173921.0,1038506.0,1003170.0,757554.0,83965.0,83937.0,71939.0
2021 03 Aug,15702519.0,2355409.0,2255512.0,2166766.0,1977045.0,1371867.0,1361850.0,1173977.0,1038527.0,1003212.0,757694.0,84749.0,83937.0,71974.0
2021 04 Aug,15712438.0,2356172.0,2257801.0,2171834.0,1977094.0,1372049.0,1361976.0,1174061.0,1038555.0,1003254.0,757841.0,85862.0,83937.0,72002.0
2021 05 Aug,15722266.0,2356949.0,2260020.0,2176937.0,1977136.0,1372252.0,1362109.0,1174145.0,1038576.0,1003296.0,757967.0,86898.0,83937.0,72044.0
2021 06 Aug,15731765.0,2357817.0,2262323.0,2181536.0,1977171.0,1372462.0,1362270.0,1174229.0,1038597.0,1003338.0,758100.0,87913.0,83944.0,72065.0
2021 07 Aug,15745492.0,2358832.0,2265165.0,2187346.0,1977220.0,1372728.0,1362438.0,1174334.0,1038611.0,1003387.0,758275.0,91112.0,83944.0,72100.0
2021 08 Aug,15753080.0,2359315.0,2266635.0,2190517.0,1977241.0,1372868.0,1362529.0,1174369.0,1038618.0,1003415.0,758345.0,93177.0,83944.0,72107.0
2021 09 Aug,15760388.0,2359896.0,2268336.0,2194164.0,1977262.0,1373008.0,1362634.0,1174425.0,1038632.0,1003429.0,758429.0,94108.0,83944.0,72121.0
2021 10 Aug,15769740.0,2360568.0,2270226.0,2197860.0,1977311.0,1373169.0,1362760.0,1174502.0,1038653.0,1003464.0,758548.0,96593.0,83944.0,72142.0
2021 11 Aug,15781682.0,2361380.0,2272319.0,2202270.0,1977353.0,1373358.0,1362886.0,1174579.0,1038667.0,1003506.0,758681.0,100562.0,83951.0,72170.0
2021 12 Aug,15794128.0,2362185.0,2274433.0,2206603.0,1977402.0,1373561.0,1363005.0,1174691.0,1038688.0,1003555.0,758821.0,105049.0,83951.0,72184.0
2021 13 Aug,15804698.0,2362822.0,2276344.0,2210341.0,1977437.0,1373722.0,1363103.0,1174768.0,1038702.0,1003597.0,758940.0,108759.0,83951.0,72212.0
2021 14 Aug,15818873.0,2363613.0,2278521.0,2214527.0,1977472.0,1373904.0,1363229.0,1174838.0,1038716.0,1003639.0,759066.0,115143.0,83958.0,72247.0
2021 15 Aug,15828253.0,2364033.0,2279718.0,2217194.0,1977486.0,1374009.0,1363285.0,1174873.0,1038716.0,1003653.0,759129.0,119938.0,83958.0,72261.0
2021 16 Aug,15837640.0,2364544.0,2281076.0,2220253.0,1977514.0,1374135.0,1363362.0,1174936.0,1038730.0,1003681.0,759227.0,123942.0,83958.0,72282.0
2021 17 Aug,15849092.0,2365104.0,2282574.0,2223543.0,1977542.0,1374268.0,1363453.0,1174999.0,1038737.0,1003709.0,759325.0,129584.0,83958.0,72296.0
2021 18 Aug,15863372.0,2365720.0,2284268.0,2227246.0,1977577.0,1374436.0,1363558.0,1175055.0,1038751.0,1003751.0,759451.0,137270.0,83965.0,72324.0
2021 19 Aug,15878030.0,2366329.0,2285927.0,2230837.0,1977612.0,1374576.0,1363663.0,1175118.0,1038772.0,1003793.0,759577.0,145516.0,83965.0,72345.0
2021 20 Aug,15895383.0,2366931.0,2287768.0,2234435.0,1977654.0,1374723.0,1363768.0,1175181.0,1038779.0,1003835.0,759710.0,156268.0,83965.0,72366.0
2021 21 Aug,15916236.0,2367722.0,2289714.0,2238712.0,1977689.0,1374912.0,1363894.0,1175265.0,1038800.0,1003877.0,759829.0,169456.0,83972.0,72394.0
2021 22 Aug,15927051.0,2368065.0,2290771.0,2241085.0,1977703.0,1375010.0,1363950.0,1175300.0,1038800.0,1003891.0,759878.0,176211.0,83972.0,72415.0
2021 23 Aug,15938979.0,2368492.0,2291940.0,2243829.0,1977724.0,1375108.0,1364034.0,1175342.0,1038814.0,1003919.0,759962.0,183414.0,83972.0,72429.0
2021 24 Aug,15955121.0,2369059.0,2293529.0,2247301.0,1977766.0,1375248.0,1364132.0,1175398.0,1038828.0,1003954.0,760081.0,193396.0,83972.0,72457.0
2021 25 Aug,15972299.0,2369668.0,2295125.0,2250766.0,1977794.0,1375409.0,1364230.0,1175468.0,1038849.0,1003982.0,760221.0,204323.0,83972.0,72492.0
2021 26 Aug,15986796.0,2370319.0,2296721.0,2254196.0,1977829.0,1375570.0,1364342.0,1175538.0,1038870.0,1004024.0,760340.0,212562.0,83972.0,72513.0
2021 27 Aug,15998857.0,2370907.0,2298282.0,2257248.0,1977864.0,1375724.0,1364440.0,1175587.0,1038884.0,1004059.0,760473.0,218869.0,83979.0,72541.0
2021 28 Aug,16011198.0,2371488.0,2299899.0,2260447.0,1977885.0,1375850.0,1364517.0,1175629.0,1038891.0,1004094.0,760557.0,225407.0,83979.0,72555.0
2021 29 Aug,16017876.0,2371803.0,2300746.0,2262239.0,1977892.0,1375913.0,1364573.0,1175657.0,1038891.0,1004101.0,760613.0,228900.0,83979.0,72569.0
2021 30 Aug,16023035.0,2372062.0,2301432.0,2263709.0,1977899.0,1375969.0,1364601.0,1175685.0,1038898.0,1004108.0,760655.0,231462.0,83979.0,72576.0
2021 31 Aug,16033794.0,2372538.0,2302664.0,2266369.0,1977934.0,1376074.0,1364678.0,1175741.0,1038905.0,1004136.0,760739.0,237433.0,83986.0,72597.0
2021 01 Sep,16044420.0,2373000.0,2303959.0,2269344.0,1977962.0,1376200.0,1364776.0,1175783.0,1038912.0,1004164.0,760823.0,242886.0,83986.0,72625.0
2021 02 Sep,16054451.0,2373490.0,2305331.0,2272326.0,1977983.0,1376333.0,1364839.0,1175839.0,1038919.0,1004185.0,760928.0,247646.0,83986.0,72646.0
2021 03 Sep,16064461.0,2374078.0,2306906.0,2275371.0,1978011.0,1376445.0,1364944.0,1175881.0,1038926.0,1004213.0,761047.0,251979.0,83986.0,72674.0
2021 04 Sep,16075374.0,2374708.0,2308600.0,2278843.0,1978039.0,1376592.0,1365056.0,1175916.0,1038940.0,1004241.0,761159.0,256592.0,83986.0,72702.0
2021 05 Sep,16080764.0,2375002.0,2309482.0,2280747.0,1978060.0,1376676.0,1365098.0,1175951.0,1038940.0,1004248.0,761208.0,258657.0,83986.0,72709.0
2021 06 Sep,16086896.0,2375415.0,2310602.0,2283071.0,1978081.0,1376781.0,1365168.0,1175993.0,1038947.0,1004276.0,761299.0,260554.0,83986.0,72723.0
2021 07 Sep,16093322.0,2375835.0,2311729.0,2285584.0,1978109.0,1376886.0,1365238.0,1176035.0,1038954.0,1004297.0,761397.0,262542.0,83986.0,72730.0
2021 08 Sep,16100084.0,2376304.0,2313031.0,2288230.0,1978144.0,1376991.0,1365301.0,1176077.0,1038968.0,1004325.0,761488.0,264481.0,83986.0,72758.0
2021 09 Sep,16106958.0,2376808.0,2314326.0,2290925.0,1978179.0,1377089.0,1365371.0,1176119.0,1038975.0,1004353.0,761572.0,266483.0,83986.0,72772.0
2021 10 Sep,16114035.0,2377347.0,2315810.0,2293697.0,1978207.0,1377229.0,1365462.0,1176168.0,1038989.0,1004374.0,761670.0,268310.0,83986.0,72786.0
2021 11 Sep,16122106.0,2377886.0,2317392.0,2296672.0,1978228.0,1377397.0,1365567.0,1176217.0,1038996.0,1004395.0,761782.0,270781.0,83986.0,72807.0
2021 12 Sep,16126334.0,2378180.0,2318267.0,2298436.0,1978235.0,1377474.0,1365616.0,1176245.0,1039003.0,1004402.0,761831.0,271831.0,83993.0,72821.0
2021 13 Sep,16131451.0,2378586.0,2319296.0,2300550.0,1978249.0,1377565.0,1365672.0,1176287.0,1039003.0,1004416.0,761915.0,273091.0,83993.0,72828.0
2021 14 Sep,16136764.0,2379048.0,2320374.0,2302566.0,1978263.0,1377656.0,1365749.0,1176329.0,1039010.0,1004444.0,761999.0,274491.0,83993.0,72842.0
2021 15 Sep,16143071.0,2379587.0,2321592.0,2304862.0,1978284.0,1377789.0,1365847.0,1176385.0,1039017.0,1004465.0,762132.0,276255.0,83993.0,72863.0
2021 16 Sep,16148881.0,2380091.0,2322880.0,2307011.0,1978312.0,1377908.0,1365938.0,1176427.0,1039031.0,1004500.0,762237.0,277669.0,84000.0,72877.0
2021 17 Sep,16154257.0,2380630.0,2324091.0,2308992.0,1978333.0,1378020.0,1366015.0,1176476.0,1039038.0,1004514.0,762335.0,278922.0,84000.0,72891.0
2021 18 Sep,16160949.0,2381211.0,2325477.0,2311505.0,1978361.0,1378139.0,1366113.0,1176518.0,1039059.0,1004549.0,762447.0,280665.0,84000.0,72905.0
2021 19 Sep,16164512.0,2381512.0,2326226.0,2312884.0,1978375.0,1378209.0,1366155.0,1176539.0,1039059.0,1004556.0,762482.0,281603.0,84000.0,72912.0
2021 20 Sep,16169328.0,2381995.0,2327374.0,2314760.0,1978389.0,1378335.0,1366218.0,1176581.0,1039066.0,1004591.0,762587.0,282506.0,84000.0,72926.0
2021 21 Sep,16174473.0,2382499.0,2328564.0,2316664.0,1978417.0,1378447.0,1366295.0,1176630.0,1039087.0,1004626.0,762692.0,283619.0,84000.0,72933.0
2021 22 Sep,16179233.0,2382926.0,2329719.0,2318498.0,1978459.0,1378545.0,1366393.0,1176672.0,1039129.0,1004661.0,762783.0,284480.0,84014.0,72954.0
2021 23 Sep,16184259.0,2383374.0,2330811.0,2320353.0,1978480.0,1378685.0,1366491.0,1176728.0,1039171.0,1004703.0,762888.0,285579.0,84021.0,72975.0
2021 24 Sep,16189124.0,2383864.0,2331966.0,2322145.0,1978522.0,1378832.0,1366582.0,1176777.0,1039227.0,1004731.0,762993.0,286482.0,84021.0,72982.0
2021 25 Sep,16194255.0,2384312.0,2333128.0,2324007.0,1978571.0,1378965.0,1366673.0,1176826.0,1039304.0,1004759.0,763084.0,287602.0,84028.0,72996.0
2021 26 Sep,16197202.0,2384571.0,2333751.0,2325078.0,1978599.0,1379035.0,1366729.0,1176847.0,1039346.0,1004787.0,763126.0,288302.0,84028.0,73003.0
2021 27 Sep,16200912.0,2384907.0,2334591.0,2326548.0,1978634.0,1379119.0,1366813.0,1176896.0,1039416.0,1004815.0,763203.0,288932.0,84028.0,73010.0
2021 28 Sep,16204979.0,2385243.0,2335473.0,2328053.0,1978676.0,1379238.0,1366883.0,1176945.0,1039493.0,1004843.0,763287.0,289779.0,84042.0,73024.0
2021 29 Sep,16209529.0,2385607.0,2336404.0,2329663.0,1978739.0,1379336.0,1366960.0,1176994.0,1039598.0,1004878.0,763385.0,290871.0,84056.0,73038.0
2021 30 Sep,16214219.0,2386027.0,2337384.0,2331224.0,1978823.0,1379448.0,1367058.0,1177050.0,1039703.0,1004913.0,763455.0,292005.0,84084.0,73045.0
2021 01 Oct,16219098.0,2386447.0,2338392.0,2332862.0,1978900.0,1379581.0,1367163.0,1177106.0,1039787.0,1004948.0,763553.0,293195.0,84105.0,73059.0
2021 02 Oct,16223900.0,2386846.0,2339316.0,2334479.0,1978970.0,1379700.0,1367233.0,1177155.0,1039871.0,1004983.0,763637.0,294539.0,84105.0,73066.0
2021 03 Oct,16226959.0,2387056.0,2339876.0,2335466.0,1979012.0,1379763.0,1367289.0,1177169.0,1039906.0,1004990.0,763686.0,295575.0,84105.0,73066.0
2021 04 Oct,16230907.0,2387385.0,2340723.0,2336775.0,1979089.0,1379861.0,1367345.0,1177218.0,1039990.0,1005018.0,763756.0,296548.0,84126.0,73073.0
2021 05 Oct,16235086.0,2387749.0,2341626.0,2338224.0,1979152.0,1379966.0,1367429.0,1177260.0,1040074.0,1005039.0,763847.0,297493.0,84140.0,73087.0
2021 06 Oct,16239216.0,2388043.0,2342466.0,2339582.0,1979264.0,1380071.0,1367506.0,1177295.0,1040172.0,1005074.0,763945.0,298543.0,84161.0,73094.0
