covid_vacc_date,total,40-49,30-39,18-29,70-79,50-54,55-59,60-64,80+,65-69,shielding (aged 16-69),16-17,care home,LD (aged 16-64)
2021 13 Jan,1032003.0,97433.0,81739.0,57491.0,79324.0,60620.0,61264.0,43274.0,473165.0,17150.0,28028.0,560.0,30779.0,1176.0
2021 14 Jan,1137451.0,106876.0,89915.0,64036.0,97832.0,66570.0,67228.0,47439.0,511091.0,19012.0,30674.0,630.0,34741.0,1407.0
2021 15 Jan,1264669.0,117593.0,99015.0,71372.0,119875.0,73339.0,73871.0,52241.0,558985.0,21182.0,34321.0,707.0,40432.0,1736.0
2021 16 Jan,1388037.0,126868.0,107114.0,77756.0,137991.0,79093.0,79653.0,56322.0,616014.0,23037.0,37261.0,791.0,44212.0,1925.0
2021 17 Jan,1451842.0,133413.0,112938.0,82327.0,145551.0,83020.0,83503.0,59038.0,640332.0,24199.0,39004.0,847.0,45668.0,2002.0
2021 18 Jan,1511804.0,140882.0,119651.0,88130.0,153727.0,87619.0,87941.0,62174.0,653674.0,25480.0,41048.0,903.0,48370.0,2205.0
2021 19 Jan,1631245.0,149394.0,127120.0,94437.0,188552.0,92736.0,93030.0,65975.0,693924.0,27321.0,44317.0,973.0,51009.0,2457.0
2021 20 Jan,1770237.0,158746.0,135471.0,101682.0,234528.0,98217.0,98749.0,70119.0,737086.0,29582.0,48755.0,1050.0,53501.0,2751.0
2021 21 Jan,1914164.0,168259.0,143955.0,109081.0,287112.0,104167.0,104573.0,74445.0,774389.0,32270.0,54593.0,1134.0,57015.0,3171.0
2021 22 Jan,2112817.0,178759.0,153314.0,117460.0,370713.0,111069.0,111209.0,79702.0,823522.0,36085.0,62888.0,1225.0,63042.0,3829.0
2021 23 Jan,2310462.0,187201.0,161126.0,124313.0,475832.0,116410.0,116585.0,83958.0,863821.0,39340.0,71491.0,1302.0,64869.0,4214.0
2021 24 Jan,2389149.0,192325.0,165900.0,128282.0,512974.0,119679.0,119868.0,86660.0,875301.0,41251.0,75663.0,1358.0,65548.0,4340.0
2021 25 Jan,2465813.0,198618.0,171430.0,133217.0,544467.0,123564.0,123753.0,89425.0,886725.0,43106.0,79471.0,1414.0,66122.0,4501.0
2021 26 Jan,2564093.0,205940.0,177828.0,138873.0,588462.0,127967.0,128072.0,92743.0,900473.0,45409.0,85204.0,1470.0,66878.0,4774.0
2021 27 Jan,2660154.0,212618.0,183736.0,144284.0,633430.0,132244.0,132188.0,95956.0,911596.0,48125.0,91798.0,1540.0,67543.0,5096.0
2021 28 Jan,2799433.0,219590.0,189903.0,149758.0,711333.0,136619.0,136458.0,99344.0,925701.0,51856.0,103565.0,1603.0,68257.0,5446.0
2021 29 Jan,2986431.0,227052.0,196630.0,155505.0,830872.0,141232.0,141344.0,103446.0,940310.0,56406.0,117040.0,1673.0,69132.0,5789.0
2021 30 Jan,3175354.0,233093.0,202062.0,160132.0,960232.0,145075.0,145327.0,106701.0,950887.0,60088.0,134414.0,1743.0,69615.0,5985.0
2021 31 Jan,3288670.0,237769.0,206143.0,163674.0,1034579.0,147910.0,148141.0,109130.0,955143.0,63889.0,144620.0,1799.0,69797.0,6076.0
2021 01 Feb,3391549.0,242263.0,209923.0,166936.0,1095997.0,150528.0,150836.0,111440.0,960372.0,69748.0,155218.0,1841.0,70189.0,6258.0
2021 02 Feb,3510122.0,246918.0,213976.0,170422.0,1167208.0,153573.0,153874.0,114198.0,965678.0,76034.0,169211.0,1883.0,70630.0,6517.0
2021 03 Feb,3660657.0,251965.0,218512.0,174300.0,1258866.0,156751.0,157304.0,117376.0,971131.0,84203.0,190162.0,1939.0,71253.0,6895.0
2021 04 Feb,3823274.0,257726.0,223377.0,178395.0,1353758.0,160419.0,161007.0,120995.0,976514.0,94465.0,215348.0,2016.0,71883.0,7371.0
2021 05 Feb,3981411.0,263326.0,228046.0,182336.0,1442721.0,163891.0,164745.0,124621.0,981708.0,105861.0,241633.0,2072.0,72583.0,7868.0
2021 06 Feb,4183102.0,268233.0,232141.0,185913.0,1558683.0,167230.0,168364.0,128240.0,985355.0,122129.0,283367.0,2135.0,72947.0,8365.0
2021 07 Feb,4284959.0,271194.0,234633.0,187957.0,1616587.0,169183.0,170520.0,130431.0,987028.0,131544.0,302099.0,2170.0,73094.0,8519.0
2021 08 Feb,4381027.0,274169.0,237216.0,190274.0,1665118.0,171143.0,172571.0,132447.0,989947.0,143276.0,320362.0,2205.0,73430.0,8869.0
2021 09 Feb,4513663.0,278054.0,240408.0,193067.0,1724317.0,173642.0,175336.0,135562.0,993419.0,170744.0,343595.0,2254.0,73913.0,9352.0
2021 10 Feb,4656092.0,282415.0,243999.0,196245.0,1769369.0,176512.0,178857.0,140623.0,997542.0,215733.0,367780.0,2296.0,74655.0,10066.0
2021 11 Feb,4824743.0,287868.0,248304.0,199948.0,1811957.0,180306.0,183701.0,148267.0,1001322.0,279741.0,394646.0,2401.0,75397.0,10885.0
2021 12 Feb,5001472.0,294651.0,253351.0,204071.0,1847566.0,185353.0,190106.0,159250.0,1004920.0,353521.0,418152.0,2534.0,76195.0,11802.0
2021 13 Feb,5183528.0,301658.0,258860.0,208922.0,1878513.0,190351.0,196343.0,171493.0,1007244.0,438788.0,439453.0,2660.0,76566.0,12677.0
2021 14 Feb,5260843.0,305781.0,262017.0,211414.0,1887634.0,193480.0,200648.0,177065.0,1008112.0,475790.0,446614.0,2709.0,76650.0,12929.0
2021 15 Feb,5342687.0,310576.0,265671.0,214522.0,1895082.0,196854.0,204876.0,183211.0,1009421.0,516327.0,452991.0,2765.0,77035.0,13356.0
2021 16 Feb,5472621.0,319438.0,271439.0,218960.0,1901473.0,204638.0,215740.0,202335.0,1010667.0,570003.0,463099.0,2989.0,77378.0,14462.0
2021 17 Feb,5650687.0,333081.0,280301.0,225477.0,1907115.0,218470.0,236250.0,234563.0,1012011.0,629517.0,476322.0,3437.0,77707.0,16436.0
2021 18 Feb,5810595.0,347452.0,289422.0,232148.0,1911574.0,231854.0,256102.0,263424.0,1013250.0,675885.0,489069.0,3864.0,78057.0,18494.0
2021 19 Feb,5940375.0,360185.0,297801.0,238273.0,1914906.0,242711.0,271502.0,285705.0,1014307.0,711858.0,500206.0,4284.0,78449.0,20188.0
2021 20 Feb,6065682.0,373149.0,306187.0,244699.0,1917909.0,254114.0,287063.0,308616.0,1014937.0,742987.0,511189.0,4606.0,78554.0,21672.0
2021 21 Feb,6113863.0,378805.0,309988.0,247380.0,1918805.0,258496.0,292551.0,316631.0,1015161.0,754894.0,515732.0,4697.0,78582.0,22141.0
2021 22 Feb,6174581.0,385147.0,314468.0,250684.0,1920226.0,263879.0,299173.0,325577.0,1015637.0,771512.0,521864.0,4781.0,78680.0,22953.0
2021 23 Feb,6292202.0,399245.0,323302.0,257236.0,1922389.0,276542.0,315959.0,347403.0,1016533.0,790538.0,534317.0,5271.0,78869.0,24598.0
2021 24 Feb,6454616.0,417893.0,335524.0,265853.0,1925294.0,293069.0,338044.0,382130.0,1017492.0,815864.0,551082.0,6013.0,79114.0,27244.0
2021 25 Feb,6632108.0,438116.0,349125.0,275744.0,1928535.0,310821.0,361676.0,422394.0,1018556.0,839398.0,571165.0,6797.0,79345.0,30436.0
2021 26 Feb,6819043.0,459480.0,363748.0,285824.0,1931552.0,329056.0,387135.0,467936.0,1019564.0,862505.0,591304.0,7868.0,79541.0,33530.0
2021 27 Feb,6966022.0,476987.0,376257.0,295113.0,1933526.0,343413.0,406966.0,504168.0,1020082.0,878486.0,606788.0,8638.0,79618.0,35980.0
2021 28 Feb,7032137.0,484589.0,381836.0,298900.0,1934303.0,348887.0,413637.0,524930.0,1020243.0,886893.0,612787.0,8799.0,79653.0,36680.0
2021 01 Mar,7088809.0,491022.0,386694.0,302183.0,1935115.0,353129.0,418838.0,545629.0,1020572.0,892143.0,617463.0,8827.0,79758.0,37436.0
2021 02 Mar,7154742.0,497896.0,391804.0,305487.0,1936095.0,358463.0,425362.0,571473.0,1021069.0,897743.0,622286.0,8925.0,79884.0,38255.0
2021 03 Mar,7254968.0,510937.0,400596.0,311416.0,1937369.0,367780.0,437206.0,605199.0,1021720.0,904274.0,629622.0,9065.0,80017.0,39767.0
2021 04 Mar,7389858.0,526316.0,412097.0,319011.0,1939126.0,381185.0,453103.0,652120.0,1022441.0,913605.0,639163.0,9310.0,80199.0,42182.0
2021 05 Mar,7535234.0,543963.0,424690.0,328111.0,1941163.0,395661.0,473235.0,698628.0,1023176.0,923251.0,648305.0,9632.0,80416.0,45003.0
2021 06 Mar,7689031.0,564263.0,438676.0,337568.0,1942738.0,411929.0,495383.0,747159.0,1023666.0,931994.0,657846.0,9905.0,80465.0,47439.0
2021 07 Mar,7741468.0,569667.0,442715.0,340424.0,1943102.0,416129.0,502544.0,770175.0,1023778.0,934073.0,660604.0,9961.0,80472.0,47824.0
2021 08 Mar,7804013.0,574980.0,447209.0,343427.0,1943781.0,420287.0,511959.0,798210.0,1024023.0,937454.0,663642.0,9989.0,80563.0,48489.0
2021 09 Mar,7872991.0,581882.0,452158.0,347018.0,1944544.0,425775.0,526253.0,823151.0,1024485.0,940597.0,667058.0,10087.0,80668.0,49315.0
2021 10 Mar,7952322.0,590758.0,458801.0,351659.0,1945356.0,432691.0,544796.0,848295.0,1024933.0,943544.0,670348.0,10248.0,80766.0,50127.0
2021 11 Mar,8031401.0,597807.0,464282.0,355985.0,1946147.0,440111.0,567504.0,872606.0,1025318.0,946295.0,673029.0,10549.0,80843.0,50925.0
2021 12 Mar,8163190.0,612010.0,475132.0,364147.0,1947239.0,457674.0,603932.0,905282.0,1025780.0,950579.0,677264.0,10892.0,80990.0,52269.0
2021 13 Mar,8365315.0,633073.0,489902.0,375641.0,1948380.0,495740.0,664503.0,946820.0,1026123.0,955983.0,682514.0,11480.0,81025.0,54131.0
2021 14 Mar,8460557.0,642502.0,496671.0,380772.0,1948814.0,509992.0,696388.0,968331.0,1026249.0,958762.0,684754.0,11599.0,81032.0,54691.0
2021 15 Mar,8595230.0,654829.0,505519.0,387268.0,1949437.0,528381.0,753046.0,991844.0,1026508.0,962276.0,687855.0,11641.0,81074.0,55552.0
2021 16 Mar,8752590.0,670411.0,516026.0,395164.0,1950116.0,559776.0,817061.0,1011948.0,1026823.0,965237.0,690585.0,11767.0,81179.0,56497.0
2021 17 Mar,8919218.0,687897.0,527268.0,403571.0,1950781.0,606599.0,875658.0,1028664.0,1027124.0,967610.0,693406.0,12026.0,81263.0,57351.0
2021 18 Mar,9117745.0,707854.0,539280.0,412517.0,1951537.0,681597.0,933583.0,1045674.0,1027502.0,970193.0,696038.0,12404.0,81375.0,58191.0
2021 19 Mar,9334010.0,732487.0,552839.0,422191.0,1952251.0,761138.0,996947.0,1063860.0,1027838.0,972468.0,698852.0,12628.0,81473.0,59038.0
2021 20 Mar,9633190.0,768579.0,570171.0,435876.0,1952951.0,890918.0,1070475.0,1083796.0,1028111.0,975492.0,702366.0,12915.0,81508.0,60032.0
2021 21 Mar,9759428.0,785960.0,578683.0,442834.0,1953238.0,938623.0,1105006.0,1092028.0,1028209.0,976374.0,703654.0,12978.0,81522.0,60319.0
2021 22 Mar,9871722.0,800933.0,587118.0,449400.0,1953637.0,981008.0,1134210.0,1099063.0,1028391.0,977459.0,705229.0,13048.0,81557.0,60669.0
2021 23 Mar,9985185.0,818874.0,596540.0,456722.0,1954134.0,1023414.0,1160117.0,1105132.0,1028636.0,978593.0,706972.0,13314.0,81641.0,61096.0
2021 24 Mar,10097871.0,840427.0,606620.0,464968.0,1954701.0,1062530.0,1182321.0,1111348.0,1028930.0,979769.0,709037.0,13937.0,81732.0,61551.0
2021 25 Mar,10216528.0,867720.0,618338.0,474173.0,1955324.0,1101590.0,1202509.0,1117025.0,1029266.0,980966.0,711039.0,14672.0,81844.0,62062.0
2021 26 Mar,10350207.0,902804.0,631918.0,484547.0,1955996.0,1142792.0,1224230.0,1123038.0,1029588.0,982135.0,713349.0,15246.0,81963.0,62601.0
2021 27 Mar,10530688.0,959700.0,650461.0,498967.0,1956738.0,1195313.0,1248758.0,1130094.0,1029896.0,983598.0,715890.0,15855.0,82026.0,63392.0
2021 28 Mar,10625384.0,990724.0,661003.0,506849.0,1957053.0,1220450.0,1262688.0,1133426.0,1030022.0,984277.0,717094.0,16023.0,82047.0,63728.0
2021 29 Mar,10699276.0,1013061.0,669739.0,513996.0,1957445.0,1239595.0,1273174.0,1136415.0,1030218.0,984998.0,718361.0,16072.0,82124.0,64078.0
