covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White,Black_total,Mixed_total,Other_total,South Asian_total,Unknown_total,White_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-06,0.0,0.0,0.0,0.0,0.0,0.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-08,0.0,0.0,0.0,21.0,21.0,224.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-09,7.0,14.0,7.0,35.0,56.0,609.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-10,14.0,14.0,14.0,63.0,84.0,924.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-11,14.0,14.0,21.0,84.0,112.0,1260.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-12,21.0,21.0,21.0,98.0,161.0,1603.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-13,28.0,21.0,35.0,126.0,182.0,1841.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-14,35.0,21.0,42.0,161.0,217.0,2212.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-15,49.0,28.0,49.0,210.0,273.0,2786.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-16,63.0,42.0,56.0,259.0,357.0,3598.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-17,84.0,49.0,77.0,336.0,448.0,4536.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-18,91.0,56.0,91.0,413.0,539.0,5425.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-19,98.0,63.0,98.0,483.0,609.0,6167.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-20,119.0,77.0,119.0,581.0,714.0,7196.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-21,140.0,84.0,140.0,658.0,833.0,8624.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-22,154.0,98.0,161.0,749.0,945.0,9758.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-23,196.0,119.0,182.0,854.0,1106.0,11193.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-24,203.0,126.0,196.0,903.0,1197.0,11851.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-25,203.0,126.0,196.0,910.0,1197.0,11851.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-26,203.0,126.0,196.0,910.0,1204.0,11879.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
2020-12-27,203.0,133.0,203.0,924.0,1225.0,12096.0,31423.0,12460.0,23002.0,61019.0,156415.0,1236858.0
