covid_vacc_date,no,yes,no_total,yes_total
2020-12-01,7.0,0.0,1562393,20230
2020-12-02,14.0,0.0,1562393,20230
2020-12-03,14.0,0.0,1562393,20230
2020-12-04,14.0,0.0,1562393,20230
2020-12-05,21.0,0.0,1562393,20230
2020-12-07,21.0,0.0,1562393,20230
2020-12-08,280.0,0.0,1562393,20230
2020-12-09,700.0,0.0,1562393,20230
2020-12-10,1064.0,0.0,1562393,20230
2020-12-11,1505.0,0.0,1562393,20230
2020-12-12,1925.0,7.0,1562393,20230
2020-12-13,2233.0,7.0,1562393,20230
2020-12-14,2639.0,14.0,1562393,20230
2020-12-15,3297.0,21.0,1562393,20230
2020-12-16,4186.0,28.0,1562393,20230
2020-12-17,5243.0,28.0,1562393,20230
2020-12-18,6328.0,42.0,1562393,20230
2020-12-19,7140.0,42.0,1562393,20230
2020-12-20,8288.0,49.0,1562393,20230
2020-12-21,9814.0,49.0,1562393,20230
2020-12-22,11179.0,49.0,1562393,20230
2020-12-23,12852.0,63.0,1562393,20230
2020-12-24,13678.0,70.0,1562393,20230
2020-12-25,13685.0,70.0,1562393,20230
2020-12-26,13720.0,70.0,1562393,20230
2020-12-27,13951.0,70.0,1562393,20230
2020-12-28,14357.0,70.0,1562393,20230
2020-12-29,15463.0,84.0,1562393,20230
2020-12-30,18039.0,98.0,1562393,20230
2020-12-31,20580.0,119.0,1562393,20230
2021-01-01,21287.0,126.0,1562393,20230
2021-01-02,22078.0,133.0,1562393,20230
2021-01-03,22722.0,133.0,1562393,20230
2021-01-04,23919.0,140.0,1562393,20230
2021-01-05,26285.0,154.0,1562393,20230
2021-01-06,29309.0,168.0,1562393,20230
2021-01-07,33845.0,189.0,1562393,20230
2021-01-08,38738.0,224.0,1562393,20230
2021-01-09,42980.0,245.0,1562393,20230
2021-01-10,45661.0,252.0,1562393,20230
2021-01-11,49602.0,280.0,1562393,20230
2021-01-12,54530.0,315.0,1562393,20230
2021-01-13,59878.0,364.0,1562393,20230
2021-01-14,65835.0,406.0,1562393,20230
2021-01-15,72604.0,455.0,1562393,20230
2021-01-16,78288.0,504.0,1562393,20230
2021-01-17,82208.0,532.0,1562393,20230
2021-01-18,86814.0,574.0,1562393,20230
2021-01-19,91847.0,623.0,1562393,20230
2021-01-20,97328.0,679.0,1562393,20230
2021-01-21,103194.0,728.0,1562393,20230
2021-01-22,109963.0,812.0,1562393,20230
2021-01-23,115241.0,861.0,1562393,20230
2021-01-24,118475.0,889.0,1562393,20230
2021-01-25,122332.0,924.0,1562393,20230
2021-01-26,126693.0,966.0,1562393,20230
2021-01-27,130893.0,1008.0,1562393,20230
2021-01-28,135205.0,1057.0,1562393,20230
2021-01-29,139797.0,1099.0,1562393,20230
2021-01-30,143577.0,1134.0,1562393,20230
2021-01-31,146405.0,1148.0,1562393,20230
2021-02-01,148981.0,1176.0,1562393,20230
2021-02-02,152012.0,1204.0,1562393,20230
2021-02-03,155120.0,1239.0,1562393,20230
2021-02-04,158774.0,1281.0,1562393,20230
2021-02-05,162190.0,1323.0,1562393,20230
2021-02-06,165508.0,1358.0,1562393,20230
2021-02-07,167412.0,1379.0,1562393,20230
2021-02-08,169358.0,1400.0,1562393,20230
2021-02-09,171794.0,1442.0,1562393,20230
2021-02-10,174580.0,1484.0,1562393,20230
2021-02-11,178304.0,1547.0,1562393,20230
2021-02-12,183211.0,1659.0,1562393,20230
2021-02-13,188034.0,1750.0,1562393,20230
2021-02-14,191058.0,1792.0,1562393,20230
2021-02-15,194327.0,1855.0,1562393,20230
2021-02-16,201684.0,2100.0,1562393,20230
2021-02-17,214592.0,2583.0,1562393,20230
2021-02-18,227129.0,3052.0,1562393,20230
2021-02-19,237335.0,3430.0,1562393,20230
2021-02-20,248080.0,3801.0,1562393,20230
2021-02-21,252294.0,3920.0,1562393,20230
2021-02-22,257460.0,4053.0,1562393,20230
2021-02-23,269276.0,4501.0,1562393,20230
2021-02-24,284823.0,5103.0,1562393,20230
2021-02-25,301651.0,5782.0,1562393,20230
2021-02-26,319039.0,6419.0,1562393,20230
