covid_vacc_date,F,M,F_total,M_total
2021-08-11,0.0,0.0,985061,1037106
2021-08-12,0.0,0.0,985061,1037106
2021-08-18,0.0,0.0,985061,1037106
2021-08-21,0.0,0.0,985061,1037106
2021-08-26,0.0,0.0,985061,1037106
2021-09-18,0.0,0.0,985061,1037106
2021-09-19,0.0,0.0,985061,1037106
2021-09-23,0.0,7.0,985061,1037106
2021-10-04,0.0,7.0,985061,1037106
2021-10-11,0.0,7.0,985061,1037106
2021-10-13,0.0,7.0,985061,1037106
2021-10-15,7.0,7.0,985061,1037106
2021-10-20,7.0,7.0,985061,1037106
2021-11-01,7.0,14.0,985061,1037106
2021-11-02,7.0,14.0,985061,1037106
2021-11-04,14.0,14.0,985061,1037106
2021-11-05,14.0,14.0,985061,1037106
2021-11-06,14.0,14.0,985061,1037106
2021-11-08,14.0,21.0,985061,1037106
2021-11-09,14.0,21.0,985061,1037106
2021-11-10,21.0,21.0,985061,1037106
2021-11-11,21.0,28.0,985061,1037106
2021-11-12,21.0,28.0,985061,1037106
2021-11-13,21.0,35.0,985061,1037106
2021-11-16,21.0,35.0,985061,1037106
2021-11-17,21.0,35.0,985061,1037106
2021-11-18,28.0,35.0,985061,1037106
2021-11-19,28.0,35.0,985061,1037106
2021-11-21,28.0,35.0,985061,1037106
2021-11-23,35.0,35.0,985061,1037106
2021-11-24,35.0,42.0,985061,1037106
2021-11-25,42.0,42.0,985061,1037106
2021-11-26,42.0,42.0,985061,1037106
2021-11-29,42.0,42.0,985061,1037106
2021-11-30,42.0,49.0,985061,1037106
2021-12-01,49.0,49.0,985061,1037106
2021-12-04,49.0,49.0,985061,1037106
2021-12-05,49.0,49.0,985061,1037106
2021-12-06,49.0,49.0,985061,1037106
2021-12-07,49.0,49.0,985061,1037106
2021-12-08,63.0,56.0,985061,1037106
2021-12-09,63.0,56.0,985061,1037106
2021-12-11,63.0,56.0,985061,1037106
2021-12-12,63.0,56.0,985061,1037106
2021-12-13,70.0,70.0,985061,1037106
2021-12-14,77.0,70.0,985061,1037106
2021-12-16,77.0,77.0,985061,1037106
2021-12-17,84.0,77.0,985061,1037106
2021-12-18,91.0,84.0,985061,1037106
2021-12-19,91.0,84.0,985061,1037106
2021-12-20,98.0,91.0,985061,1037106
2021-12-21,98.0,91.0,985061,1037106
2021-12-22,105.0,98.0,985061,1037106
2021-12-23,112.0,105.0,985061,1037106
2021-12-24,112.0,105.0,985061,1037106
2021-12-26,119.0,105.0,985061,1037106
2021-12-27,119.0,112.0,985061,1037106
2021-12-28,126.0,112.0,985061,1037106
2021-12-29,126.0,119.0,985061,1037106
2021-12-30,133.0,119.0,985061,1037106
2021-12-31,133.0,119.0,985061,1037106
2022-01-01,133.0,119.0,985061,1037106
2022-01-03,140.0,126.0,985061,1037106
2022-01-04,140.0,126.0,985061,1037106
2022-01-05,140.0,126.0,985061,1037106
2022-01-06,147.0,133.0,985061,1037106
2022-01-07,147.0,133.0,985061,1037106
2022-01-08,147.0,133.0,985061,1037106
2022-01-09,154.0,140.0,985061,1037106
2022-01-10,154.0,140.0,985061,1037106
2022-01-11,161.0,140.0,985061,1037106
2022-01-12,161.0,147.0,985061,1037106
2022-01-13,161.0,147.0,985061,1037106
2022-01-14,168.0,154.0,985061,1037106
2022-01-15,175.0,161.0,985061,1037106
2022-01-16,175.0,161.0,985061,1037106
2022-01-17,182.0,168.0,985061,1037106
2022-01-18,182.0,168.0,985061,1037106
2022-01-19,189.0,175.0,985061,1037106
2022-01-20,196.0,182.0,985061,1037106
2022-01-21,203.0,182.0,985061,1037106
2022-01-22,203.0,182.0,985061,1037106
2022-01-23,203.0,189.0,985061,1037106
2022-01-24,203.0,189.0,985061,1037106
2022-01-25,210.0,189.0,985061,1037106
2022-01-26,210.0,189.0,985061,1037106
2022-01-27,210.0,196.0,985061,1037106
2022-01-28,224.0,203.0,985061,1037106
2022-01-29,252.0,252.0,985061,1037106
2022-01-30,252.0,259.0,985061,1037106
2022-01-31,259.0,273.0,985061,1037106
2022-02-01,294.0,322.0,985061,1037106
2022-02-02,308.0,350.0,985061,1037106
2022-02-03,399.0,469.0,985061,1037106
2022-02-04,441.0,525.0,985061,1037106
2022-02-05,707.0,875.0,985061,1037106
2022-02-06,742.0,931.0,985061,1037106
2022-02-07,791.0,1015.0,985061,1037106
2022-02-08,945.0,1176.0,985061,1037106
2022-02-09,1036.0,1372.0,985061,1037106
2022-02-10,1162.0,1526.0,985061,1037106
2022-02-11,1267.0,1666.0,985061,1037106
2022-02-12,1771.0,2457.0,985061,1037106
2022-02-13,1960.0,2730.0,985061,1037106
2022-02-14,2100.0,2898.0,985061,1037106
2022-02-15,2240.0,3108.0,985061,1037106
2022-02-16,2443.0,3451.0,985061,1037106
2022-02-17,2674.0,3801.0,985061,1037106
2022-02-18,2863.0,4032.0,985061,1037106
2022-02-19,3220.0,4494.0,985061,1037106
2022-02-20,3360.0,4711.0,985061,1037106
2022-02-21,3479.0,4858.0,985061,1037106
2022-02-22,3605.0,5040.0,985061,1037106
2022-02-23,3829.0,5425.0,985061,1037106
2022-02-24,4067.0,5775.0,985061,1037106
2022-02-25,4242.0,6055.0,985061,1037106
2022-02-26,4508.0,6426.0,985061,1037106
2022-02-27,4634.0,6608.0,985061,1037106
2022-02-28,4711.0,6762.0,985061,1037106
2022-03-01,4760.0,6874.0,985061,1037106
2022-03-02,4816.0,6972.0,985061,1037106
