covid_vacc_date,no,yes,no_total,yes_total
2020-12-01,0.0,0.0,2044434,20503
2020-12-07,0.0,0.0,2044434,20503
2020-12-08,35.0,0.0,2044434,20503
2020-12-09,98.0,0.0,2044434,20503
2020-12-10,168.0,0.0,2044434,20503
2020-12-11,238.0,0.0,2044434,20503
2020-12-12,287.0,0.0,2044434,20503
2020-12-13,329.0,0.0,2044434,20503
2020-12-14,406.0,0.0,2044434,20503
2020-12-15,609.0,0.0,2044434,20503
2020-12-16,875.0,0.0,2044434,20503
2020-12-17,1498.0,7.0,2044434,20503
2020-12-18,2058.0,14.0,2044434,20503
2020-12-19,2723.0,21.0,2044434,20503
2020-12-20,3290.0,21.0,2044434,20503
2020-12-21,3948.0,21.0,2044434,20503
2020-12-22,4557.0,28.0,2044434,20503
2020-12-23,5271.0,35.0,2044434,20503
2020-12-24,5593.0,42.0,2044434,20503
2020-12-25,5600.0,42.0,2044434,20503
2020-12-26,5600.0,42.0,2044434,20503
2020-12-27,5628.0,42.0,2044434,20503
2020-12-28,5719.0,42.0,2044434,20503
2020-12-29,6153.0,56.0,2044434,20503
2020-12-30,8218.0,91.0,2044434,20503
2020-12-31,10381.0,126.0,2044434,20503
2021-01-01,10941.0,133.0,2044434,20503
2021-01-02,11690.0,140.0,2044434,20503
2021-01-03,11837.0,140.0,2044434,20503
2021-01-04,12047.0,147.0,2044434,20503
2021-01-05,12495.0,147.0,2044434,20503
2021-01-06,15141.0,175.0,2044434,20503
2021-01-07,24661.0,280.0,2044434,20503
2021-01-08,37296.0,427.0,2044434,20503
2021-01-09,47845.0,525.0,2044434,20503
2021-01-10,52374.0,560.0,2044434,20503
2021-01-11,55895.0,623.0,2044434,20503
2021-01-12,63182.0,721.0,2044434,20503
2021-01-13,79366.0,882.0,2044434,20503
2021-01-14,97930.0,1050.0,2044434,20503
2021-01-15,120043.0,1274.0,2044434,20503
2021-01-16,138180.0,1442.0,2044434,20503
2021-01-17,145782.0,1505.0,2044434,20503
2021-01-18,153930.0,1596.0,2044434,20503
2021-01-19,188580.0,1855.0,2044434,20503
2021-01-20,234402.0,2212.0,2044434,20503
2021-01-21,286944.0,2653.0,2044434,20503
2021-01-22,370265.0,3332.0,2044434,20503
