covid_vacc_date,F,M,F_total,M_total
2021-11-05,141757.0,149156.0,574763,602861
2021-11-06,144914.0,152131.0,574763,602861
2021-11-07,147609.0,154602.0,574763,602861
2021-11-08,151998.0,159278.0,574763,602861
2021-11-09,156842.0,164073.0,574763,602861
2021-11-10,160307.0,168357.0,574763,602861
2021-11-11,164423.0,172578.0,574763,602861
2021-11-12,167979.0,176085.0,574763,602861
2021-11-13,170835.0,178850.0,574763,602861
2021-11-14,172893.0,180852.0,574763,602861
2021-11-15,176722.0,184877.0,574763,602861
2021-11-16,179515.0,187740.0,574763,602861
2021-11-17,182392.0,190960.0,574763,602861
2021-11-18,185045.0,193956.0,574763,602861
2021-11-19,187397.0,196700.0,574763,602861
2021-11-20,189105.0,198373.0,574763,602861
2021-11-21,190442.0,199626.0,574763,602861
2021-11-22,192311.0,201684.0,574763,602861
2021-11-23,194187.0,203798.0,574763,602861
2021-11-24,196147.0,205807.0,574763,602861
2021-11-25,197904.0,207858.0,574763,602861
2021-11-26,199080.0,209279.0,574763,602861
2021-11-27,200361.0,210672.0,574763,602861
2021-11-28,201579.0,211904.0,574763,602861
2021-11-29,203126.0,213668.0,574763,602861
2021-11-30,204827.0,215292.0,574763,602861
2021-12-01,206171.0,216615.0,574763,602861
2021-12-02,207263.0,217910.0,574763,602861
2021-12-03,208243.0,219009.0,574763,602861
2021-12-04,209608.0,220528.0,574763,602861
2021-12-05,210903.0,221823.0,574763,602861
2021-12-06,212023.0,223076.0,574763,602861
2021-12-07,212926.0,224035.0,574763,602861
2021-12-08,213759.0,224875.0,574763,602861
2021-12-09,214613.0,225883.0,574763,602861
2021-12-10,215586.0,226940.0,574763,602861
2021-12-11,216804.0,228130.0,574763,602861
2021-12-12,218218.0,229530.0,574763,602861
2021-12-13,219177.0,230573.0,574763,602861
2021-12-14,220290.0,231658.0,574763,602861
2021-12-15,221172.0,232631.0,574763,602861
2021-12-16,222313.0,233849.0,574763,602861
2021-12-17,223265.0,234815.0,574763,602861
2021-12-18,224805.0,236362.0,574763,602861
2021-12-19,226492.0,238098.0,574763,602861
2021-12-20,228032.0,239743.0,574763,602861
2021-12-21,229474.0,241304.0,574763,602861
2021-12-22,230895.0,242837.0,574763,602861
2021-12-23,232183.0,244251.0,574763,602861
2021-12-24,232372.0,244482.0,574763,602861
2021-12-25,232379.0,244496.0,574763,602861
2021-12-26,232421.0,244538.0,574763,602861
2021-12-27,233149.0,245245.0,574763,602861
2021-12-28,234430.0,246498.0,574763,602861
2021-12-29,236229.0,248220.0,574763,602861
2021-12-30,238035.0,250250.0,574763,602861
2021-12-31,238721.0,250964.0,574763,602861
2022-01-01,238791.0,251041.0,574763,602861
2022-01-02,239645.0,251811.0,574763,602861
2022-01-03,240933.0,253127.0,574763,602861
2022-01-04,242088.0,254289.0,574763,602861
2022-01-05,243201.0,255423.0,574763,602861
2022-01-06,244174.0,256396.0,574763,602861
2022-01-07,245098.0,257201.0,574763,602861
2022-01-08,247303.0,259420.0,574763,602861
2022-01-09,249333.0,261303.0,574763,602861
2022-01-10,249956.0,261912.0,574763,602861
2022-01-11,250761.0,262745.0,574763,602861
2022-01-12,251629.0,263662.0,574763,602861
2022-01-13,252532.0,264663.0,574763,602861
2022-01-14,253414.0,265517.0,574763,602861
2022-01-15,255542.0,267547.0,574763,602861
2022-01-16,256991.0,268919.0,574763,602861
2022-01-17,257782.0,269773.0,574763,602861
2022-01-18,258622.0,270690.0,574763,602861
2022-01-19,259427.0,271572.0,574763,602861
2022-01-20,260309.0,272496.0,574763,602861
2022-01-21,261310.0,273511.0,574763,602861
2022-01-22,262857.0,274939.0,574763,602861
2022-01-23,263788.0,275842.0,574763,602861
2022-01-24,264432.0,276549.0,574763,602861
2022-01-25,265216.0,277368.0,574763,602861
2022-01-26,266056.0,278194.0,574763,602861
2022-01-27,266917.0,279125.0,574763,602861
2022-01-28,267855.0,280077.0,574763,602861
2022-01-29,268954.0,281155.0,574763,602861
2022-01-30,269731.0,281841.0,574763,602861
2022-01-31,270326.0,282429.0,574763,602861
2022-02-01,271068.0,283234.0,574763,602861
2022-02-02,271803.0,283948.0,574763,602861
2022-02-03,272552.0,284725.0,574763,602861
2022-02-04,273406.0,285551.0,574763,602861
2022-02-05,274309.0,286384.0,574763,602861
2022-02-06,274687.0,286755.0,574763,602861
2022-02-07,275296.0,287420.0,574763,602861
2022-02-08,276045.0,288239.0,574763,602861
2022-02-09,276822.0,288967.0,574763,602861
2022-02-10,277788.0,289989.0,574763,602861
2022-02-11,278649.0,290822.0,574763,602861
2022-02-12,279531.0,291732.0,574763,602861
2022-02-13,279951.0,292131.0,574763,602861
2022-02-14,280462.0,292684.0,574763,602861
2022-02-15,281113.0,293391.0,574763,602861
2022-02-16,281792.0,294126.0,574763,602861
2022-02-17,282422.0,294819.0,574763,602861
2022-02-18,282737.0,295155.0,574763,602861
