covid_vacc_date,1 Most deprived,2,3,4,5 Least deprived,Unknown
01 Dec,0.0,0.0,0.0,0.0,0.0,0.0
08 Dec,0.03,0.04,0.04,0.06,0.05,0.07
09 Dec,0.19,0.17,0.16,0.17,0.18,0.2
10 Dec,0.36,0.33,0.31,0.36,0.36,0.33
11 Dec,0.52,0.47,0.45,0.53,0.54,0.5
12 Dec,0.62,0.56,0.56,0.67,0.66,0.53
13 Dec,0.71,0.64,0.66,0.78,0.77,0.6
14 Dec,0.82,0.8,0.83,0.96,0.96,0.73
15 Dec,2.51,2.49,2.68,2.91,2.86,2.58
16 Dec,5.05,5.36,5.73,6.15,6.15,5.32
17 Dec,7.57,8.05,8.53,8.93,8.91,8.04
18 Dec,9.45,9.85,10.3,10.64,10.58,10.15
19 Dec,12.01,12.16,12.33,12.68,12.57,13.69
20 Dec,13.86,14.19,14.17,14.48,14.54,16.14
21 Dec,14.81,15.12,15.11,15.82,15.9,17.1
22 Dec,17.06,16.95,16.95,18.09,18.18,19.25
23 Dec,18.49,18.24,18.38,19.65,19.84,21.23
24 Dec,18.84,18.48,18.72,19.99,20.21,21.7
25 Dec,18.84,18.48,18.72,19.99,20.21,21.7
26 Dec,18.84,18.48,18.72,19.99,20.21,21.7
27 Dec,18.85,18.49,18.73,20.0,20.24,21.7
28 Dec,18.89,18.54,18.77,20.03,20.3,21.73
29 Dec,19.46,19.38,19.38,20.69,21.0,22.66
30 Dec,20.73,21.24,20.85,22.51,22.87,25.14
31 Dec,21.64,22.41,21.92,23.85,24.26,27.12
01 Jan,21.74,22.55,22.12,24.1,24.52,28.08
02 Jan,21.9,22.72,22.29,24.28,24.83,28.38
03 Jan,21.97,22.8,22.39,24.4,25.08,28.44
04 Jan,22.12,22.93,22.49,24.49,25.24,28.48
05 Jan,22.36,23.19,22.76,24.76,25.57,28.71
06 Jan,23.01,23.85,23.39,25.43,26.27,29.27
07 Jan,25.8,26.77,26.26,28.48,29.56,31.88
08 Jan,29.14,30.2,29.63,32.36,33.24,35.52
09 Jan,32.23,33.12,32.77,35.58,36.75,39.42
10 Jan,33.35,34.45,34.17,36.95,38.53,41.84
11 Jan,33.89,35.0,34.81,37.62,39.56,42.17
12 Jan,35.6,36.84,36.75,39.91,42.37,43.39
13 Jan,38.77,40.1,40.21,43.22,45.74,46.37
14 Jan,41.51,43.36,43.63,46.75,49.43,48.65
15 Jan,45.4,47.48,47.89,51.01,53.97,53.12
16 Jan,49.86,52.19,53.01,56.21,59.41,59.07
17 Jan,51.67,54.14,55.24,58.43,61.81,61.12
18 Jan,52.89,55.16,56.47,59.69,63.0,62.41
19 Jan,55.69,58.51,60.2,63.46,66.9,65.09
20 Jan,58.94,62.17,64.08,67.43,71.12,67.64
21 Jan,61.95,65.39,67.59,71.0,74.38,70.91
22 Jan,65.75,69.79,72.26,75.47,78.76,73.79
23 Jan,68.73,73.26,76.43,79.2,82.11,76.83
24 Jan,69.6,74.27,77.68,80.18,83.11,77.92
25 Jan,70.79,75.42,78.85,81.19,83.91,78.85
26 Jan,72.2,76.75,80.29,82.45,84.89,79.71
27 Jan,73.56,77.93,81.35,83.46,85.64,80.6
28 Jan,74.99,79.33,82.74,84.82,86.71,81.53
29 Jan,76.41,80.77,84.23,86.08,87.84,83.51
30 Jan,77.42,81.87,85.24,86.92,88.69,84.87
31 Jan,77.84,82.31,85.63,87.24,89.0,85.4
01 Feb,78.41,82.91,86.16,87.69,89.37,85.76
02 Feb,78.9,83.41,86.61,88.14,89.83,86.09
03 Feb,79.46,83.89,86.98,88.51,90.14,86.42
04 Feb,79.46,83.89,86.98,88.51,90.14,86.42
