covid_vacc_date,total,Not in a risk group,In a risk group
2022 09 Feb,540155.0,494116.0,46039.0
2022 10 Feb,542388.0,495943.0,46445.0
2022 11 Feb,544271.0,497504.0,46767.0
2022 12 Feb,547393.0,499212.0,48181.0
2022 13 Feb,548660.0,499989.0,48671.0
2022 14 Feb,550018.0,500969.0,49049.0
2022 15 Feb,551712.0,502243.0,49469.0
2022 16 Feb,553616.0,503601.0,50015.0
2022 17 Feb,555499.0,504875.0,50624.0
2022 18 Feb,556570.0,505540.0,51030.0
2022 19 Feb,558656.0,506807.0,51849.0
2022 20 Feb,559545.0,507346.0,52199.0
2022 21 Feb,560609.0,508144.0,52465.0
2022 22 Feb,561799.0,508984.0,52815.0
2022 23 Feb,563451.0,510034.0,53417.0
2022 24 Feb,564851.0,510853.0,53998.0
2022 25 Feb,566111.0,511644.0,54467.0
2022 26 Feb,567777.0,512666.0,55111.0
2022 27 Feb,568624.0,513212.0,55412.0
2022 28 Feb,569534.0,513870.0,55664.0
2022 01 Mar,570479.0,514640.0,55839.0
2022 02 Mar,571312.0,515284.0,56028.0
2022 03 Mar,572145.0,515963.0,56182.0
2022 04 Mar,573223.0,516747.0,56476.0
2022 05 Mar,574595.0,517699.0,56896.0
2022 06 Mar,575323.0,518175.0,57148.0
2022 07 Mar,575967.0,518700.0,57267.0
2022 08 Mar,576583.0,519218.0,57365.0
2022 09 Mar,577402.0,519904.0,57498.0
2022 10 Mar,578200.0,520541.0,57659.0
2022 11 Mar,579012.0,521185.0,57827.0
2022 12 Mar,580342.0,522165.0,58177.0
2022 13 Mar,581028.0,522690.0,58338.0
2022 14 Mar,581609.0,523194.0,58415.0
2022 15 Mar,582344.0,523782.0,58562.0
2022 16 Mar,582918.0,524251.0,58667.0
2022 17 Mar,583457.0,524692.0,58765.0
2022 18 Mar,584178.0,525280.0,58898.0
2022 19 Mar,585333.0,526176.0,59157.0
2022 20 Mar,585872.0,526610.0,59262.0
2022 21 Mar,586530.0,527191.0,59339.0
2022 22 Mar,587069.0,527653.0,59416.0
2022 23 Mar,587622.0,528122.0,59500.0
2022 24 Mar,588161.0,528598.0,59563.0
2022 25 Mar,588756.0,529116.0,59640.0
2022 26 Mar,589939.0,530180.0,59759.0
2022 27 Mar,590457.0,530600.0,59857.0
2022 28 Mar,590919.0,530999.0,59920.0
2022 29 Mar,591381.0,531412.0,59969.0
2022 30 Mar,591990.0,531916.0,60074.0
2022 31 Mar,592585.0,532441.0,60144.0
2022 01 Apr,593131.0,532917.0,60214.0
2022 02 Apr,594398.0,534086.0,60312.0
2022 03 Apr,595217.0,534842.0,60375.0
2022 04 Apr,597569.0,537068.0,60501.0
2022 05 Apr,600376.0,539728.0,60648.0
2022 06 Apr,603169.0,542367.0,60802.0
2022 07 Apr,605857.0,544894.0,60963.0
2022 08 Apr,608818.0,547687.0,61131.0
2022 09 Apr,615524.0,554015.0,61509.0
2022 10 Apr,620256.0,558495.0,61761.0
2022 11 Apr,625485.0,563493.0,61992.0
2022 12 Apr,631477.0,569205.0,62272.0
2022 13 Apr,637581.0,575064.0,62517.0
2022 14 Apr,643958.0,581168.0,62790.0
2022 15 Apr,647549.0,584619.0,62930.0
2022 16 Apr,653156.0,589988.0,63168.0
2022 17 Apr,654626.0,591409.0,63217.0
2022 18 Apr,657069.0,593747.0,63322.0
2022 19 Apr,662144.0,598619.0,63525.0
2022 20 Apr,666414.0,602707.0,63707.0
2022 21 Apr,672413.0,608496.0,63917.0
2022 22 Apr,678342.0,614166.0,64176.0
2022 23 Apr,687197.0,622664.0,64533.0
2022 24 Apr,692398.0,627662.0,64736.0
2022 25 Apr,694638.0,629797.0,64841.0
2022 26 Apr,697263.0,632303.0,64960.0
2022 27 Apr,700133.0,635026.0,65107.0
2022 28 Apr,703220.0,637952.0,65268.0
2022 29 Apr,706958.0,641508.0,65450.0
2022 30 Apr,715533.0,649712.0,65821.0
2022 01 May,719439.0,653457.0,65982.0
2022 02 May,721406.0,655354.0,66052.0
2022 03 May,723583.0,657419.0,66164.0
2022 04 May,726390.0,660100.0,66290.0
2022 05 May,728735.0,662326.0,66409.0
2022 06 May,731472.0,664930.0,66542.0
2022 07 May,738633.0,671797.0,66836.0
2022 08 May,742231.0,675234.0,66997.0
2022 09 May,743477.0,676410.0,67067.0
2022 10 May,744912.0,677775.0,67137.0
2022 11 May,746879.0,679651.0,67228.0
2022 12 May,748804.0,681492.0,67312.0
2022 13 May,750995.0,683585.0,67410.0
2022 14 May,757204.0,689514.0,67690.0
2022 15 May,760585.0,692741.0,67844.0
2022 16 May,761803.0,693882.0,67921.0
2022 17 May,763098.0,695128.0,67970.0
2022 18 May,764652.0,696598.0,68054.0
2022 19 May,766136.0,698005.0,68131.0
2022 20 May,767956.0,699762.0,68194.0
2022 21 May,772604.0,704207.0,68397.0
2022 22 May,774613.0,706125.0,68488.0
2022 23 May,775446.0,706923.0,68523.0
2022 24 May,776503.0,707903.0,68600.0
2022 25 May,777826.0,709163.0,68663.0
2022 26 May,778925.0,710206.0,68719.0
2022 27 May,780360.0,711585.0,68775.0
2022 28 May,783804.0,714882.0,68922.0
2022 29 May,785568.0,716562.0,69006.0
2022 30 May,787710.0,718627.0,69083.0
2022 31 May,789950.0,720769.0,69181.0
2022 01 Jun,792183.0,722897.0,69286.0
2022 02 Jun,792568.0,723261.0,69307.0
2022 03 Jun,792834.0,723513.0,69321.0
2022 04 Jun,794325.0,724934.0,69391.0
2022 05 Jun,795109.0,725676.0,69433.0
2022 06 Jun,795865.0,726404.0,69461.0
2022 07 Jun,796481.0,726992.0,69489.0
2022 08 Jun,797300.0,727776.0,69524.0
2022 09 Jun,798147.0,728574.0,69573.0
2022 10 Jun,798931.0,729330.0,69601.0
2022 11 Jun,801913.0,732186.0,69727.0
2022 12 Jun,803299.0,733516.0,69783.0
2022 13 Jun,803810.0,734013.0,69797.0
2022 14 Jun,804503.0,734671.0,69832.0
2022 15 Jun,805224.0,735378.0,69846.0
2022 16 Jun,806057.0,736169.0,69888.0
2022 17 Jun,806827.0,736904.0,69923.0
2022 18 Jun,809347.0,739298.0,70049.0
2022 19 Jun,810383.0,740278.0,70105.0
2022 20 Jun,810810.0,740691.0,70119.0
2022 21 Jun,811370.0,741216.0,70154.0
2022 22 Jun,812070.0,741874.0,70196.0
2022 23 Jun,812805.0,742581.0,70224.0
2022 24 Jun,813631.0,743358.0,70273.0
2022 25 Jun,816767.0,746263.0,70504.0
2022 26 Jun,817992.0,747390.0,70602.0
2022 27 Jun,818517.0,747866.0,70651.0
2022 28 Jun,819105.0,748398.0,70707.0
2022 29 Jun,819805.0,749035.0,70770.0
2022 30 Jun,820547.0,749714.0,70833.0
2022 01 Jul,821310.0,750407.0,70903.0
2022 02 Jul,823676.0,752598.0,71078.0
2022 03 Jul,824782.0,753620.0,71162.0
2022 04 Jul,825230.0,754033.0,71197.0
2022 05 Jul,825825.0,754600.0,71225.0
2022 06 Jul,826469.0,755202.0,71267.0
2022 07 Jul,827176.0,755874.0,71302.0
2022 08 Jul,827876.0,756525.0,71351.0
