covid_vacc_date,1 Most deprived,2,3,4,5 Least deprived,Unknown,1 Most deprived_total,2_total,3_total,4_total,5 Least deprived_total,Unknown_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,131439,173355,236166,243992,243264,20013
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,131439,173355,236166,243992,243264,20013
2020-12-04,0.0,0.0,0.0,0.0,0.0,0.0,131439,173355,236166,243992,243264,20013
2020-12-07,0.0,0.0,0.0,0.0,0.0,0.0,131439,173355,236166,243992,243264,20013
2020-12-08,35.0,77.0,91.0,147.0,126.0,7.0,131439,173355,236166,243992,243264,20013
2020-12-09,259.0,308.0,378.0,420.0,420.0,28.0,131439,173355,236166,243992,243264,20013
2020-12-10,476.0,588.0,721.0,861.0,868.0,56.0,131439,173355,236166,243992,243264,20013
2020-12-11,686.0,819.0,1029.0,1274.0,1323.0,84.0,131439,173355,236166,243992,243264,20013
2020-12-12,833.0,980.0,1302.0,1610.0,1596.0,91.0,131439,173355,236166,243992,243264,20013
2020-12-13,952.0,1134.0,1561.0,1883.0,1869.0,112.0,131439,173355,236166,243992,243264,20013
2020-12-14,1106.0,1407.0,1946.0,2338.0,2331.0,140.0,131439,173355,236166,243992,243264,20013
2020-12-15,3472.0,4466.0,6349.0,7049.0,6944.0,525.0,131439,173355,236166,243992,243264,20013
2020-12-16,6965.0,9513.0,13692.0,14931.0,15092.0,1099.0,131439,173355,236166,243992,243264,20013
2020-12-17,10430.0,14210.0,20363.0,21784.0,21875.0,1659.0,131439,173355,236166,243992,243264,20013
2020-12-18,12985.0,17465.0,24675.0,26054.0,26033.0,2100.0,131439,173355,236166,243992,243264,20013
2020-12-19,16506.0,21518.0,29470.0,31003.0,30814.0,2765.0,131439,173355,236166,243992,243264,20013
2020-12-20,19005.0,25102.0,33880.0,35392.0,35532.0,3269.0,131439,173355,236166,243992,243264,20013
2020-12-21,20328.0,26782.0,36099.0,38640.0,38836.0,3479.0,131439,173355,236166,243992,243264,20013
2020-12-22,23485.0,30226.0,40663.0,44240.0,44443.0,3927.0,131439,173355,236166,243992,243264,20013
2020-12-23,25431.0,32606.0,44135.0,48146.0,48594.0,4326.0,131439,173355,236166,243992,243264,20013
2020-12-24,25879.0,33033.0,44898.0,48965.0,49518.0,4417.0,131439,173355,236166,243992,243264,20013
2020-12-25,25879.0,33033.0,44898.0,48965.0,49518.0,4417.0,131439,173355,236166,243992,243264,20013
2020-12-26,25879.0,33033.0,44898.0,48965.0,49518.0,4417.0,131439,173355,236166,243992,243264,20013
2020-12-27,25900.0,33061.0,44926.0,48993.0,49595.0,4417.0,131439,173355,236166,243992,243264,20013
2020-12-28,25949.0,33138.0,45024.0,49070.0,49728.0,4424.0,131439,173355,236166,243992,243264,20013
2020-12-29,26754.0,34580.0,46487.0,50708.0,51373.0,4606.0,131439,173355,236166,243992,243264,20013
2020-12-30,28420.0,37737.0,50008.0,55048.0,55853.0,5040.0,131439,173355,236166,243992,243264,20013
2020-12-31,29512.0,39753.0,52486.0,58212.0,59206.0,5404.0,131439,173355,236166,243992,243264,20013
2021-01-01,29652.0,40005.0,52941.0,58807.0,59857.0,5579.0,131439,173355,236166,243992,243264,20013
2021-01-02,29862.0,40299.0,53354.0,59248.0,60585.0,5635.0,131439,173355,236166,243992,243264,20013
2021-01-03,29960.0,40432.0,53592.0,59535.0,61208.0,5656.0,131439,173355,236166,243992,243264,20013
2021-01-04,30149.0,40635.0,53830.0,59759.0,61586.0,5663.0,131439,173355,236166,243992,243264,20013
2021-01-05,30478.0,41090.0,54439.0,60389.0,62321.0,5691.0,131439,173355,236166,243992,243264,20013
2021-01-06,31367.0,42273.0,55965.0,62041.0,63952.0,5803.0,131439,173355,236166,243992,243264,20013
2021-01-07,35105.0,47628.0,62986.0,69706.0,72051.0,6307.0,131439,173355,236166,243992,243264,20013
2021-01-08,39718.0,53830.0,71001.0,79282.0,81102.0,7000.0,131439,173355,236166,243992,243264,20013
2021-01-09,43925.0,59038.0,78575.0,87283.0,89782.0,7777.0,131439,173355,236166,243992,243264,20013
2021-01-10,45486.0,61383.0,82061.0,90909.0,94311.0,8260.0,131439,173355,236166,243992,243264,20013
2021-01-11,46193.0,62377.0,83643.0,92540.0,96845.0,8330.0,131439,173355,236166,243992,243264,20013
2021-01-12,48468.0,65583.0,88123.0,98049.0,103698.0,8631.0,131439,173355,236166,243992,243264,20013
2021-01-13,52794.0,71561.0,96544.0,106295.0,112049.0,9226.0,131439,173355,236166,243992,243264,20013
2021-01-14,56595.0,77371.0,104664.0,115101.0,121044.0,9702.0,131439,173355,236166,243992,243264,20013
2021-01-15,61915.0,84707.0,115122.0,126014.0,132279.0,10598.0,131439,173355,236166,243992,243264,20013
2021-01-16,67935.0,93247.0,127764.0,139097.0,145607.0,11823.0,131439,173355,236166,243992,243264,20013
2021-01-17,70420.0,96803.0,133238.0,144683.0,151543.0,12236.0,131439,173355,236166,243992,243264,20013
2021-01-18,72030.0,98574.0,136094.0,147665.0,154371.0,12460.0,131439,173355,236166,243992,243264,20013
2021-01-19,76006.0,104818.0,145306.0,157521.0,164185.0,13041.0,131439,173355,236166,243992,243264,20013
