time_to_second_dose,ALL,ALL_total
49.0,126.0,606571
50.0,203.0,606571
51.0,294.0,606571
52.0,392.0,606571
53.0,525.0,606571
54.0,707.0,606571
55.0,1085.0,606571
56.0,4102.0,606571
57.0,5040.0,606571
58.0,5705.0,606571
59.0,6398.0,606571
60.0,6972.0,606571
61.0,7623.0,606571
62.0,8316.0,606571
63.0,9562.0,606571
64.0,10262.0,606571
65.0,10871.0,606571
66.0,11480.0,606571
67.0,12082.0,606571
68.0,12705.0,606571
69.0,13335.0,606571
70.0,14280.0,606571
71.0,14966.0,606571
72.0,15561.0,606571
73.0,16086.0,606571
74.0,16632.0,606571
75.0,17220.0,606571
76.0,17864.0,606571
77.0,19096.0,606571
78.0,19929.0,606571
79.0,20853.0,606571
80.0,21896.0,606571
81.0,23086.0,606571
82.0,24738.0,606571
83.0,27146.0,606571
84.0,67830.0,606571
85.0,88669.0,606571
86.0,106064.0,606571
87.0,120729.0,606571
88.0,134645.0,606571
89.0,147091.0,606571
90.0,159236.0,606571
91.0,173390.0,606571
92.0,183505.0,606571
93.0,192584.0,606571
94.0,200669.0,606571
95.0,208089.0,606571
96.0,215061.0,606571
97.0,222530.0,606571
98.0,231378.0,606571
99.0,238098.0,606571
100.0,244601.0,606571
101.0,250495.0,606571
102.0,256067.0,606571
103.0,261688.0,606571
104.0,267554.0,606571
105.0,276094.0,606571
106.0,282366.0,606571
107.0,287756.0,606571
108.0,292705.0,606571
109.0,296933.0,606571
110.0,301343.0,606571
111.0,305837.0,606571
112.0,311444.0,606571
113.0,315413.0,606571
114.0,318661.0,606571
115.0,321685.0,606571
116.0,325038.0,606571
117.0,328181.0,606571
118.0,331149.0,606571
119.0,335412.0,606571
120.0,338065.0,606571
121.0,340172.0,606571
122.0,342405.0,606571
123.0,344120.0,606571
124.0,346185.0,606571
125.0,348075.0,606571
126.0,350994.0,606571
127.0,352933.0,606571
128.0,354620.0,606571
129.0,356230.0,606571
130.0,357749.0,606571
131.0,359436.0,606571
