covid_vacc_date,no,yes,no_total,yes_total
2020-12-01,0.0,0.0,2067954,5369
2020-12-08,35.0,0.0,2067954,5369
2020-12-09,91.0,0.0,2067954,5369
2020-12-10,168.0,0.0,2067954,5369
2020-12-11,238.0,0.0,2067954,5369
2020-12-12,287.0,0.0,2067954,5369
2020-12-13,329.0,0.0,2067954,5369
2020-12-14,406.0,0.0,2067954,5369
2020-12-15,609.0,0.0,2067954,5369
2020-12-16,875.0,0.0,2067954,5369
2020-12-17,1498.0,0.0,2067954,5369
2020-12-18,2065.0,0.0,2067954,5369
2020-12-19,2737.0,0.0,2067954,5369
2020-12-20,3297.0,0.0,2067954,5369
2020-12-21,3962.0,0.0,2067954,5369
2020-12-22,4578.0,0.0,2067954,5369
2020-12-23,5299.0,0.0,2067954,5369
2020-12-24,5628.0,0.0,2067954,5369
2020-12-25,5635.0,0.0,2067954,5369
2020-12-26,5635.0,0.0,2067954,5369
2020-12-27,5663.0,0.0,2067954,5369
2020-12-28,5754.0,0.0,2067954,5369
2020-12-29,6209.0,0.0,2067954,5369
2020-12-30,8344.0,7.0,2067954,5369
2020-12-31,10570.0,21.0,2067954,5369
2021-01-01,11130.0,21.0,2067954,5369
2021-01-02,11886.0,28.0,2067954,5369
2021-01-03,12026.0,28.0,2067954,5369
2021-01-04,12243.0,28.0,2067954,5369
2021-01-05,12691.0,28.0,2067954,5369
2021-01-06,15358.0,35.0,2067954,5369
2021-01-07,24990.0,56.0,2067954,5369
2021-01-08,37751.0,98.0,2067954,5369
2021-01-09,48384.0,112.0,2067954,5369
2021-01-10,52941.0,126.0,2067954,5369
2021-01-11,56539.0,133.0,2067954,5369
2021-01-12,63945.0,154.0,2067954,5369
2021-01-13,80262.0,189.0,2067954,5369
2021-01-14,98973.0,245.0,2067954,5369
2021-01-15,121317.0,301.0,2067954,5369
2021-01-16,139671.0,322.0,2067954,5369
2021-01-17,147336.0,329.0,2067954,5369
2021-01-18,155540.0,364.0,2067954,5369
2021-01-19,190435.0,413.0,2067954,5369
2021-01-20,236523.0,497.0,2067954,5369
2021-01-21,289429.0,616.0,2067954,5369
2021-01-22,373156.0,805.0,2067954,5369
2021-01-23,478898.0,973.0,2067954,5369
2021-01-24,515886.0,1022.0,2067954,5369
2021-01-25,547239.0,1085.0,2067954,5369
2021-01-26,591416.0,1169.0,2067954,5369
2021-01-27,636433.0,1274.0,2067954,5369
2021-01-28,713797.0,1435.0,2067954,5369
2021-01-29,833035.0,1659.0,2067954,5369
2021-01-30,962220.0,1897.0,2067954,5369
2021-01-31,1036021.0,2023.0,2067954,5369
2021-02-01,1097327.0,2142.0,2067954,5369
2021-02-02,1168517.0,2268.0,2067954,5369
2021-02-03,1260098.0,2485.0,2067954,5369
2021-02-04,1355123.0,2702.0,2067954,5369
2021-02-05,1443239.0,2919.0,2067954,5369
2021-02-06,1557871.0,3199.0,2067954,5369
2021-02-07,1615222.0,3332.0,2067954,5369
2021-02-08,1663592.0,3472.0,2067954,5369
2021-02-09,1722602.0,3647.0,2067954,5369
2021-02-10,1767500.0,3822.0,2067954,5369
2021-02-11,1809780.0,3997.0,2067954,5369
2021-02-12,1845179.0,4179.0,2067954,5369
2021-02-13,1876000.0,4284.0,2067954,5369
2021-02-14,1885093.0,4305.0,2067954,5369
2021-02-15,1892632.0,4340.0,2067954,5369
2021-02-16,1899051.0,4382.0,2067954,5369
2021-02-17,1904700.0,4417.0,2067954,5369
2021-02-18,1909215.0,4459.0,2067954,5369
2021-02-19,1912596.0,4487.0,2067954,5369
2021-02-20,1915599.0,4508.0,2067954,5369
2021-02-21,1916488.0,4515.0,2067954,5369
2021-02-22,1917874.0,4536.0,2067954,5369
2021-02-23,1919946.0,4550.0,2067954,5369
2021-02-24,1922522.0,4578.0,2067954,5369
