covid_vacc_date,1 Most deprived,2,3,4,5 Least deprived,Unknown
01 Dec,0.0,0.0,0.0,0.0,0.0,0.0
08 Dec,0.0,0.0,0.0,0.0,0.0,0.0
09 Dec,0.01,0.0,0.0,0.0,0.01,0.0
10 Dec,0.01,0.01,0.01,0.01,0.01,0.0
11 Dec,0.01,0.01,0.01,0.01,0.01,0.0
12 Dec,0.02,0.01,0.01,0.01,0.01,0.0
13 Dec,0.02,0.01,0.02,0.02,0.02,0.0
14 Dec,0.02,0.02,0.02,0.02,0.02,0.0
15 Dec,0.03,0.03,0.03,0.03,0.03,0.02
16 Dec,0.05,0.04,0.04,0.05,0.04,0.04
17 Dec,0.09,0.07,0.07,0.07,0.07,0.06
18 Dec,0.13,0.1,0.1,0.09,0.08,0.07
19 Dec,0.2,0.13,0.13,0.12,0.11,0.09
20 Dec,0.23,0.15,0.15,0.15,0.13,0.11
21 Dec,0.28,0.18,0.18,0.18,0.16,0.15
22 Dec,0.33,0.22,0.21,0.2,0.18,0.17
23 Dec,0.38,0.26,0.25,0.23,0.21,0.18
24 Dec,0.41,0.27,0.27,0.24,0.22,0.2
25 Dec,0.41,0.27,0.27,0.24,0.22,0.2
26 Dec,0.41,0.27,0.27,0.24,0.22,0.2
27 Dec,0.41,0.27,0.27,0.24,0.22,0.2
28 Dec,0.41,0.28,0.27,0.25,0.23,0.2
29 Dec,0.45,0.3,0.28,0.26,0.24,0.22
30 Dec,0.57,0.4,0.36,0.38,0.32,0.28
31 Dec,0.66,0.48,0.46,0.51,0.43,0.4
01 Jan,0.67,0.5,0.48,0.55,0.44,0.42
02 Jan,0.7,0.53,0.5,0.62,0.49,0.46
03 Jan,0.7,0.54,0.51,0.62,0.49,0.48
04 Jan,0.71,0.55,0.51,0.63,0.5,0.48
05 Jan,0.73,0.57,0.53,0.65,0.53,0.5
06 Jan,0.93,0.66,0.64,0.8,0.62,0.66
07 Jan,1.45,1.16,1.07,1.32,0.96,1.16
08 Jan,2.27,1.84,1.64,1.92,1.43,1.77
09 Jan,2.95,2.3,2.06,2.46,1.91,2.39
10 Jan,3.24,2.52,2.24,2.69,2.1,2.85
11 Jan,3.46,2.66,2.39,2.83,2.3,3.0
12 Jan,3.88,3.1,2.69,3.17,2.63,3.22
13 Jan,4.75,3.92,3.4,3.96,3.34,4.36
14 Jan,5.71,4.95,4.27,4.87,4.11,5.08
15 Jan,6.72,6.02,5.35,5.99,5.13,6.2
16 Jan,7.51,6.82,6.19,6.81,6.17,7.53
17 Jan,7.8,7.17,6.53,7.22,6.57,7.93
18 Jan,8.18,7.53,6.89,7.64,6.97,8.43
19 Jan,9.84,9.21,8.45,9.47,8.55,10.3
20 Jan,12.09,11.45,10.55,11.62,10.88,12.13
21 Jan,14.74,14.03,12.96,14.16,13.42,14.72
22 Jan,18.68,18.14,16.83,18.18,17.55,18.07
23 Jan,23.23,22.78,21.83,23.35,23.19,22.63
24 Jan,24.72,24.49,23.63,25.05,25.16,24.58
25 Jan,25.92,26.01,25.09,26.66,26.77,26.0
26 Jan,27.99,28.13,27.3,28.77,28.82,27.91
27 Jan,30.3,30.28,29.42,30.87,30.96,29.99
28 Jan,33.9,34.04,32.99,34.65,34.75,32.68
29 Jan,38.62,39.43,38.87,40.53,40.69,36.88
30 Jan,43.75,44.91,45.08,46.76,47.69,44.03
31 Jan,46.41,48.01,48.74,50.36,51.77,47.86
01 Feb,49.1,50.94,51.65,53.3,54.77,50.34
02 Feb,51.87,54.06,54.95,56.8,58.55,53.49
03 Feb,55.53,57.86,58.96,61.04,63.12,58.77
04 Feb,55.53,57.86,58.96,61.04,63.12,58.77
