covid_vacc_date,total,Priority groups,Others
2020 01 Dec,49.0,35.0,14.0
2020 02 Dec,98.0,70.0,28.0
2020 03 Dec,140.0,105.0,35.0
2020 04 Dec,203.0,140.0,63.0
2020 05 Dec,224.0,154.0,70.0
2020 06 Dec,224.0,154.0,70.0
2020 07 Dec,273.0,189.0,84.0
2020 08 Dec,2506.0,1701.0,805.0
2020 09 Dec,6972.0,4830.0,2142.0
2020 10 Dec,11865.0,8309.0,3556.0
2020 11 Dec,16730.0,11718.0,5012.0
2020 12 Dec,21189.0,14546.0,6643.0
2020 13 Dec,24689.0,16842.0,7847.0
2020 14 Dec,29771.0,20314.0,9457.0
2020 15 Dec,54978.0,43029.0,11949.0
2020 16 Dec,94696.0,79667.0,15029.0
2020 17 Dec,132524.0,113890.0,18634.0
2020 18 Dec,159992.0,137858.0,22134.0
2020 19 Dec,189952.0,164864.0,25088.0
2020 20 Dec,219275.0,190211.0,29064.0
2020 21 Dec,242795.0,208726.0,34069.0
2020 22 Dec,276297.0,237643.0,38654.0
2020 23 Dec,306250.0,261485.0,44765.0
2020 24 Dec,316610.0,268765.0,47845.0
2020 25 Dec,316666.0,268793.0,47873.0
2020 26 Dec,316995.0,268912.0,48083.0
2020 27 Dec,319088.0,269990.0,49098.0
2020 28 Dec,322798.0,271957.0,50841.0
2020 29 Dec,339458.0,284207.0,55251.0
2020 30 Dec,381906.0,316911.0,64995.0
2020 31 Dec,417788.0,343231.0,74557.0
2021 01 Jan,426139.0,348943.0,77196.0
2021 02 Jan,435197.0,354613.0,80584.0
2021 03 Jan,441875.0,358337.0,83538.0
2021 04 Jan,452571.0,363986.0,88585.0
2021 05 Jan,473228.0,375578.0,97650.0
2021 06 Jan,506940.0,396907.0,110033.0
2021 07 Jan,585802.0,458150.0,127652.0
2021 08 Jan,676886.0,530243.0,146643.0
2021 09 Jan,756798.0,593313.0,163485.0
2021 10 Jan,797916.0,623266.0,174650.0
2021 11 Jan,840630.0,649789.0,190841.0
2021 12 Jan,910938.0,700035.0,210903.0
2021 13 Jan,1006999.0,774074.0,232925.0
2021 14 Jan,1109647.0,853034.0,256613.0
2021 15 Jan,1233799.0,950579.0,283220.0
2021 16 Jan,1354136.0,1047529.0,306607.0
2021 17 Jan,1417220.0,1093883.0,323337.0
2021 18 Jan,1475957.0,1132936.0,343021.0
2021 19 Jan,1593284.0,1228304.0,364980.0
2021 20 Jan,1729882.0,1340353.0,389529.0
2021 21 Jan,1871121.0,1456462.0,414659.0
2021 22 Jan,2065308.0,1622810.0,442498.0
2021 23 Jan,2260951.0,1795563.0,465388.0
2021 24 Jan,2339288.0,1860082.0,479206.0
2021 25 Jan,2414580.0,1918945.0,495635.0
2021 26 Jan,2510746.0,1996057.0,514689.0
2021 27 Jan,2605267.0,2072847.0,532420.0
2021 28 Jan,2741963.0,2191175.0,550788.0
2021 29 Jan,2926483.0,2356053.0,570430.0
2021 30 Jan,3113012.0,2526643.0,586369.0
2021 31 Jan,3225131.0,2626645.0,598486.0
2021 01 Feb,3326519.0,2716623.0,609896.0
2021 02 Feb,3444063.0,2822141.0,621922.0
2021 03 Feb,3593863.0,2958676.0,635187.0
2021 04 Feb,3754527.0,3104822.0,649705.0
2021 05 Feb,3910725.0,3247020.0,663705.0
2021 06 Feb,4110484.0,3434417.0,676067.0
2021 07 Feb,4212929.0,3529393.0,683536.0
