covid_vacc_date,1 Most deprived,2,3,4,5 Least deprived,Unknown,1 Most deprived_total,2_total,3_total,4_total,5 Least deprived_total,Unknown_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-02,0.0,0.0,7.0,7.0,0.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-03,0.0,0.0,7.0,7.0,7.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-04,0.0,0.0,14.0,14.0,14.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-05,0.0,0.0,14.0,14.0,14.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-07,0.0,7.0,14.0,14.0,14.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-08,14.0,14.0,21.0,28.0,28.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-09,21.0,28.0,35.0,42.0,56.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-10,28.0,35.0,49.0,70.0,70.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-11,35.0,49.0,63.0,91.0,91.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-12,42.0,56.0,84.0,105.0,105.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-13,49.0,63.0,91.0,119.0,112.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-14,56.0,77.0,112.0,147.0,133.0,0.0,270032,351659,466193,483231,474446,42392
2020-12-15,98.0,112.0,161.0,182.0,175.0,14.0,270032,351659,466193,483231,474446,42392
2020-12-16,140.0,147.0,217.0,266.0,224.0,14.0,270032,351659,466193,483231,474446,42392
2020-12-17,238.0,245.0,364.0,385.0,336.0,28.0,270032,351659,466193,483231,474446,42392
2020-12-18,336.0,343.0,504.0,504.0,434.0,35.0,270032,351659,466193,483231,474446,42392
2020-12-19,497.0,448.0,623.0,616.0,539.0,42.0,270032,351659,466193,483231,474446,42392
2020-12-20,574.0,525.0,735.0,756.0,651.0,42.0,270032,351659,466193,483231,474446,42392
2020-12-21,707.0,616.0,882.0,889.0,777.0,56.0,270032,351659,466193,483231,474446,42392
2020-12-22,840.0,742.0,980.0,1015.0,875.0,63.0,270032,351659,466193,483231,474446,42392
2020-12-23,973.0,882.0,1162.0,1141.0,987.0,77.0,270032,351659,466193,483231,474446,42392
2020-12-24,1043.0,938.0,1239.0,1197.0,1036.0,84.0,270032,351659,466193,483231,474446,42392
2020-12-25,1043.0,938.0,1239.0,1197.0,1036.0,84.0,270032,351659,466193,483231,474446,42392
2020-12-26,1043.0,938.0,1239.0,1197.0,1036.0,84.0,270032,351659,466193,483231,474446,42392
2020-12-27,1050.0,945.0,1246.0,1204.0,1057.0,84.0,270032,351659,466193,483231,474446,42392
2020-12-28,1057.0,959.0,1267.0,1232.0,1078.0,84.0,270032,351659,466193,483231,474446,42392
2020-12-29,1155.0,1022.0,1323.0,1316.0,1148.0,91.0,270032,351659,466193,483231,474446,42392
2020-12-30,1449.0,1358.0,1617.0,1813.0,1519.0,112.0,270032,351659,466193,483231,474446,42392
2020-12-31,1652.0,1575.0,2037.0,2366.0,1988.0,147.0,270032,351659,466193,483231,474446,42392
2021-01-01,1687.0,1652.0,2149.0,2576.0,2051.0,154.0,270032,351659,466193,483231,474446,42392
2021-01-02,1736.0,1743.0,2233.0,2849.0,2233.0,168.0,270032,351659,466193,483231,474446,42392
2021-01-03,1743.0,1771.0,2261.0,2891.0,2254.0,168.0,270032,351659,466193,483231,474446,42392
2021-01-04,1757.0,1806.0,2303.0,2947.0,2317.0,175.0,270032,351659,466193,483231,474446,42392
2021-01-05,1827.0,1883.0,2380.0,3038.0,2415.0,182.0,270032,351659,466193,483231,474446,42392
2021-01-06,2331.0,2184.0,2877.0,3710.0,2842.0,245.0,270032,351659,466193,483231,474446,42392
