covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White
01 Dec,0.0,0.0,0.0,0.0,0.0,0.0
08 Dec,0.0,0.0,0.0,0.0,0.06,0.05
09 Dec,0.0,0.0,0.25,0.08,0.19,0.17
10 Dec,0.07,0.25,0.5,0.16,0.35,0.35
11 Dec,0.14,0.25,0.63,0.21,0.5,0.51
12 Dec,0.14,0.5,0.75,0.26,0.6,0.64
13 Dec,0.2,0.5,0.88,0.34,0.68,0.75
14 Dec,0.2,0.5,1.01,0.44,0.83,0.92
15 Dec,1.08,1.74,2.14,1.61,2.73,2.78
16 Dec,2.63,3.23,3.9,3.63,5.87,5.86
17 Dec,4.05,4.98,5.41,5.53,8.68,8.61
18 Dec,5.0,6.22,6.66,7.0,10.38,10.42
19 Dec,6.42,8.21,8.55,9.6,12.21,12.73
20 Dec,7.29,9.46,9.93,11.13,13.91,14.74
21 Dec,7.97,10.2,10.69,12.12,14.91,15.94
22 Dec,8.78,11.7,11.69,13.28,16.76,18.19
23 Dec,9.19,12.44,12.7,13.88,18.21,19.77
24 Dec,9.32,12.94,12.83,14.32,18.48,20.13
25 Dec,9.32,12.94,12.83,14.32,18.48,20.13
26 Dec,9.32,12.94,12.83,14.32,18.48,20.13
27 Dec,9.32,12.94,12.83,14.35,18.49,20.15
28 Dec,9.32,12.94,12.95,14.37,18.53,20.19
29 Dec,9.66,13.69,13.33,14.89,19.04,20.96
30 Dec,10.67,14.68,14.46,16.03,20.56,22.76
31 Dec,11.14,15.43,15.21,16.94,21.86,23.97
01 Jan,11.14,15.43,15.34,16.97,22.13,24.18
02 Jan,11.21,15.43,15.34,17.12,22.34,24.39
03 Jan,11.21,15.43,15.34,17.15,22.49,24.52
04 Jan,11.28,15.68,15.47,17.2,22.62,24.64
05 Jan,11.41,15.68,15.47,17.38,22.9,24.92
06 Jan,11.62,16.17,15.97,17.85,23.57,25.59
07 Jan,12.36,17.42,17.86,19.07,26.48,28.74
08 Jan,14.66,20.9,21.25,21.97,29.93,32.4
09 Jan,17.22,23.39,23.64,25.32,33.01,35.68
10 Jan,18.57,24.64,24.77,26.88,34.47,37.13
11 Jan,19.18,25.38,25.15,27.5,35.16,37.84
12 Jan,19.86,26.38,26.15,28.36,37.43,40.03
13 Jan,21.28,27.87,27.79,30.87,40.73,43.44
14 Jan,24.04,30.86,31.44,35.52,43.98,46.82
15 Jan,27.08,34.84,34.2,39.25,48.21,51.13
16 Jan,29.79,38.07,37.85,42.16,53.19,56.36
17 Jan,30.73,39.82,40.49,43.61,55.28,58.6
18 Jan,31.68,40.56,42.0,44.44,56.4,59.83
19 Jan,33.43,42.8,44.01,46.96,59.91,63.51
20 Jan,36.07,46.04,46.65,50.18,63.69,67.41
21 Jan,38.23,48.52,48.54,52.3,67.04,70.83
22 Jan,41.07,52.26,53.06,55.73,71.33,75.28
23 Jan,43.5,54.75,57.09,58.43,74.97,78.89
24 Jan,44.58,55.99,58.6,59.28,75.96,79.95
25 Jan,45.79,57.23,59.1,60.37,77.01,80.98
26 Jan,47.35,58.48,60.73,61.72,78.35,82.2
27 Jan,48.9,59.23,61.61,62.91,79.48,83.19
28 Jan,50.32,60.47,63.0,64.13,80.78,84.5
29 Jan,51.4,61.96,63.75,65.3,82.15,85.85
30 Jan,52.55,62.96,64.63,66.29,83.19,86.76
31 Jan,53.02,63.21,65.01,66.78,83.57,87.13
01 Feb,53.63,63.7,65.51,67.33,84.06,87.61
02 Feb,54.24,64.45,66.01,67.97,84.58,88.05
03 Feb,54.78,64.7,66.39,68.67,85.04,88.41
04 Feb,54.78,64.7,66.39,68.67,85.04,88.41
