covid_vacc_date,1 Most deprived,2,3,4,5 Least deprived,Unknown
01 Dec,0.0,0.0,0.0,0.0,0.0,0.0
08 Dec,0.03,0.04,0.04,0.06,0.05,0.07
09 Dec,0.19,0.17,0.16,0.17,0.18,0.2
10 Dec,0.36,0.33,0.31,0.36,0.36,0.33
11 Dec,0.52,0.47,0.45,0.53,0.54,0.46
12 Dec,0.62,0.56,0.56,0.67,0.66,0.53
13 Dec,0.71,0.64,0.66,0.78,0.77,0.6
14 Dec,0.82,0.8,0.83,0.96,0.96,0.73
15 Dec,2.52,2.5,2.67,2.9,2.86,2.59
16 Dec,5.07,5.37,5.72,6.14,6.14,5.34
17 Dec,7.58,8.07,8.51,8.92,8.9,8.07
18 Dec,9.47,9.87,10.27,10.63,10.57,10.19
19 Dec,12.04,12.19,12.31,12.67,12.56,13.68
20 Dec,13.9,14.23,14.14,14.47,14.53,16.1
21 Dec,14.84,15.17,15.08,15.81,15.88,17.03
22 Dec,17.08,16.97,16.92,18.07,18.16,19.22
23 Dec,18.52,18.27,18.35,19.63,19.82,21.21
24 Dec,18.86,18.51,18.69,19.97,20.2,21.68
25 Dec,18.86,18.51,18.69,19.97,20.2,21.68
26 Dec,18.86,18.51,18.69,19.97,20.2,21.68
27 Dec,18.88,18.52,18.7,19.98,20.23,21.68
28 Dec,18.91,18.56,18.74,20.02,20.28,21.71
29 Dec,19.49,19.41,19.35,20.67,20.98,22.64
30 Dec,20.77,21.28,20.81,22.48,22.85,25.13
31 Dec,21.67,22.45,21.89,23.82,24.24,27.12
01 Jan,21.76,22.6,22.08,24.07,24.5,28.05
02 Jan,21.93,22.77,22.26,24.25,24.81,28.35
03 Jan,22.0,22.84,22.36,24.37,25.06,28.45
04 Jan,22.15,22.98,22.46,24.47,25.22,28.48
05 Jan,22.39,23.25,22.73,24.73,25.54,28.68
06 Jan,23.04,23.9,23.36,25.4,26.25,29.25
07 Jan,25.83,26.83,26.22,28.45,29.53,31.87
08 Jan,29.15,30.26,29.57,32.27,33.14,35.45
09 Jan,32.24,33.17,32.7,35.46,36.62,39.37
10 Jan,33.3,34.47,34.07,36.8,38.37,41.76
11 Jan,33.83,34.99,34.69,37.46,39.39,42.09
12 Jan,35.53,36.83,36.61,39.74,42.18,43.32
13 Jan,38.67,40.05,40.02,43.01,45.54,46.24
14 Jan,41.39,43.29,43.42,46.52,49.22,48.5
15 Jan,45.26,47.36,47.65,50.76,53.73,52.95
16 Jan,49.7,52.07,52.75,55.94,59.15,58.93
17 Jan,51.51,54.01,54.98,58.16,61.54,60.98
18 Jan,52.72,55.01,56.18,59.39,62.72,62.25
19 Jan,55.51,58.32,59.89,63.14,66.6,64.9
20 Jan,58.74,61.94,63.72,67.1,70.81,67.42
21 Jan,61.72,65.1,67.16,70.6,74.01,70.68
22 Jan,65.49,69.44,71.74,75.01,78.33,73.53
23 Jan,68.44,72.86,75.84,78.68,81.63,76.55
24 Jan,69.29,73.83,77.03,79.64,82.6,77.62
25 Jan,70.45,74.94,78.16,80.62,83.38,78.55
26 Jan,71.76,76.16,79.47,81.83,84.31,79.37
27 Jan,72.94,77.11,80.37,82.69,84.93,80.17
