covid_vacc_date,total,Priority groups,Others
2020 01 Dec,21.0,14.0,7.0
2020 02 Dec,42.0,28.0,14.0
2020 03 Dec,49.0,28.0,21.0
2020 04 Dec,63.0,35.0,28.0
2020 06 Dec,70.0,42.0,28.0
2020 07 Dec,84.0,49.0,35.0
2020 08 Dec,2303.0,1547.0,756.0
2020 09 Dec,6783.0,4669.0,2114.0
2020 10 Dec,11683.0,8148.0,3535.0
2020 11 Dec,16597.0,11571.0,5026.0
2020 12 Dec,21098.0,14427.0,6671.0
2020 13 Dec,24619.0,16730.0,7889.0
2020 14 Dec,29729.0,20223.0,9506.0
2020 15 Dec,55734.0,43680.0,12054.0
2020 16 Dec,96782.0,81592.0,15190.0
2020 17 Dec,135758.0,116886.0,18872.0
2020 18 Dec,163912.0,141449.0,22463.0
2020 19 Dec,194824.0,169330.0,25494.0
2020 20 Dec,224896.0,195342.0,29554.0
2020 21 Dec,248822.0,214165.0,34657.0
2020 22 Dec,282961.0,243635.0,39326.0
2020 23 Dec,313285.0,267750.0,45535.0
2020 24 Dec,323827.0,275163.0,48664.0
2020 25 Dec,323876.0,275184.0,48692.0
2020 26 Dec,324205.0,275303.0,48902.0
2020 27 Dec,326298.0,276353.0,49945.0
2020 28 Dec,330008.0,278299.0,51709.0
2020 29 Dec,347011.0,290801.0,56210.0
2020 30 Dec,391006.0,324807.0,66199.0
2020 31 Dec,428078.0,352079.0,75999.0
2021 01 Jan,436520.0,357861.0,78659.0
2021 02 Jan,445676.0,363594.0,82082.0
2021 03 Jan,452340.0,367297.0,85043.0
2021 04 Jan,463057.0,372897.0,90160.0
2021 05 Jan,483833.0,384447.0,99386.0
2021 06 Jan,517867.0,405916.0,111951.0
2021 07 Jan,597968.0,468055.0,129913.0
2021 08 Jan,691138.0,541877.0,149261.0
2021 09 Jan,772954.0,606522.0,166432.0
2021 10 Jan,814674.0,636846.0,177828.0
2021 11 Jan,857990.0,663656.0,194334.0
2021 12 Jan,929971.0,715260.0,214711.0
2021 13 Jan,1027901.0,790811.0,237090.0
2021 14 Jan,1132992.0,871703.0,261289.0
2021 15 Jan,1259573.0,971110.0,288463.0
2021 16 Jan,1382283.0,1070006.0,312277.0
2021 17 Jan,1445766.0,1116507.0,329259.0
2021 18 Jan,1505476.0,1156190.0,349286.0
2021 19 Jan,1624427.0,1252811.0,371616.0
2021 20 Jan,1762894.0,1366253.0,396641.0
2021 21 Jan,1906289.0,1484147.0,422142.0
2021 22 Jan,2104053.0,1653603.0,450450.0
2021 23 Jan,2301271.0,1827658.0,473613.0
2021 24 Jan,2379874.0,1892338.0,487536.0
2021 25 Jan,2456475.0,1952167.0,504308.0
2021 26 Jan,2554335.0,2030609.0,523726.0
2021 27 Jan,2650046.0,2108267.0,541779.0
2021 28 Jan,2788898.0,2228457.0,560441.0
2021 29 Jan,2975315.0,2394889.0,580426.0
2021 30 Jan,3163811.0,2567222.0,596589.0
2021 31 Jan,3276896.0,2667966.0,608930.0
2021 01 Feb,3379600.0,2759106.0,620494.0
2021 02 Feb,3498012.0,2865289.0,632723.0
2021 03 Feb,3648456.0,3002237.0,646219.0
2021 04 Feb,3810758.0,3149741.0,661017.0
2021 05 Feb,3968496.0,3293220.0,675276.0
2021 06 Feb,4169900.0,3481996.0,687904.0
2021 07 Feb,4271652.0,3576237.0,695415.0
2021 08 Feb,4367503.0,3664171.0,703332.0
2021 09 Feb,4499964.0,3786727.0,713237.0
2021 10 Feb,4642071.0,3917676.0,724395.0
2021 11 Feb,4810547.0,4072607.0,737940.0
2021 12 Feb,4987010.0,4233005.0,754005.0
2021 13 Feb,5169059.0,4397561.0,771498.0
2021 14 Feb,5246444.0,4465132.0,781312.0
2021 15 Feb,5328169.0,4535258.0,792911.0
2021 16 Feb,5457879.0,4645697.0,812182.0
2021 17 Feb,5635784.0,4794132.0,841652.0
2021 18 Feb,5795398.0,4923219.0,872179.0
2021 19 Feb,5924947.0,5025167.0,899780.0
2021 20 Feb,6050198.0,5122383.0,927815.0
2021 21 Feb,6098414.0,5158356.0,940058.0
2021 22 Feb,6159069.0,5204815.0,954254.0
2021 23 Feb,6276473.0,5292322.0,984151.0
2021 24 Feb,6438621.0,5414332.0,1024289.0
2021 25 Feb,6615798.0,5547094.0,1068704.0
2021 26 Feb,6802460.0,5686709.0,1115751.0
2021 27 Feb,6949530.0,5793767.0,1155763.0
2021 28 Feb,7015589.0,5842704.0,1172885.0
2021 01 Mar,7072205.0,5884739.0,1187466.0
2021 02 Mar,7138138.0,5935314.0,1202824.0
2021 03 Mar,7238203.0,6007526.0,1230677.0
2021 04 Mar,7372960.0,6107640.0,1265320.0
2021 05 Mar,7518217.0,6213326.0,1304891.0
2021 06 Mar,7671860.0,6323023.0,1348837.0
2021 07 Mar,7724234.0,6363063.0,1361171.0
2021 08 Mar,7786709.0,6412721.0,1373988.0
2021 09 Mar,7855610.0,6466089.0,1389521.0
2021 10 Mar,7934794.0,6525022.0,1409772.0
2021 11 Mar,8013796.0,6586902.0,1426894.0
2021 12 Mar,8145424.0,6685056.0,1460368.0
2021 13 Mar,8347318.0,6839133.0,1508185.0
2021 14 Mar,8442504.0,6912899.0,1529605.0
2021 15 Mar,8577226.0,7019901.0,1557325.0
2021 16 Mar,8734831.0,7143255.0,1591576.0
2021 17 Mar,8901270.0,7272384.0,1628886.0
2021 18 Mar,9099916.0,7429723.0,1670193.0
2021 19 Mar,9316216.0,7597947.0,1718269.0
2021 20 Mar,9615543.0,7829983.0,1785560.0
2021 21 Mar,9741802.0,7923384.0,1818418.0
2021 22 Mar,9853949.0,8005557.0,1848392.0
2021 23 Mar,9967489.0,8084174.0,1883315.0
2021 24 Mar,10080007.0,8156288.0,1923719.0
2021 25 Mar,10198531.0,8225952.0,1972579.0
2021 26 Mar,10332196.0,8300026.0,2032170.0
2021 27 Mar,10512404.0,8389927.0,2122477.0
2021 28 Mar,10607058.0,8434979.0,2172079.0
2021 29 Mar,10680873.0,8470574.0,2210299.0
2021 30 Mar,10753799.0,8502081.0,2251718.0
2021 31 Mar,10828699.0,8533476.0,2295223.0
2021 01 Apr,10879078.0,8551123.0,2327955.0
2021 02 Apr,10910025.0,8562519.0,2347506.0
2021 03 Apr,10941203.0,8575007.0,2366196.0
2021 04 Apr,10956071.0,8580705.0,2375366.0
2021 05 Apr,10963148.0,8583358.0,2379790.0
2021 06 Apr,10982202.0,8588888.0,2393314.0
2021 07 Apr,11006576.0,8596469.0,2410107.0
2021 08 Apr,11027485.0,8603518.0,2423967.0
2021 09 Apr,11053546.0,8612548.0,2440998.0
2021 10 Apr,11084234.0,8621361.0,2462873.0
2021 11 Apr,11098843.0,8624903.0,2473940.0
2021 12 Apr,11107796.0,8628011.0,2479785.0
2021 13 Apr,11123966.0,8631406.0,2492560.0
2021 14 Apr,11153814.0,8634878.0,2518936.0
2021 15 Apr,11192762.0,8638546.0,2554216.0
2021 16 Apr,11233712.0,8642417.0,2591295.0
2021 17 Apr,11280724.0,8646281.0,2634443.0
2021 18 Apr,11311510.0,8648178.0,2663332.0
2021 19 Apr,11340714.0,8650173.0,2690541.0
2021 20 Apr,11369071.0,8652455.0,2716616.0
2021 21 Apr,11403343.0,8655220.0,2748123.0
2021 22 Apr,11441318.0,8658111.0,2783207.0
2021 23 Apr,11481827.0,8661205.0,2820622.0
2021 24 Apr,11533942.0,8664565.0,2869377.0
2021 25 Apr,11559079.0,8666406.0,2892673.0
2021 26 Apr,11581738.0,8668331.0,2913407.0
2021 27 Apr,11615940.0,8670732.0,2945208.0
2021 28 Apr,11653376.0,8673238.0,2980138.0
2021 29 Apr,11696307.0,8676045.0,3020262.0
2021 30 Apr,11738510.0,8678712.0,3059798.0
2021 01 May,11782953.0,8680910.0,3102043.0
2021 02 May,11810316.0,8682044.0,3128272.0
2021 03 May,11832331.0,8682793.0,3149538.0
2021 04 May,11868220.0,8684249.0,3183971.0
2021 05 May,11908764.0,8686293.0,3222471.0
2021 06 May,11947096.0,8688869.0,3258227.0
2021 07 May,11991504.0,8691305.0,3300199.0
2021 08 May,12044445.0,8693783.0,3350662.0
2021 09 May,12072732.0,8695008.0,3377724.0
2021 10 May,12100557.0,8696569.0,3403988.0
2021 11 May,12136082.0,8698837.0,3437245.0
2021 12 May,12196457.0,8701938.0,3494519.0
2021 13 May,12265218.0,8705228.0,3559990.0
2021 14 May,12336947.0,8708427.0,3628520.0
2021 15 May,12418553.0,8711829.0,3706724.0
2021 16 May,12459867.0,8713544.0,3746323.0
2021 17 May,12489036.0,8715182.0,3773854.0
2021 18 May,12545820.0,8717632.0,3828188.0
2021 19 May,12640194.0,8721104.0,3919090.0
2021 20 May,12728429.0,8724457.0,4003972.0
