covid_vacc_date,no,yes,no_total,yes_total
2020-12-01,7.0,0.0,1522059,19404
2020-12-02,14.0,0.0,1522059,19404
2020-12-03,21.0,0.0,1522059,19404
2020-12-04,21.0,0.0,1522059,19404
2020-12-05,28.0,0.0,1522059,19404
2020-12-06,28.0,0.0,1522059,19404
2020-12-07,35.0,0.0,1522059,19404
2020-12-08,287.0,0.0,1522059,19404
2020-12-09,756.0,0.0,1522059,19404
2020-12-10,1155.0,0.0,1522059,19404
2020-12-11,1561.0,0.0,1522059,19404
2020-12-12,1981.0,7.0,1522059,19404
2020-12-13,2296.0,14.0,1522059,19404
2020-12-14,2744.0,14.0,1522059,19404
2020-12-15,3465.0,14.0,1522059,19404
2020-12-16,4459.0,21.0,1522059,19404
2020-12-17,5628.0,21.0,1522059,19404
2020-12-18,6727.0,28.0,1522059,19404
2020-12-19,7637.0,28.0,1522059,19404
2020-12-20,8932.0,28.0,1522059,19404
2020-12-21,10605.0,35.0,1522059,19404
2020-12-22,12012.0,42.0,1522059,19404
2020-12-23,13811.0,56.0,1522059,19404
2020-12-24,14658.0,63.0,1522059,19404
2020-12-25,14665.0,63.0,1522059,19404
2020-12-26,14693.0,63.0,1522059,19404
2020-12-27,14959.0,63.0,1522059,19404
2020-12-28,15323.0,63.0,1522059,19404
2020-12-29,16408.0,70.0,1522059,19404
2020-12-30,19180.0,84.0,1522059,19404
2020-12-31,21833.0,112.0,1522059,19404
2021-01-01,22470.0,119.0,1522059,19404
2021-01-02,23226.0,119.0,1522059,19404
2021-01-03,23828.0,126.0,1522059,19404
2021-01-04,24983.0,133.0,1522059,19404
2021-01-05,27279.0,140.0,1522059,19404
2021-01-06,30450.0,154.0,1522059,19404
2021-01-07,35252.0,182.0,1522059,19404
2021-01-08,40376.0,210.0,1522059,19404
2021-01-09,44940.0,252.0,1522059,19404
2021-01-10,47565.0,259.0,1522059,19404
2021-01-11,51436.0,287.0,1522059,19404
2021-01-12,56525.0,322.0,1522059,19404
2021-01-13,62034.0,371.0,1522059,19404
2021-01-14,68019.0,420.0,1522059,19404
2021-01-15,74669.0,476.0,1522059,19404
2021-01-16,80486.0,518.0,1522059,19404
2021-01-17,84371.0,560.0,1522059,19404
2021-01-18,88816.0,595.0,1522059,19404
2021-01-19,94003.0,630.0,1522059,19404
2021-01-20,99715.0,686.0,1522059,19404
2021-01-21,105609.0,742.0,1522059,19404
2021-01-22,112322.0,819.0,1522059,19404
2021-01-23,117726.0,875.0,1522059,19404
2021-01-24,121023.0,910.0,1522059,19404
2021-01-25,124943.0,938.0,1522059,19404
2021-01-26,129269.0,987.0,1522059,19404
2021-01-27,133427.0,1022.0,1522059,19404
2021-01-28,137746.0,1057.0,1522059,19404
2021-01-29,142597.0,1099.0,1522059,19404
2021-01-30,146643.0,1141.0,1522059,19404
2021-01-31,149457.0,1162.0,1522059,19404
2021-02-01,152138.0,1197.0,1522059,19404
2021-02-02,155176.0,1225.0,1522059,19404
2021-02-03,158606.0,1260.0,1522059,19404
2021-02-04,162316.0,1302.0,1522059,19404
2021-02-05,166061.0,1351.0,1522059,19404
