covid_vacc_date,total,12-15,5-11
2021 04 Aug,56.0,56.0,0.0
2021 05 Aug,98.0,98.0,0.0
2021 06 Aug,154.0,154.0,0.0
2021 07 Aug,224.0,224.0,0.0
2021 08 Aug,259.0,259.0,0.0
2021 09 Aug,294.0,294.0,0.0
2021 10 Aug,357.0,357.0,0.0
2021 11 Aug,441.0,441.0,0.0
2021 12 Aug,518.0,518.0,0.0
2021 13 Aug,595.0,595.0,0.0
2021 14 Aug,672.0,672.0,0.0
2021 15 Aug,707.0,707.0,0.0
2021 16 Aug,749.0,749.0,0.0
2021 17 Aug,847.0,847.0,0.0
2021 18 Aug,1071.0,1071.0,0.0
2021 19 Aug,1267.0,1267.0,0.0
2021 20 Aug,1449.0,1449.0,0.0
2021 21 Aug,1862.0,1862.0,0.0
2021 22 Aug,2079.0,2079.0,0.0
2021 23 Aug,2345.0,2345.0,0.0
2021 24 Aug,2772.0,2772.0,0.0
2021 25 Aug,3367.0,3367.0,0.0
2021 26 Aug,3913.0,3913.0,0.0
2021 27 Aug,4340.0,4340.0,0.0
2021 28 Aug,4788.0,4788.0,0.0
2021 29 Aug,5075.0,5075.0,0.0
2021 30 Aug,5236.0,5236.0,0.0
2021 31 Aug,5579.0,5579.0,0.0
2021 01 Sep,6013.0,6013.0,0.0
2021 02 Sep,6496.0,6496.0,0.0
2021 03 Sep,6867.0,6867.0,0.0
2021 04 Sep,7434.0,7434.0,0.0
2021 05 Sep,7721.0,7721.0,0.0
2021 06 Sep,7763.0,7763.0,0.0
2021 07 Sep,7903.0,7903.0,0.0
2021 08 Sep,8064.0,8064.0,0.0
2021 09 Sep,8295.0,8295.0,0.0
2021 10 Sep,8491.0,8491.0,0.0
2021 11 Sep,8799.0,8799.0,0.0
2021 12 Sep,8855.0,8855.0,0.0
2021 13 Sep,8946.0,8946.0,0.0
2021 14 Sep,9100.0,9100.0,0.0
2021 15 Sep,9352.0,9352.0,0.0
2021 16 Sep,9506.0,9506.0,0.0
