covid_vacc_date,total,18-29,30-39,40-49,70-79,50-54,55-59,60-64,65-69,80+,shielding (aged 16-69),16-17,care home,LD (aged 16-64)
2020 01 Dec,21.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020 02 Dec,84.0,14.0,0.0,7.0,21.0,14.0,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0
2020 03 Dec,126.0,14.0,7.0,14.0,28.0,14.0,21.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0
2020 04 Dec,203.0,28.0,14.0,28.0,42.0,21.0,28.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0
2020 05 Dec,210.0,28.0,14.0,28.0,42.0,21.0,28.0,21.0,28.0,0.0,0.0,0.0,0.0,0.0
2020 06 Dec,217.0,28.0,14.0,28.0,42.0,21.0,28.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0
2020 07 Dec,266.0,28.0,21.0,35.0,56.0,28.0,35.0,28.0,35.0,0.0,0.0,0.0,0.0,0.0
2020 08 Dec,2520.0,168.0,266.0,378.0,105.0,287.0,294.0,210.0,105.0,483.0,210.0,0.0,14.0,0.0
2020 09 Dec,6979.0,455.0,742.0,945.0,182.0,714.0,763.0,609.0,238.0,1820.0,476.0,0.0,35.0,0.0
2020 10 Dec,11851.0,749.0,1246.0,1554.0,259.0,1071.0,1169.0,973.0,385.0,3570.0,798.0,0.0,70.0,7.0
2020 11 Dec,16730.0,1064.0,1764.0,2184.0,336.0,1512.0,1575.0,1323.0,532.0,5222.0,1106.0,0.0,105.0,7.0
2020 12 Dec,21196.0,1400.0,2331.0,2912.0,399.0,1932.0,2002.0,1610.0,637.0,6412.0,1421.0,0.0,126.0,14.0
2020 13 Dec,24689.0,1680.0,2737.0,3423.0,448.0,2247.0,2317.0,1855.0,728.0,7504.0,1596.0,0.0,140.0,14.0
2020 14 Dec,29771.0,2016.0,3346.0,4095.0,532.0,2660.0,2765.0,2177.0,861.0,9275.0,1855.0,0.0,175.0,14.0
