covid_vacc_date,Others,total
2021 04 Aug,56.0,56.0
2021 05 Aug,98.0,98.0
2021 06 Aug,154.0,154.0
2021 07 Aug,231.0,231.0
2021 08 Aug,266.0,266.0
2021 09 Aug,301.0,301.0
2021 10 Aug,371.0,371.0
2021 11 Aug,462.0,462.0
2021 12 Aug,539.0,539.0
2021 13 Aug,623.0,623.0
2021 14 Aug,693.0,693.0
2021 15 Aug,728.0,728.0
2021 16 Aug,770.0,770.0
2021 17 Aug,868.0,868.0
2021 18 Aug,1120.0,1120.0
2021 19 Aug,1323.0,1323.0
2021 20 Aug,1512.0,1512.0
2021 21 Aug,1946.0,1946.0
2021 22 Aug,2177.0,2177.0
2021 23 Aug,2457.0,2457.0
2021 24 Aug,2912.0,2912.0
2021 25 Aug,3542.0,3542.0
2021 26 Aug,4137.0,4137.0
2021 27 Aug,4592.0,4592.0
2021 28 Aug,5075.0,5075.0
2021 29 Aug,5376.0,5376.0
2021 30 Aug,5544.0,5544.0
2021 31 Aug,5908.0,5908.0
2021 01 Sep,6363.0,6363.0
2021 02 Sep,6874.0,6874.0
2021 03 Sep,7266.0,7266.0
2021 04 Sep,7882.0,7882.0
2021 05 Sep,8183.0,8183.0
2021 06 Sep,8232.0,8232.0
2021 07 Sep,8386.0,8386.0
2021 08 Sep,8554.0,8554.0
2021 09 Sep,8792.0,8792.0
2021 10 Sep,8995.0,8995.0
2021 11 Sep,9324.0,9324.0
2021 12 Sep,9387.0,9387.0
2021 13 Sep,9478.0,9478.0
2021 14 Sep,9646.0,9646.0
2021 15 Sep,9912.0,9912.0
2021 16 Sep,10087.0,10087.0
2021 17 Sep,10325.0,10325.0
2021 18 Sep,10577.0,10577.0
2021 19 Sep,10654.0,10654.0
2021 20 Sep,10976.0,10976.0
2021 21 Sep,11571.0,11571.0
2021 22 Sep,13741.0,13741.0
2021 23 Sep,16331.0,16331.0
2021 24 Sep,19915.0,19915.0
2021 25 Sep,20272.0,20272.0
2021 26 Sep,20335.0,20335.0
2021 27 Sep,25151.0,25151.0
2021 28 Sep,32375.0,32375.0
2021 29 Sep,38675.0,38675.0
2021 30 Sep,46354.0,46354.0
2021 01 Oct,52948.0,52948.0
2021 02 Oct,53284.0,53284.0
2021 03 Oct,53557.0,53557.0
2021 04 Oct,60053.0,60053.0
2021 05 Oct,67837.0,67837.0
2021 06 Oct,75173.0,75173.0
2021 07 Oct,82866.0,82866.0
2021 08 Oct,90209.0,90209.0
2021 09 Oct,90643.0,90643.0
2021 10 Oct,90902.0,90902.0
2021 11 Oct,98497.0,98497.0
2021 12 Oct,109354.0,109354.0
2021 13 Oct,119182.0,119182.0
2021 14 Oct,128373.0,128373.0
2021 15 Oct,137452.0,137452.0
2021 16 Oct,138334.0,138334.0
2021 17 Oct,138579.0,138579.0
2021 18 Oct,147378.0,147378.0
2021 19 Oct,157423.0,157423.0
2021 20 Oct,167188.0,167188.0
2021 21 Oct,176925.0,176925.0
2021 22 Oct,185178.0,185178.0
2021 23 Oct,187257.0,187257.0
2021 24 Oct,188426.0,188426.0
2021 25 Oct,193690.0,193690.0
2021 26 Oct,199864.0,199864.0
2021 27 Oct,207193.0,207193.0
2021 28 Oct,215698.0,215698.0
2021 29 Oct,222159.0,222159.0
2021 30 Oct,227997.0,227997.0
2021 31 Oct,233163.0,233163.0
2021 01 Nov,244216.0,244216.0
2021 02 Nov,256606.0,256606.0
2021 03 Nov,268898.0,268898.0
2021 04 Nov,281407.0,281407.0
2021 05 Nov,290962.0,290962.0
2021 06 Nov,297094.0,297094.0
2021 07 Nov,302260.0,302260.0
2021 08 Nov,311332.0,311332.0
2021 09 Nov,320971.0,320971.0
2021 10 Nov,328734.0,328734.0
2021 11 Nov,337071.0,337071.0
2021 12 Nov,344134.0,344134.0
2021 13 Nov,349762.0,349762.0
2021 14 Nov,353822.0,353822.0
2021 15 Nov,361676.0,361676.0
2021 16 Nov,367339.0,367339.0
2021 17 Nov,373429.0,373429.0
2021 18 Nov,379092.0,379092.0
2021 19 Nov,384181.0,384181.0
2021 20 Nov,387562.0,387562.0
2021 21 Nov,390159.0,390159.0
2021 22 Nov,394086.0,394086.0
2021 23 Nov,398083.0,398083.0
2021 24 Nov,402052.0,402052.0
2021 25 Nov,405860.0,405860.0
2021 26 Nov,408464.0,408464.0
2021 27 Nov,411145.0,411145.0
2021 28 Nov,413595.0,413595.0
2021 29 Nov,416906.0,416906.0
2021 30 Nov,420231.0,420231.0
2021 01 Dec,422912.0,422912.0
2021 02 Dec,425299.0,425299.0
2021 03 Dec,427378.0,427378.0
2021 04 Dec,430262.0,430262.0
2021 05 Dec,432852.0,432852.0
2021 06 Dec,435225.0,435225.0
2021 07 Dec,437087.0,437087.0
2021 08 Dec,438774.0,438774.0
2021 09 Dec,440636.0,440636.0
2021 10 Dec,442673.0,442673.0
2021 11 Dec,445081.0,445081.0
2021 12 Dec,447895.0,447895.0
2021 13 Dec,449918.0,449918.0
2021 14 Dec,452116.0,452116.0
2021 15 Dec,453978.0,453978.0
2021 16 Dec,456337.0,456337.0
2021 17 Dec,458269.0,458269.0
2021 18 Dec,461363.0,461363.0
2021 19 Dec,464786.0,464786.0
2021 20 Dec,467985.0,467985.0
2021 21 Dec,470995.0,470995.0
2021 22 Dec,473963.0,473963.0
2021 23 Dec,476686.0,476686.0
2021 24 Dec,477099.0,477099.0
2021 25 Dec,477120.0,477120.0
2021 26 Dec,477204.0,477204.0
2021 27 Dec,478646.0,478646.0
2021 28 Dec,481187.0,481187.0
2021 29 Dec,484715.0,484715.0
2021 30 Dec,488558.0,488558.0
2021 31 Dec,489958.0,489958.0
2022 01 Jan,490105.0,490105.0
2022 02 Jan,491736.0,491736.0
2022 03 Jan,494340.0,494340.0
2022 04 Jan,496671.0,496671.0
2022 05 Jan,498918.0,498918.0
2022 06 Jan,500878.0,500878.0
2022 07 Jan,502614.0,502614.0
2022 08 Jan,507038.0,507038.0
2022 09 Jan,510951.0,510951.0
2022 10 Jan,512190.0,512190.0
2022 11 Jan,513828.0,513828.0
