covid_vacc_date,In a risk group,Not in a risk group,In a risk group_total,Not in a risk group_total
2021-08-11,0.0,0.0,118839,1903328
2021-08-12,0.0,0.0,118839,1903328
2021-08-18,0.0,0.0,118839,1903328
2021-08-21,0.0,0.0,118839,1903328
2021-08-26,0.0,0.0,118839,1903328
2021-09-18,0.0,7.0,118839,1903328
2021-09-19,0.0,7.0,118839,1903328
2021-09-23,0.0,7.0,118839,1903328
2021-10-04,0.0,14.0,118839,1903328
2021-10-11,0.0,14.0,118839,1903328
2021-10-13,0.0,14.0,118839,1903328
2021-10-15,0.0,14.0,118839,1903328
2021-10-20,0.0,21.0,118839,1903328
2021-11-01,0.0,21.0,118839,1903328
2021-11-02,0.0,21.0,118839,1903328
2021-11-04,0.0,28.0,118839,1903328
2021-11-05,0.0,28.0,118839,1903328
2021-11-06,0.0,28.0,118839,1903328
2021-11-08,0.0,28.0,118839,1903328
2021-11-09,0.0,35.0,118839,1903328
2021-11-10,0.0,42.0,118839,1903328
2021-11-11,0.0,42.0,118839,1903328
2021-11-12,0.0,49.0,118839,1903328
2021-11-13,0.0,49.0,118839,1903328
2021-11-16,0.0,49.0,118839,1903328
2021-11-17,0.0,49.0,118839,1903328
2021-11-18,0.0,56.0,118839,1903328
2021-11-19,0.0,56.0,118839,1903328
2021-11-21,0.0,63.0,118839,1903328
2021-11-23,0.0,70.0,118839,1903328
2021-11-24,7.0,77.0,118839,1903328
2021-11-25,7.0,77.0,118839,1903328
2021-11-26,7.0,84.0,118839,1903328
2021-11-29,7.0,84.0,118839,1903328
2021-11-30,7.0,84.0,118839,1903328
2021-12-01,7.0,91.0,118839,1903328
2021-12-04,7.0,91.0,118839,1903328
2021-12-05,7.0,91.0,118839,1903328
2021-12-06,7.0,91.0,118839,1903328
2021-12-07,7.0,98.0,118839,1903328
2021-12-08,7.0,105.0,118839,1903328
2021-12-09,7.0,105.0,118839,1903328
2021-12-11,7.0,112.0,118839,1903328
2021-12-12,7.0,119.0,118839,1903328
2021-12-13,14.0,126.0,118839,1903328
2021-12-14,14.0,133.0,118839,1903328
2021-12-16,14.0,140.0,118839,1903328
2021-12-17,14.0,154.0,118839,1903328
2021-12-18,14.0,161.0,118839,1903328
2021-12-19,14.0,161.0,118839,1903328
2021-12-20,14.0,168.0,118839,1903328
2021-12-21,14.0,175.0,118839,1903328
2021-12-22,14.0,189.0,118839,1903328
2021-12-23,14.0,203.0,118839,1903328
2021-12-24,14.0,203.0,118839,1903328
2021-12-26,14.0,203.0,118839,1903328
2021-12-27,14.0,217.0,118839,1903328
2021-12-28,14.0,224.0,118839,1903328
2021-12-29,14.0,224.0,118839,1903328
2021-12-30,21.0,231.0,118839,1903328
2021-12-31,21.0,238.0,118839,1903328
2022-01-01,21.0,238.0,118839,1903328
2022-01-03,21.0,245.0,118839,1903328
2022-01-04,21.0,245.0,118839,1903328
2022-01-05,21.0,252.0,118839,1903328
2022-01-06,21.0,259.0,118839,1903328
2022-01-07,21.0,259.0,118839,1903328
2022-01-08,21.0,259.0,118839,1903328
2022-01-09,28.0,266.0,118839,1903328
2022-01-10,28.0,266.0,118839,1903328
2022-01-11,28.0,266.0,118839,1903328
2022-01-12,35.0,273.0,118839,1903328
2022-01-13,35.0,273.0,118839,1903328
2022-01-14,49.0,273.0,118839,1903328
2022-01-15,56.0,280.0,118839,1903328
2022-01-16,56.0,280.0,118839,1903328
2022-01-17,63.0,287.0,118839,1903328
2022-01-18,63.0,294.0,118839,1903328
2022-01-19,63.0,301.0,118839,1903328
2022-01-20,70.0,308.0,118839,1903328
2022-01-21,70.0,315.0,118839,1903328
2022-01-22,77.0,315.0,118839,1903328
2022-01-23,77.0,315.0,118839,1903328
2022-01-24,77.0,322.0,118839,1903328
2022-01-25,77.0,322.0,118839,1903328
2022-01-26,77.0,322.0,118839,1903328
2022-01-27,84.0,329.0,118839,1903328
2022-01-28,91.0,329.0,118839,1903328
2022-01-29,161.0,343.0,118839,1903328
2022-01-30,161.0,350.0,118839,1903328
2022-01-31,175.0,357.0,118839,1903328
2022-02-01,245.0,364.0,118839,1903328
2022-02-02,280.0,371.0,118839,1903328
2022-02-03,462.0,406.0,118839,1903328
2022-02-04,532.0,427.0,118839,1903328
2022-02-05,1078.0,504.0,118839,1903328
2022-02-06,1155.0,525.0,118839,1903328
2022-02-07,1260.0,546.0,118839,1903328
2022-02-08,1533.0,581.0,118839,1903328
2022-02-09,1764.0,644.0,118839,1903328
2022-02-10,2009.0,679.0,118839,1903328
2022-02-11,2191.0,742.0,118839,1903328
2022-02-12,3311.0,917.0,118839,1903328
2022-02-13,3710.0,980.0,118839,1903328
