covid_vacc_date,In a risk group,Not in a risk group,In a risk group_total,Not in a risk group_total
2021-08-04,21.0,35.0,89859,1094072
2021-08-05,35.0,63.0,89859,1094072
2021-08-06,49.0,105.0,89859,1094072
2021-08-07,84.0,140.0,89859,1094072
2021-08-08,91.0,168.0,89859,1094072
2021-08-09,98.0,196.0,89859,1094072
2021-08-10,119.0,238.0,89859,1094072
2021-08-11,161.0,280.0,89859,1094072
2021-08-12,203.0,315.0,89859,1094072
2021-08-13,238.0,357.0,89859,1094072
2021-08-14,273.0,399.0,89859,1094072
2021-08-15,280.0,427.0,89859,1094072
2021-08-16,294.0,455.0,89859,1094072
2021-08-17,343.0,504.0,89859,1094072
2021-08-18,483.0,588.0,89859,1094072
2021-08-19,581.0,679.0,89859,1094072
2021-08-20,707.0,749.0,89859,1094072
2021-08-21,994.0,868.0,89859,1094072
2021-08-22,1134.0,938.0,89859,1094072
2021-08-23,1288.0,1057.0,89859,1094072
2021-08-24,1547.0,1225.0,89859,1094072
2021-08-25,1918.0,1449.0,89859,1094072
2021-08-26,2268.0,1645.0,89859,1094072
2021-08-27,2562.0,1778.0,89859,1094072
2021-08-28,2856.0,1932.0,89859,1094072
2021-08-29,3052.0,2023.0,89859,1094072
2021-08-30,3171.0,2065.0,89859,1094072
2021-08-31,3395.0,2184.0,89859,1094072
2021-09-01,3647.0,2366.0,89859,1094072
2021-09-02,3906.0,2590.0,89859,1094072
2021-09-03,4137.0,2730.0,89859,1094072
2021-09-04,4536.0,2898.0,89859,1094072
2021-09-05,4711.0,3010.0,89859,1094072
2021-09-06,4739.0,3024.0,89859,1094072
2021-09-07,4816.0,3087.0,89859,1094072
2021-09-08,4907.0,3157.0,89859,1094072
2021-09-09,5061.0,3234.0,89859,1094072
2021-09-10,5201.0,3290.0,89859,1094072
2021-09-11,5397.0,3402.0,89859,1094072
2021-09-12,5432.0,3423.0,89859,1094072
2021-09-13,5481.0,3458.0,89859,1094072
2021-09-14,5558.0,3542.0,89859,1094072
2021-09-15,5726.0,3626.0,89859,1094072
2021-09-16,5831.0,3682.0,89859,1094072
2021-09-17,5992.0,3738.0,89859,1094072
2021-09-18,6090.0,3871.0,89859,1094072
2021-09-19,6139.0,3892.0,89859,1094072
2021-09-20,6251.0,4088.0,89859,1094072
2021-09-21,6412.0,4487.0,89859,1094072
2021-09-22,6692.0,6223.0,89859,1094072
2021-09-23,7007.0,8344.0,89859,1094072
2021-09-24,7322.0,11382.0,89859,1094072
2021-09-25,7518.0,11522.0,89859,1094072
2021-09-26,7553.0,11543.0,89859,1094072
2021-09-27,7945.0,15743.0,89859,1094072
2021-09-28,8407.0,22134.0,89859,1094072
2021-09-29,8841.0,27587.0,89859,1094072
2021-09-30,9317.0,34391.0,89859,1094072
2021-10-01,9758.0,40187.0,89859,1094072
