covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White,Black_total,Mixed_total,Other_total,South Asian_total,Unknown_total,White_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,44478,14266,18151,108248,32340,607390
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,44478,14266,18151,108248,32340,607390
2020-12-08,0.0,7.0,0.0,14.0,0.0,168.0,44478,14266,18151,108248,32340,607390
2020-12-09,14.0,14.0,14.0,42.0,14.0,364.0,44478,14266,18151,108248,32340,607390
2020-12-10,28.0,21.0,21.0,70.0,28.0,609.0,44478,14266,18151,108248,32340,607390
2020-12-11,49.0,21.0,28.0,98.0,35.0,833.0,44478,14266,18151,108248,32340,607390
2020-12-12,56.0,28.0,35.0,140.0,42.0,1085.0,44478,14266,18151,108248,32340,607390
2020-12-13,56.0,35.0,35.0,168.0,49.0,1211.0,44478,14266,18151,108248,32340,607390
2020-12-14,63.0,35.0,42.0,196.0,56.0,1407.0,44478,14266,18151,108248,32340,607390
2020-12-15,77.0,42.0,49.0,252.0,63.0,1778.0,44478,14266,18151,108248,32340,607390
2020-12-16,98.0,42.0,56.0,287.0,77.0,2114.0,44478,14266,18151,108248,32340,607390
2020-12-17,119.0,56.0,63.0,364.0,98.0,2513.0,44478,14266,18151,108248,32340,607390
2020-12-18,147.0,63.0,77.0,427.0,112.0,2940.0,44478,14266,18151,108248,32340,607390
2020-12-19,161.0,70.0,84.0,490.0,126.0,3255.0,44478,14266,18151,108248,32340,607390
2020-12-20,182.0,77.0,98.0,567.0,140.0,3612.0,44478,14266,18151,108248,32340,607390
2020-12-21,217.0,98.0,112.0,672.0,161.0,4130.0,44478,14266,18151,108248,32340,607390
2020-12-22,245.0,105.0,126.0,798.0,182.0,4641.0,44478,14266,18151,108248,32340,607390
2020-12-23,294.0,112.0,154.0,917.0,203.0,5264.0,44478,14266,18151,108248,32340,607390
2020-12-24,301.0,126.0,168.0,987.0,217.0,5551.0,44478,14266,18151,108248,32340,607390
2020-12-25,301.0,126.0,168.0,987.0,217.0,5551.0,44478,14266,18151,108248,32340,607390
2020-12-26,301.0,126.0,168.0,994.0,224.0,5558.0,44478,14266,18151,108248,32340,607390
2020-12-27,308.0,126.0,175.0,1001.0,224.0,5621.0,44478,14266,18151,108248,32340,607390
2020-12-28,315.0,133.0,175.0,1029.0,231.0,5747.0,44478,14266,18151,108248,32340,607390
2020-12-29,336.0,147.0,182.0,1113.0,245.0,6083.0,44478,14266,18151,108248,32340,607390
2020-12-30,385.0,168.0,224.0,1295.0,294.0,7154.0,44478,14266,18151,108248,32340,607390
2020-12-31,434.0,182.0,245.0,1456.0,343.0,8169.0,44478,14266,18151,108248,32340,607390
2021-01-01,448.0,189.0,252.0,1484.0,350.0,8407.0,44478,14266,18151,108248,32340,607390
2021-01-02,455.0,196.0,259.0,1533.0,357.0,8645.0,44478,14266,18151,108248,32340,607390
2021-01-03,469.0,203.0,273.0,1561.0,364.0,8792.0,44478,14266,18151,108248,32340,607390
2021-01-04,497.0,217.0,287.0,1624.0,378.0,9149.0,44478,14266,18151,108248,32340,607390
2021-01-05,553.0,231.0,322.0,1750.0,413.0,9800.0,44478,14266,18151,108248,32340,607390
2021-01-06,602.0,252.0,364.0,1904.0,455.0,10675.0,44478,14266,18151,108248,32340,607390
2021-01-07,693.0,287.0,413.0,2233.0,525.0,11991.0,44478,14266,18151,108248,32340,607390
2021-01-08,812.0,315.0,462.0,2590.0,595.0,13622.0,44478,14266,18151,108248,32340,607390
2021-01-09,938.0,350.0,504.0,2814.0,679.0,15211.0,44478,14266,18151,108248,32340,607390
2021-01-10,994.0,364.0,525.0,2940.0,707.0,15967.0,44478,14266,18151,108248,32340,607390
2021-01-11,1085.0,399.0,560.0,3122.0,749.0,17339.0,44478,14266,18151,108248,32340,607390
2021-01-12,1218.0,441.0,602.0,3318.0,819.0,18921.0,44478,14266,18151,108248,32340,607390
2021-01-13,1365.0,483.0,651.0,3584.0,910.0,20538.0,44478,14266,18151,108248,32340,607390
2021-01-14,1526.0,525.0,700.0,3836.0,1001.0,22533.0,44478,14266,18151,108248,32340,607390
2021-01-15,1736.0,581.0,756.0,4158.0,1106.0,25396.0,44478,14266,18151,108248,32340,607390
2021-01-16,1883.0,637.0,784.0,4473.0,1204.0,27657.0,44478,14266,18151,108248,32340,607390
2021-01-17,1995.0,672.0,812.0,4648.0,1267.0,28987.0,44478,14266,18151,108248,32340,607390
2021-01-18,2135.0,721.0,854.0,4837.0,1344.0,30499.0,44478,14266,18151,108248,32340,607390
2021-01-19,2352.0,777.0,903.0,5180.0,1442.0,32879.0,44478,14266,18151,108248,32340,607390
2021-01-20,2618.0,854.0,980.0,5705.0,1547.0,36183.0,44478,14266,18151,108248,32340,607390
2021-01-21,2926.0,945.0,1057.0,6209.0,1701.0,40852.0,44478,14266,18151,108248,32340,607390
2021-01-22,3262.0,1057.0,1162.0,6839.0,1925.0,47733.0,44478,14266,18151,108248,32340,607390
2021-01-23,3556.0,1204.0,1281.0,7441.0,2149.0,54992.0,44478,14266,18151,108248,32340,607390
