covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White,Black_total,Mixed_total,Other_total,South Asian_total,Unknown_total,White_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,20629,8407,17416,54425,120526,1085749
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,20629,8407,17416,54425,120526,1085749
2020-12-03,0.0,0.0,0.0,0.0,0.0,14.0,20629,8407,17416,54425,120526,1085749
2020-12-04,0.0,0.0,0.0,0.0,0.0,14.0,20629,8407,17416,54425,120526,1085749
2020-12-05,0.0,0.0,0.0,0.0,0.0,21.0,20629,8407,17416,54425,120526,1085749
2020-12-06,0.0,0.0,0.0,0.0,0.0,21.0,20629,8407,17416,54425,120526,1085749
2020-12-07,0.0,0.0,0.0,0.0,0.0,21.0,20629,8407,17416,54425,120526,1085749
2020-12-08,0.0,0.0,0.0,14.0,14.0,175.0,20629,8407,17416,54425,120526,1085749
2020-12-09,7.0,7.0,0.0,21.0,42.0,518.0,20629,8407,17416,54425,120526,1085749
2020-12-10,14.0,7.0,14.0,35.0,70.0,826.0,20629,8407,17416,54425,120526,1085749
2020-12-11,14.0,14.0,14.0,56.0,98.0,1120.0,20629,8407,17416,54425,120526,1085749
2020-12-12,21.0,21.0,14.0,70.0,126.0,1351.0,20629,8407,17416,54425,120526,1085749
2020-12-13,21.0,21.0,21.0,84.0,140.0,1561.0,20629,8407,17416,54425,120526,1085749
2020-12-14,21.0,28.0,21.0,105.0,175.0,1813.0,20629,8407,17416,54425,120526,1085749
2020-12-15,28.0,28.0,35.0,126.0,210.0,2247.0,20629,8407,17416,54425,120526,1085749
2020-12-16,42.0,35.0,49.0,147.0,266.0,2828.0,20629,8407,17416,54425,120526,1085749
2020-12-17,49.0,42.0,63.0,182.0,343.0,3591.0,20629,8407,17416,54425,120526,1085749
2020-12-18,63.0,49.0,70.0,238.0,399.0,4284.0,20629,8407,17416,54425,120526,1085749
2020-12-19,70.0,49.0,77.0,280.0,462.0,4914.0,20629,8407,17416,54425,120526,1085749
2020-12-20,84.0,56.0,91.0,329.0,546.0,5712.0,20629,8407,17416,54425,120526,1085749
2020-12-21,98.0,63.0,98.0,392.0,630.0,6727.0,20629,8407,17416,54425,120526,1085749
2020-12-22,105.0,77.0,119.0,462.0,693.0,7588.0,20629,8407,17416,54425,120526,1085749
2020-12-23,119.0,84.0,133.0,560.0,791.0,8722.0,20629,8407,17416,54425,120526,1085749
2020-12-24,126.0,91.0,140.0,602.0,847.0,9275.0,20629,8407,17416,54425,120526,1085749
2020-12-25,126.0,91.0,140.0,602.0,854.0,9275.0,20629,8407,17416,54425,120526,1085749
