covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White,Black_total,Mixed_total,Other_total,South Asian_total,Unknown_total,White_total
2021-08-12,0.0,0.0,0.0,0.0,0.0,0.0,64694,77252,56700,193025,218995,1407924
2021-08-18,0.0,0.0,0.0,0.0,0.0,0.0,64694,77252,56700,193025,218995,1407924
2021-08-21,0.0,0.0,0.0,0.0,0.0,0.0,64694,77252,56700,193025,218995,1407924
2021-08-26,0.0,0.0,0.0,0.0,0.0,0.0,64694,77252,56700,193025,218995,1407924
2021-09-18,0.0,0.0,0.0,0.0,0.0,0.0,64694,77252,56700,193025,218995,1407924
2021-09-19,0.0,0.0,0.0,0.0,0.0,0.0,64694,77252,56700,193025,218995,1407924
2021-09-23,0.0,0.0,0.0,0.0,0.0,0.0,64694,77252,56700,193025,218995,1407924
2021-10-04,0.0,0.0,0.0,0.0,0.0,0.0,64694,77252,56700,193025,218995,1407924
2021-10-06,0.0,0.0,0.0,0.0,0.0,7.0,64694,77252,56700,193025,218995,1407924
2021-10-11,0.0,0.0,0.0,0.0,0.0,7.0,64694,77252,56700,193025,218995,1407924
2021-10-13,0.0,0.0,0.0,0.0,0.0,7.0,64694,77252,56700,193025,218995,1407924
2021-10-15,0.0,0.0,0.0,0.0,0.0,7.0,64694,77252,56700,193025,218995,1407924
2021-10-18,0.0,0.0,0.0,0.0,0.0,14.0,64694,77252,56700,193025,218995,1407924
2021-10-20,0.0,0.0,0.0,0.0,0.0,14.0,64694,77252,56700,193025,218995,1407924
2021-11-01,0.0,0.0,0.0,0.0,0.0,14.0,64694,77252,56700,193025,218995,1407924
2021-11-04,0.0,0.0,0.0,0.0,7.0,14.0,64694,77252,56700,193025,218995,1407924
2021-11-05,0.0,0.0,0.0,0.0,7.0,14.0,64694,77252,56700,193025,218995,1407924
2021-11-06,0.0,0.0,0.0,0.0,7.0,14.0,64694,77252,56700,193025,218995,1407924
2021-11-08,0.0,0.0,0.0,0.0,7.0,21.0,64694,77252,56700,193025,218995,1407924
2021-11-09,0.0,0.0,0.0,0.0,7.0,21.0,64694,77252,56700,193025,218995,1407924
2021-11-10,0.0,0.0,0.0,0.0,7.0,28.0,64694,77252,56700,193025,218995,1407924
2021-11-11,0.0,0.0,0.0,0.0,7.0,28.0,64694,77252,56700,193025,218995,1407924
2021-11-12,0.0,0.0,0.0,0.0,14.0,28.0,64694,77252,56700,193025,218995,1407924
2021-11-13,0.0,0.0,0.0,0.0,14.0,35.0,64694,77252,56700,193025,218995,1407924
2021-11-16,0.0,0.0,0.0,0.0,14.0,35.0,64694,77252,56700,193025,218995,1407924
2021-11-17,0.0,0.0,0.0,0.0,14.0,35.0,64694,77252,56700,193025,218995,1407924
2021-11-18,0.0,0.0,0.0,0.0,14.0,42.0,64694,77252,56700,193025,218995,1407924
2021-11-19,0.0,0.0,0.0,0.0,14.0,42.0,64694,77252,56700,193025,218995,1407924
2021-11-21,0.0,0.0,0.0,0.0,14.0,42.0,64694,77252,56700,193025,218995,1407924
2021-11-23,0.0,0.0,0.0,0.0,14.0,49.0,64694,77252,56700,193025,218995,1407924
2021-11-24,0.0,0.0,0.0,0.0,21.0,49.0,64694,77252,56700,193025,218995,1407924
2021-11-25,0.0,0.0,0.0,0.0,21.0,49.0,64694,77252,56700,193025,218995,1407924
2021-11-26,0.0,0.0,0.0,0.0,21.0,56.0,64694,77252,56700,193025,218995,1407924
2021-11-29,0.0,0.0,0.0,0.0,21.0,56.0,64694,77252,56700,193025,218995,1407924
2021-11-30,0.0,0.0,0.0,0.0,21.0,56.0,64694,77252,56700,193025,218995,1407924
2021-12-01,0.0,0.0,0.0,0.0,21.0,63.0,64694,77252,56700,193025,218995,1407924
2021-12-04,0.0,0.0,0.0,0.0,21.0,63.0,64694,77252,56700,193025,218995,1407924
2021-12-05,0.0,0.0,0.0,0.0,21.0,63.0,64694,77252,56700,193025,218995,1407924
2021-12-06,0.0,0.0,0.0,0.0,21.0,63.0,64694,77252,56700,193025,218995,1407924
2021-12-07,0.0,0.0,0.0,0.0,21.0,63.0,64694,77252,56700,193025,218995,1407924
2021-12-08,0.0,0.0,0.0,0.0,21.0,70.0,64694,77252,56700,193025,218995,1407924
2021-12-09,0.0,0.0,0.0,0.0,21.0,77.0,64694,77252,56700,193025,218995,1407924
2021-12-11,0.0,0.0,0.0,0.0,21.0,77.0,64694,77252,56700,193025,218995,1407924
2021-12-12,0.0,7.0,0.0,7.0,21.0,77.0,64694,77252,56700,193025,218995,1407924
2021-12-13,0.0,14.0,0.0,7.0,21.0,91.0,64694,77252,56700,193025,218995,1407924
2021-12-14,0.0,14.0,7.0,7.0,21.0,91.0,64694,77252,56700,193025,218995,1407924
2021-12-16,0.0,14.0,7.0,7.0,28.0,98.0,64694,77252,56700,193025,218995,1407924
2021-12-17,0.0,14.0,7.0,7.0,28.0,98.0,64694,77252,56700,193025,218995,1407924
2021-12-18,0.0,14.0,7.0,7.0,28.0,112.0,64694,77252,56700,193025,218995,1407924
2021-12-19,0.0,14.0,7.0,7.0,28.0,112.0,64694,77252,56700,193025,218995,1407924
2021-12-20,0.0,14.0,7.0,7.0,28.0,112.0,64694,77252,56700,193025,218995,1407924
2021-12-21,0.0,14.0,7.0,7.0,35.0,119.0,64694,77252,56700,193025,218995,1407924
2021-12-22,0.0,14.0,7.0,14.0,35.0,126.0,64694,77252,56700,193025,218995,1407924
2021-12-23,0.0,14.0,7.0,14.0,35.0,140.0,64694,77252,56700,193025,218995,1407924
2021-12-24,0.0,14.0,7.0,14.0,35.0,140.0,64694,77252,56700,193025,218995,1407924
2021-12-26,0.0,14.0,7.0,14.0,35.0,140.0,64694,77252,56700,193025,218995,1407924
2021-12-27,0.0,14.0,7.0,14.0,35.0,140.0,64694,77252,56700,193025,218995,1407924
2021-12-28,0.0,14.0,14.0,14.0,35.0,147.0,64694,77252,56700,193025,218995,1407924
2021-12-29,0.0,14.0,14.0,21.0,35.0,147.0,64694,77252,56700,193025,218995,1407924
2021-12-30,0.0,14.0,14.0,21.0,35.0,154.0,64694,77252,56700,193025,218995,1407924
2021-12-31,0.0,14.0,14.0,21.0,35.0,161.0,64694,77252,56700,193025,218995,1407924
2022-01-01,0.0,14.0,14.0,21.0,35.0,161.0,64694,77252,56700,193025,218995,1407924
2022-01-03,0.0,21.0,14.0,21.0,35.0,161.0,64694,77252,56700,193025,218995,1407924
2022-01-04,0.0,21.0,14.0,21.0,35.0,161.0,64694,77252,56700,193025,218995,1407924
2022-01-05,0.0,21.0,14.0,21.0,35.0,168.0,64694,77252,56700,193025,218995,1407924
2022-01-06,0.0,21.0,14.0,28.0,35.0,175.0,64694,77252,56700,193025,218995,1407924
2022-01-07,0.0,21.0,14.0,28.0,42.0,182.0,64694,77252,56700,193025,218995,1407924
