covid_vacc_date,no,yes,no_total,yes_total
2020-12-01,0.0,0.0,1135155,567
2020-12-08,539.0,0.0,1135155,567
2020-12-09,2016.0,0.0,1135155,567
2020-12-10,3948.0,0.0,1135155,567
2020-12-11,5768.0,0.0,1135155,567
2020-12-12,7063.0,0.0,1135155,567
2020-12-13,8239.0,0.0,1135155,567
2020-12-14,10164.0,0.0,1135155,567
2020-12-15,31430.0,0.0,1135155,567
2020-12-16,66598.0,14.0,1135155,567
2020-12-17,98133.0,21.0,1135155,567
2020-12-18,118454.0,21.0,1135155,567
2020-12-19,143486.0,28.0,1135155,567
2020-12-20,165424.0,35.0,1135155,567
2020-12-21,178493.0,42.0,1135155,567
2020-12-22,202776.0,49.0,1135155,567
2020-12-23,220115.0,49.0,1135155,567
2020-12-24,223965.0,49.0,1135155,567
2020-12-25,223972.0,49.0,1135155,567
2020-12-26,223972.0,49.0,1135155,567
2020-12-27,224161.0,49.0,1135155,567
2020-12-28,224630.0,49.0,1135155,567
2020-12-29,232680.0,56.0,1135155,567
2020-12-30,252770.0,63.0,1135155,567
2020-12-31,267197.0,77.0,1135155,567
2021-01-01,269829.0,77.0,1135155,567
2021-01-02,272216.0,77.0,1135155,567
2021-01-03,273749.0,77.0,1135155,567
2021-01-04,275163.0,77.0,1135155,567
2021-01-05,278341.0,77.0,1135155,567
2021-01-06,286041.0,77.0,1135155,567
2021-01-07,320838.0,84.0,1135155,567
2021-01-08,362530.0,91.0,1135155,567
2021-01-09,400106.0,112.0,1135155,567
2021-01-10,417011.0,112.0,1135155,567
2021-01-11,425474.0,126.0,1135155,567
2021-01-12,450681.0,133.0,1135155,567
2021-01-13,489636.0,147.0,1135155,567
2021-01-14,529284.0,161.0,1135155,567
2021-01-15,579159.0,182.0,1135155,567
2021-01-16,638463.0,210.0,1135155,567
2021-01-17,663726.0,217.0,1135155,567
2021-01-18,677985.0,217.0,1135155,567
2021-01-19,720006.0,231.0,1135155,567
2021-01-20,764715.0,252.0,1135155,567
2021-01-21,803880.0,273.0,1135155,567
2021-01-22,854903.0,294.0,1135155,567
2021-01-23,896672.0,315.0,1135155,567
2021-01-24,908670.0,315.0,1135155,567
2021-01-25,920787.0,329.0,1135155,567
2021-01-26,935354.0,343.0,1135155,567
2021-01-27,947352.0,350.0,1135155,567
2021-01-28,962612.0,364.0,1135155,567
2021-01-29,978453.0,371.0,1135155,567
2021-01-30,989674.0,385.0,1135155,567
2021-01-31,994049.0,392.0,1135155,567
2021-02-01,999824.0,392.0,1135155,567
2021-02-02,1005851.0,399.0,1135155,567
2021-02-03,1011962.0,420.0,1135155,567
2021-02-04,1018115.0,420.0,1135155,567
2021-02-05,1023939.0,427.0,1135155,567
2021-02-06,1027887.0,434.0,1135155,567
2021-02-07,1029735.0,434.0,1135155,567
2021-02-08,1033088.0,441.0,1135155,567
2021-02-09,1036980.0,448.0,1135155,567
2021-02-10,1041712.0,462.0,1135155,567
2021-02-11,1046045.0,469.0,1135155,567
2021-02-12,1050203.0,476.0,1135155,567
2021-02-13,1052779.0,476.0,1135155,567
2021-02-14,1053745.0,476.0,1135155,567
2021-02-15,1055243.0,476.0,1135155,567
2021-02-16,1056706.0,483.0,1135155,567
2021-02-17,1058246.0,483.0,1135155,567
2021-02-18,1059681.0,483.0,1135155,567
2021-02-19,1060864.0,490.0,1135155,567
2021-02-20,1061557.0,490.0,1135155,567
2021-02-21,1061802.0,490.0,1135155,567
2021-02-22,1062341.0,497.0,1135155,567
2021-02-23,1063356.0,497.0,1135155,567
2021-02-24,1064434.0,497.0,1135155,567
2021-02-25,1065589.0,497.0,1135155,567
2021-02-26,1066716.0,504.0,1135155,567
2021-02-27,1067297.0,504.0,1135155,567
2021-02-28,1067458.0,504.0,1135155,567
2021-03-01,1067808.0,504.0,1135155,567
2021-03-02,1068347.0,511.0,1135155,567
2021-03-03,1068928.0,511.0,1135155,567
