time_to_second_dose,ALL,ALL_total
49.0,28.0,117005
50.0,35.0,117005
51.0,49.0,117005
52.0,56.0,117005
53.0,77.0,117005
54.0,98.0,117005
55.0,189.0,117005
56.0,2226.0,117005
57.0,2541.0,117005
58.0,2758.0,117005
59.0,2968.0,117005
60.0,3199.0,117005
61.0,3346.0,117005
62.0,3500.0,117005
63.0,4011.0,117005
64.0,4207.0,117005
65.0,4375.0,117005
66.0,4501.0,117005
67.0,4620.0,117005
68.0,4725.0,117005
69.0,4872.0,117005
70.0,5299.0,117005
71.0,5453.0,117005
72.0,5544.0,117005
73.0,5621.0,117005
74.0,5698.0,117005
75.0,5796.0,117005
76.0,5915.0,117005
77.0,6237.0,117005
78.0,6398.0,117005
79.0,6566.0,117005
80.0,6776.0,117005
81.0,6944.0,117005
82.0,7210.0,117005
83.0,7518.0,117005
84.0,18613.0,117005
85.0,23275.0,117005
86.0,26908.0,117005
87.0,30100.0,117005
88.0,33117.0,117005
89.0,35861.0,117005
90.0,38353.0,117005
91.0,42133.0,117005
92.0,44009.0,117005
93.0,45738.0,117005
94.0,47320.0,117005
95.0,48867.0,117005
96.0,50253.0,117005
97.0,51667.0,117005
98.0,53907.0,117005
99.0,55097.0,117005
100.0,56175.0,117005
101.0,57197.0,117005
102.0,58114.0,117005
103.0,59038.0,117005
104.0,59955.0,117005
105.0,61313.0,117005
106.0,62069.0,117005
107.0,62790.0,117005
108.0,63490.0,117005
109.0,63903.0,117005
110.0,64316.0,117005
111.0,64645.0,117005
112.0,65142.0,117005
113.0,65429.0,117005
114.0,65702.0,117005
115.0,65898.0,117005
116.0,66073.0,117005
117.0,66248.0,117005
118.0,66430.0,117005
119.0,66703.0,117005
120.0,66864.0,117005
121.0,66962.0,117005
122.0,67053.0,117005
123.0,67109.0,117005
124.0,67172.0,117005
125.0,67235.0,117005
126.0,67354.0,117005
127.0,67417.0,117005
128.0,67466.0,117005
129.0,67515.0,117005
130.0,67543.0,117005
131.0,67571.0,117005
132.0,67606.0,117005
133.0,67676.0,117005
134.0,67718.0,117005
135.0,67746.0,117005
136.0,67774.0,117005
137.0,67788.0,117005
138.0,67823.0,117005
139.0,67844.0,117005
140.0,67886.0,117005
141.0,67914.0,117005
142.0,67928.0,117005
143.0,67949.0,117005
144.0,67970.0,117005
145.0,68005.0,117005
146.0,68012.0,117005
147.0,68047.0,117005
148.0,68068.0,117005
149.0,68089.0,117005
150.0,68103.0,117005
151.0,68117.0,117005
152.0,68131.0,117005
153.0,68152.0,117005
154.0,68180.0,117005
155.0,68194.0,117005
156.0,68208.0,117005
157.0,68222.0,117005
158.0,68236.0,117005
159.0,68257.0,117005
160.0,68271.0,117005
161.0,68285.0,117005
162.0,68306.0,117005
163.0,68320.0,117005
164.0,68341.0,117005
165.0,68355.0,117005
166.0,68376.0,117005
167.0,68390.0,117005
168.0,68411.0,117005
169.0,68425.0,117005
170.0,68439.0,117005
171.0,68446.0,117005
172.0,68460.0,117005
173.0,68467.0,117005
174.0,68474.0,117005
175.0,68488.0,117005
176.0,68488.0,117005
177.0,68502.0,117005
178.0,68502.0,117005
179.0,68509.0,117005
180.0,68516.0,117005
181.0,68516.0,117005
182.0,68516.0,117005
183.0,68523.0,117005
186.0,68523.0,117005
190.0,68523.0,117005
194.0,68523.0,117005
196.0,68523.0,117005
204.0,68530.0,117005
208.0,68530.0,117005
211.0,68530.0,117005
212.0,68530.0,117005
231.0,68530.0,117005
