covid_vacc_date,F,M,F_total,M_total
2020-12-01,0.0,0.0,635075.0,642684.0
2020-12-08,112.0,49.0,635075.0,642684.0
2020-12-09,364.0,168.0,635075.0,642684.0
2020-12-10,602.0,280.0,635075.0,642684.0
2020-12-11,847.0,371.0,635075.0,642684.0
2020-12-12,1036.0,448.0,635075.0,642684.0
2020-12-13,1211.0,511.0,635075.0,642684.0
2020-12-14,1414.0,602.0,635075.0,642684.0
2020-12-15,1778.0,728.0,635075.0,642684.0
2020-12-16,2247.0,875.0,635075.0,642684.0
2020-12-17,2891.0,1078.0,635075.0,642684.0
2020-12-18,3493.0,1253.0,635075.0,642684.0
2020-12-19,4025.0,1435.0,635075.0,642684.0
2020-12-20,4711.0,1666.0,635075.0,642684.0
2020-12-21,5579.0,1932.0,635075.0,642684.0
2020-12-22,6307.0,2184.0,635075.0,642684.0
2020-12-23,7266.0,2527.0,635075.0,642684.0
2020-12-24,7728.0,2702.0,635075.0,642684.0
2020-12-25,7728.0,2702.0,635075.0,642684.0
2020-12-26,7742.0,2709.0,635075.0,642684.0
2020-12-27,7868.0,2751.0,635075.0,642684.0
2020-12-28,8120.0,2828.0,635075.0,642684.0
2020-12-29,8708.0,3017.0,635075.0,642684.0
2020-12-30,10206.0,3493.0,635075.0,642684.0
2020-12-31,11585.0,3948.0,635075.0,642684.0
2021-01-01,11963.0,4046.0,635075.0,642684.0
2021-01-02,12341.0,4165.0,635075.0,642684.0
2021-01-03,12656.0,4256.0,635075.0,642684.0
2021-01-04,13237.0,4473.0,635075.0,642684.0
2021-01-05,14420.0,4809.0,635075.0,642684.0
2021-01-06,16191.0,5313.0,635075.0,642684.0
2021-01-07,18844.0,6132.0,635075.0,642684.0
2021-01-08,21525.0,7049.0,635075.0,642684.0
2021-01-09,23912.0,7777.0,635075.0,642684.0
2021-01-10,25200.0,8169.0,635075.0,642684.0
2021-01-11,27083.0,8792.0,635075.0,642684.0
2021-01-12,29414.0,9562.0,635075.0,642684.0
2021-01-13,32123.0,10451.0,635075.0,642684.0
2021-01-14,35168.0,11522.0,635075.0,642684.0
2021-01-15,38584.0,12817.0,635075.0,642684.0
2021-01-16,41587.0,13832.0,635075.0,642684.0
2021-01-17,43582.0,14539.0,635075.0,642684.0
2021-01-18,45885.0,15316.0,635075.0,642684.0
2021-01-19,48608.0,16338.0,635075.0,642684.0
2021-01-20,51534.0,17493.0,635075.0,642684.0
2021-01-21,54544.0,18732.0,635075.0,642684.0
2021-01-22,58156.0,20272.0,635075.0,642684.0
2021-01-23,61096.0,21532.0,635075.0,642684.0
2021-01-24,62923.0,22351.0,635075.0,642684.0
2021-01-25,64799.0,23205.0,635075.0,642684.0
2021-01-26,67025.0,24241.0,635075.0,642684.0
2021-01-27,69153.0,25284.0,635075.0,642684.0
2021-01-28,71470.0,26313.0,635075.0,642684.0
2021-01-29,74067.0,27790.0,635075.0,642684.0
2021-01-30,76153.0,28924.0,635075.0,642684.0
2021-01-31,77735.0,29736.0,635075.0,642684.0
2021-02-01,79163.0,30583.0,635075.0,642684.0
2021-02-02,80934.0,31584.0,635075.0,642684.0
2021-02-03,82866.0,32802.0,635075.0,642684.0
2021-02-04,84994.0,34272.0,635075.0,642684.0
2021-02-05,87171.0,35707.0,635075.0,642684.0
2021-02-06,89243.0,37184.0,635075.0,642684.0
2021-02-07,90482.0,38143.0,635075.0,642684.0
2021-02-08,91679.0,38955.0,635075.0,642684.0
2021-02-09,93464.0,40271.0,635075.0,642684.0
2021-02-10,96194.0,42588.0,635075.0,642684.0
2021-02-11,100184.0,46249.0,635075.0,642684.0
2021-02-12,105763.0,51492.0,635075.0,642684.0
2021-02-13,111853.0,57540.0,635075.0,642684.0
2021-02-14,114744.0,60172.0,635075.0,642684.0
2021-02-15,117852.0,63091.0,635075.0,642684.0
2021-02-16,126952.0,73143.0,635075.0,642684.0
2021-02-17,142058.0,90405.0,635075.0,642684.0
2021-02-18,155470.0,105945.0,635075.0,642684.0
2021-02-19,166047.0,117754.0,635075.0,642684.0
2021-02-20,176729.0,130018.0,635075.0,642684.0
2021-02-21,180579.0,134162.0,635075.0,642684.0
2021-02-22,184940.0,138789.0,635075.0,642684.0
2021-02-23,195153.0,150241.0,635075.0,642684.0
2021-02-24,211764.0,168238.0,635075.0,642684.0
2021-02-25,231455.0,188580.0,635075.0,642684.0
2021-02-26,253617.0,211848.0,635075.0,642684.0
2021-02-27,271201.0,230363.0,635075.0,642684.0
2021-02-28,281456.0,240828.0,635075.0,642684.0
2021-03-01,291963.0,250999.0,635075.0,642684.0
2021-03-02,305011.0,263865.0,635075.0,642684.0
2021-03-03,321762.0,280847.0,635075.0,642684.0
2021-03-04,344841.0,304696.0,635075.0,642684.0
2021-03-05,367248.0,328384.0,635075.0,642684.0
2021-03-06,390558.0,353101.0,635075.0,642684.0
2021-03-07,401436.0,365197.0,635075.0,642684.0
2021-03-08,414281.0,380317.0,635075.0,642684.0
2021-03-09,425831.0,393547.0,635075.0,642684.0
2021-03-10,437808.0,406679.0,635075.0,642684.0
2021-03-11,449358.0,419384.0,635075.0,642684.0
2021-03-12,464681.0,436506.0,635075.0,642684.0
2021-03-13,484393.0,458031.0,635075.0,642684.0
2021-03-14,493969.0,469378.0,635075.0,642684.0
2021-03-15,504966.0,481572.0,635075.0,642684.0
2021-03-16,514472.0,491897.0,635075.0,642684.0
2021-03-17,522116.0,500416.0,635075.0,642684.0
2021-03-18,522116.0,500416.0,635075.0,642684.0
