covid_vacc_date,total,"under 55s, not in other eligible groups shown",70-79,55-59,60-64,80+,65-69,shielding (aged 16-69),care home,LD (aged 16-64)
12 Jan,944251.0,267624.0,63980.0,55062.0,39081.0,449239.0,15393.0,25305.0,27608.0,959.0
13 Jan,1043455.0,295120.0,80325.0,60403.0,42700.0,488012.0,16940.0,27510.0,31276.0,1169.0
14 Jan,1150471.0,325101.0,99057.0,66276.0,46830.0,527485.0,18795.0,30100.0,35441.0,1386.0
15 Jan,1279376.0,358729.0,121401.0,72849.0,51562.0,577220.0,20930.0,33719.0,41251.0,1715.0
16 Jan,1404417.0,388003.0,139720.0,78554.0,55587.0,636349.0,22778.0,36610.0,44905.0,1911.0
17 Jan,1468957.0,408828.0,147385.0,82383.0,58303.0,661493.0,23933.0,38339.0,46305.0,1988.0
18 Jan,1529367.0,433097.0,155631.0,86744.0,61383.0,675633.0,25207.0,40334.0,49133.0,2205.0
19 Jan,1650047.0,460369.0,190547.0,91770.0,65142.0,717465.0,27041.0,43484.0,51744.0,2485.0
20 Jan,1790012.0,490567.0,236712.0,97398.0,69230.0,762111.0,29288.0,47817.0,54110.0,2779.0
21 Jan,1935248.0,521591.0,289681.0,103152.0,73486.0,801045.0,31941.0,53606.0,57561.0,3185.0
22 Jan,2135189.0,556283.0,373597.0,109676.0,78652.0,851998.0,35728.0,61859.0,63595.0,3801.0
23 Jan,2334269.0,584535.0,479325.0,115003.0,82859.0,893676.0,38976.0,70511.0,65205.0,4179.0
24 Jan,2412991.0,601503.0,516390.0,118223.0,85512.0,905632.0,40880.0,74697.0,65856.0,4298.0
25 Jan,2489788.0,621999.0,547806.0,122066.0,88235.0,917672.0,42721.0,78505.0,66332.0,4452.0
26 Jan,2588663.0,645610.0,592067.0,126343.0,91497.0,932183.0,45010.0,84287.0,66941.0,4725.0
27 Jan,2685158.0,667786.0,637140.0,130403.0,94675.0,944069.0,47726.0,90867.0,67452.0,5040.0
28 Jan,2824759.0,690557.0,714833.0,134624.0,98021.0,959217.0,51464.0,102669.0,67991.0,5383.0
29 Jan,3012128.0,714854.0,834211.0,139454.0,102095.0,974904.0,56014.0,116228.0,68635.0,5733.0
30 Jan,3201247.0,734657.0,963641.0,143381.0,105315.0,986076.0,59682.0,133672.0,68901.0,5922.0
31 Jan,3313779.0,749756.0,1037540.0,146174.0,107716.0,990430.0,63455.0,143703.0,68999.0,6006.0
01 Feb,3416707.0,763791.0,1098958.0,148827.0,109998.0,996142.0,69153.0,154336.0,69307.0,6195.0
02 Feb,3535434.0,778981.0,1170267.0,151823.0,112749.0,1002078.0,75054.0,168420.0,69608.0,6454.0
03 Feb,3686207.0,795466.0,1261974.0,155204.0,115899.0,1008112.0,83139.0,189497.0,70091.0,6825.0
04 Feb,3849615.0,813645.0,1357244.0,158844.0,119490.0,1014202.0,93408.0,214865.0,70602.0,7315.0
05 Feb,4007563.0,831278.0,1445773.0,162554.0,123109.0,1019949.0,104776.0,241178.0,71183.0,7763.0
06 Feb,4208589.0,847105.0,1560958.0,166117.0,126644.0,1023855.0,121051.0,283178.0,71442.0,8239.0
07 Feb,4310278.0,856534.0,1618673.0,168252.0,128835.0,1025689.0,130389.0,301966.0,71554.0,8386.0
08 Feb,4406640.0,866306.0,1667169.0,170289.0,130851.0,1028979.0,142226.0,320271.0,71820.0,8729.0
09 Feb,4539339.0,878563.0,1726396.0,173040.0,133931.0,1032801.0,169589.0,343588.0,72233.0,9198.0
10 Feb,4681523.0,892549.0,1771497.0,176540.0,138964.0,1037463.0,213913.0,367829.0,72870.0,9898.0
11 Feb,4849775.0,909727.0,1813938.0,181363.0,146594.0,1041719.0,277634.0,394555.0,73549.0,10696.0
12 Feb,5026000.0,930762.0,1849512.0,187761.0,157395.0,1045835.0,351008.0,417914.0,74214.0,11599.0
13 Feb,5207279.0,953064.0,1880473.0,193970.0,169617.0,1048390.0,435792.0,438998.0,74508.0,12467.0
14 Feb,5284279.0,965923.0,1889573.0,198240.0,175196.0,1049349.0,472773.0,445942.0,74571.0,12712.0
15 Feb,5365920.0,980889.0,1897133.0,202468.0,181223.0,1050854.0,513114.0,452151.0,74956.0,13132.0
16 Feb,5495420.0,1007972.0,1903608.0,213346.0,200368.0,1052289.0,566510.0,461853.0,75257.0,14217.0
17 Feb,5673752.0,1051372.0,1909383.0,233954.0,232708.0,1053822.0,626234.0,474537.0,75558.0,16184.0
18 Feb,5833527.0,1095339.0,1913933.0,253869.0,261639.0,1055222.0,672637.0,486759.0,75901.0,18228.0
19 Feb,5963342.0,1133853.0,1917363.0,269283.0,284004.0,1056433.0,708666.0,497539.0,76265.0,19936.0
20 Feb,6088306.0,1173291.0,1920415.0,284865.0,306922.0,1057126.0,739816.0,508102.0,76356.0,21413.0
21 Feb,6136130.0,1189804.0,1921318.0,290255.0,314902.0,1057371.0,751709.0,512533.0,76377.0,21861.0
22 Feb,6196736.0,1209236.0,1922781.0,296898.0,323897.0,1057917.0,768404.0,518511.0,76454.0,22638.0
23 Feb,6313622.0,1251642.0,1925007.0,313586.0,345541.0,1058925.0,787395.0,530628.0,76629.0,24269.0
24 Feb,6475294.0,1308209.0,1927975.0,335601.0,380100.0,1059982.0,812693.0,546994.0,76860.0,26880.0
25 Feb,6651176.0,1369886.0,1931286.0,358883.0,420105.0,1061158.0,836185.0,566594.0,77070.0,30009.0
26 Feb,6837145.0,1434937.0,1934352.0,384251.0,465472.0,1062285.0,859299.0,586243.0,77238.0,33068.0
27 Feb,6982815.0,1488830.0,1936382.0,403949.0,501529.0,1062866.0,875203.0,601279.0,77301.0,35476.0
28 Feb,7048720.0,1511377.0,1937166.0,410627.0,522228.0,1063034.0,883645.0,607131.0,77336.0,36176.0
01 Mar,7105126.0,1530032.0,1937999.0,415814.0,542878.0,1063426.0,888923.0,611709.0,77434.0,36911.0
02 Mar,7171157.0,1550773.0,1939007.0,422345.0,568771.0,1064007.0,894509.0,616462.0,77560.0,37723.0
03 Mar,7270900.0,1587740.0,1940288.0,434098.0,602490.0,1064742.0,901089.0,623553.0,77693.0,39207.0
04 Mar,7405433.0,1635613.0,1942115.0,450002.0,649432.0,1065561.0,910448.0,632821.0,77847.0,41594.0
05 Mar,7549661.0,1689436.0,1944243.0,469994.0,695513.0,1066436.0,920066.0,641592.0,78029.0,44352.0
06 Mar,7700980.0,1748873.0,1945797.0,491827.0,743505.0,1066954.0,928655.0,650601.0,78057.0,46711.0
07 Mar,7752682.0,1765141.0,1946161.0,498890.0,766451.0,1067066.0,930720.0,653086.0,78064.0,47103.0
08 Mar,7814772.0,1781934.0,1946847.0,508249.0,794402.0,1067346.0,934101.0,655991.0,78148.0,47754.0
09 Mar,7883498.0,1802871.0,1947631.0,522529.0,819203.0,1067941.0,937272.0,659253.0,78232.0,48566.0
10 Mar,7962703.0,1830038.0,1948478.0,541058.0,844305.0,1068515.0,940240.0,662382.0,78316.0,49371.0
11 Mar,8041649.0,1854559.0,1949283.0,563787.0,868595.0,1068956.0,943005.0,664909.0,78379.0,50176.0
12 Mar,8172598.0,1905526.0,1950396.0,600082.0,901047.0,1069495.0,947296.0,668766.0,78498.0,51492.0
13 Mar,8373190.0,1991269.0,1951537.0,659974.0,942347.0,1069873.0,952742.0,673603.0,78526.0,53319.0
14 Mar,8467067.0,2026584.0,1951957.0,691670.0,963333.0,1070006.0,955472.0,675647.0,78540.0,53858.0
15 Mar,8600690.0,2072287.0,1952587.0,748041.0,986713.0,1070293.0,958993.0,678510.0,78575.0,54691.0
16 Mar,8756727.0,2137219.0,1953280.0,811587.0,1006747.0,1070643.0,961947.0,680995.0,78687.0,55622.0
17 Mar,8922186.0,2220925.0,1953973.0,869806.0,1023372.0,1071000.0,964320.0,683557.0,78771.0,56462.0
18 Mar,9119544.0,2336782.0,1954764.0,927374.0,1040214.0,1071441.0,966910.0,685909.0,78883.0,57267.0
19 Mar,9334031.0,2463489.0,1955492.0,990220.0,1058309.0,1071826.0,969206.0,688436.0,78974.0,58079.0
