covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White
01 Dec,0.0,0.0,0.0,0.0,0.0,0.0
08 Dec,0.0,0.0,0.0,0.0,0.06,0.05
09 Dec,0.0,0.0,0.25,0.08,0.19,0.17
10 Dec,0.07,0.25,0.5,0.16,0.35,0.35
11 Dec,0.14,0.25,0.63,0.21,0.5,0.52
12 Dec,0.14,0.5,0.76,0.26,0.6,0.64
13 Dec,0.2,0.5,0.88,0.34,0.67,0.75
14 Dec,0.2,0.5,1.01,0.44,0.83,0.93
15 Dec,1.08,1.74,2.14,1.61,2.72,2.78
16 Dec,2.64,3.24,3.9,3.63,5.86,5.86
17 Dec,4.06,4.98,5.54,5.53,8.67,8.61
18 Dec,5.0,6.23,6.68,6.98,10.35,10.43
19 Dec,6.42,8.22,8.57,9.57,12.18,12.74
20 Dec,7.23,9.47,9.95,11.1,13.88,14.76
21 Dec,7.91,10.22,10.83,12.09,14.87,15.96
22 Dec,8.72,11.71,11.71,13.26,16.73,18.2
23 Dec,9.19,12.46,12.72,13.88,18.18,19.77
24 Dec,9.33,12.96,12.85,14.32,18.45,20.13
25 Dec,9.33,12.96,12.85,14.32,18.45,20.13
26 Dec,9.33,12.96,12.85,14.32,18.45,20.13
27 Dec,9.33,12.96,12.85,14.32,18.46,20.15
28 Dec,9.33,12.96,12.97,14.35,18.49,20.2
29 Dec,9.67,13.46,13.35,14.87,19.0,20.96
30 Dec,10.61,14.7,14.49,16.01,20.53,22.77
31 Dec,11.09,15.2,15.24,16.92,21.83,23.98
01 Jan,11.15,15.45,15.37,16.94,22.09,24.19
02 Jan,11.15,15.45,15.37,17.1,22.3,24.4
03 Jan,11.15,15.45,15.37,17.12,22.45,24.53
04 Jan,11.29,15.45,15.49,17.18,22.58,24.65
05 Jan,11.36,15.7,15.49,17.33,22.86,24.93
06 Jan,11.63,16.2,16.0,17.82,23.52,25.61
07 Jan,12.37,17.44,17.89,19.02,26.42,28.75
08 Jan,14.6,20.93,21.29,21.92,29.85,32.37
09 Jan,17.17,23.42,23.56,25.25,32.93,35.62
10 Jan,18.52,24.67,24.69,26.8,34.38,37.03
11 Jan,19.06,25.17,25.19,27.43,35.06,37.72
12 Jan,19.74,26.17,26.08,28.28,37.33,39.9
13 Jan,21.16,27.66,27.71,30.77,40.62,43.26
14 Jan,23.93,30.65,31.37,35.42,43.85,46.63
15 Jan,26.97,34.89,34.14,39.1,48.07,50.9
16 Jan,29.61,37.88,37.79,42.01,53.04,56.12
17 Jan,30.55,39.62,40.44,43.43,55.13,58.34
18 Jan,31.57,40.62,41.95,44.24,56.23,59.55
19 Jan,33.26,42.61,43.96,46.73,59.72,63.21
20 Jan,35.82,45.85,46.61,49.95,63.5,67.08
21 Jan,37.99,48.34,48.5,52.07,66.78,70.44
22 Jan,40.83,51.83,53.03,55.45,71.03,74.82
23 Jan,43.19,54.33,56.81,58.15,74.64,78.36
24 Jan,44.34,55.57,58.32,58.98,75.6,79.38
25 Jan,45.49,56.57,58.83,60.07,76.61,80.39
26 Jan,46.98,57.81,60.34,61.28,77.87,81.53
27 Jan,48.4,58.56,61.22,62.32,78.82,82.35
