covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White,Black_total,Mixed_total,Other_total,South Asian_total,Unknown_total,White_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,105896,78869,150122,314797,518014,2355339
2020-12-02,0.0,0.0,0.0,0.0,0.0,7.0,105896,78869,150122,314797,518014,2355339
2020-12-03,0.0,0.0,0.0,0.0,0.0,7.0,105896,78869,150122,314797,518014,2355339
2020-12-04,0.0,0.0,0.0,0.0,0.0,14.0,105896,78869,150122,314797,518014,2355339
2020-12-07,0.0,0.0,0.0,0.0,0.0,14.0,105896,78869,150122,314797,518014,2355339
2020-12-08,0.0,0.0,0.0,21.0,7.0,119.0,105896,78869,150122,314797,518014,2355339
2020-12-09,0.0,14.0,7.0,42.0,35.0,350.0,105896,78869,150122,314797,518014,2355339
2020-12-10,7.0,21.0,14.0,49.0,56.0,588.0,105896,78869,150122,314797,518014,2355339
2020-12-11,14.0,28.0,21.0,77.0,84.0,833.0,105896,78869,150122,314797,518014,2355339
2020-12-12,14.0,28.0,28.0,98.0,119.0,1092.0,105896,78869,150122,314797,518014,2355339
2020-12-13,21.0,28.0,35.0,119.0,140.0,1309.0,105896,78869,150122,314797,518014,2355339
2020-12-14,28.0,35.0,42.0,147.0,175.0,1561.0,105896,78869,150122,314797,518014,2355339
2020-12-15,28.0,42.0,56.0,189.0,217.0,1953.0,105896,78869,150122,314797,518014,2355339
2020-12-16,35.0,63.0,70.0,245.0,280.0,2492.0,105896,78869,150122,314797,518014,2355339
2020-12-17,35.0,77.0,84.0,308.0,350.0,3108.0,105896,78869,150122,314797,518014,2355339
2020-12-18,42.0,91.0,105.0,357.0,427.0,3654.0,105896,78869,150122,314797,518014,2355339
2020-12-19,49.0,105.0,119.0,413.0,490.0,4130.0,105896,78869,150122,314797,518014,2355339
2020-12-20,56.0,112.0,133.0,476.0,574.0,4718.0,105896,78869,150122,314797,518014,2355339
2020-12-21,63.0,126.0,154.0,560.0,658.0,5502.0,105896,78869,150122,314797,518014,2355339
2020-12-22,77.0,140.0,175.0,644.0,742.0,6202.0,105896,78869,150122,314797,518014,2355339
2020-12-23,91.0,168.0,210.0,784.0,854.0,7231.0,105896,78869,150122,314797,518014,2355339
2020-12-24,98.0,182.0,238.0,847.0,917.0,7679.0,105896,78869,150122,314797,518014,2355339
2020-12-25,98.0,182.0,245.0,847.0,917.0,7686.0,105896,78869,150122,314797,518014,2355339
2020-12-26,98.0,182.0,245.0,868.0,917.0,7721.0,105896,78869,150122,314797,518014,2355339
2020-12-27,98.0,182.0,252.0,882.0,938.0,7868.0,105896,78869,150122,314797,518014,2355339
2020-12-28,105.0,189.0,266.0,917.0,980.0,8134.0,105896,78869,150122,314797,518014,2355339
2020-12-29,119.0,203.0,301.0,1008.0,1057.0,8834.0,105896,78869,150122,314797,518014,2355339
2020-12-30,140.0,231.0,350.0,1204.0,1260.0,10416.0,105896,78869,150122,314797,518014,2355339
2020-12-31,161.0,273.0,413.0,1414.0,1449.0,11998.0,105896,78869,150122,314797,518014,2355339
2021-01-01,168.0,280.0,427.0,1491.0,1505.0,12397.0,105896,78869,150122,314797,518014,2355339
2021-01-02,175.0,301.0,455.0,1582.0,1554.0,12950.0,105896,78869,150122,314797,518014,2355339
2021-01-03,189.0,308.0,476.0,1638.0,1617.0,13454.0,105896,78869,150122,314797,518014,2355339
2021-01-04,196.0,322.0,525.0,1764.0,1701.0,14378.0,105896,78869,150122,314797,518014,2355339
2021-01-05,224.0,357.0,616.0,1981.0,1876.0,15897.0,105896,78869,150122,314797,518014,2355339
2021-01-06,252.0,392.0,707.0,2261.0,2142.0,18046.0,105896,78869,150122,314797,518014,2355339
2021-01-07,294.0,448.0,819.0,2583.0,2541.0,21175.0,105896,78869,150122,314797,518014,2355339
2021-01-08,350.0,532.0,945.0,2989.0,2898.0,24731.0,105896,78869,150122,314797,518014,2355339
2021-01-09,399.0,595.0,1022.0,3290.0,3255.0,27860.0,105896,78869,150122,314797,518014,2355339
2021-01-10,427.0,644.0,1085.0,3535.0,3514.0,29953.0,105896,78869,150122,314797,518014,2355339
2021-01-11,483.0,700.0,1183.0,3864.0,3906.0,33173.0,105896,78869,150122,314797,518014,2355339
2021-01-12,553.0,770.0,1295.0,4228.0,4361.0,37142.0,105896,78869,150122,314797,518014,2355339
2021-01-13,623.0,854.0,1442.0,4662.0,4879.0,41587.0,105896,78869,150122,314797,518014,2355339
2021-01-14,714.0,959.0,1568.0,5152.0,5488.0,46396.0,105896,78869,150122,314797,518014,2355339
