covid_vacc_date,total,12-15,5-11
2021 17 Sep,10318.0,10318.0,0.0
2021 18 Sep,10570.0,10570.0,0.0
2021 19 Sep,10647.0,10640.0,7.0
2021 20 Sep,10976.0,10969.0,7.0
2021 21 Sep,11571.0,11564.0,7.0
2021 22 Sep,13741.0,13734.0,7.0
2021 23 Sep,16331.0,16324.0,7.0
2021 24 Sep,19915.0,19908.0,7.0
2021 25 Sep,20265.0,20258.0,7.0
2021 26 Sep,20335.0,20328.0,7.0
2021 27 Sep,25151.0,25144.0,7.0
2021 28 Sep,32375.0,32368.0,7.0
2021 29 Sep,38675.0,38668.0,7.0
2021 30 Sep,46347.0,46340.0,7.0
2021 01 Oct,52948.0,52941.0,7.0
2021 02 Oct,53277.0,53270.0,7.0
2021 03 Oct,53550.0,53543.0,7.0
2021 04 Oct,60060.0,60046.0,14.0
2021 05 Oct,67844.0,67830.0,14.0
2021 06 Oct,75173.0,75159.0,14.0
2021 07 Oct,82866.0,82852.0,14.0
2021 08 Oct,90209.0,90195.0,14.0
2021 09 Oct,90643.0,90629.0,14.0
2021 10 Oct,90909.0,90895.0,14.0
2021 11 Oct,98497.0,98483.0,14.0
2021 12 Oct,109354.0,109340.0,14.0
2021 13 Oct,119182.0,119168.0,14.0
2021 14 Oct,128373.0,128359.0,14.0
2021 15 Oct,137452.0,137438.0,14.0
2021 16 Oct,138334.0,138320.0,14.0
2021 17 Oct,138572.0,138558.0,14.0
2021 18 Oct,147378.0,147364.0,14.0
2021 19 Oct,157416.0,157402.0,14.0
2021 20 Oct,167188.0,167167.0,21.0
2021 21 Oct,176925.0,176904.0,21.0
2021 22 Oct,185178.0,185157.0,21.0
2021 23 Oct,187257.0,187236.0,21.0
2021 24 Oct,188426.0,188405.0,21.0
2021 25 Oct,193690.0,193669.0,21.0
2021 26 Oct,199864.0,199843.0,21.0
2021 27 Oct,207193.0,207172.0,21.0
2021 28 Oct,215698.0,215677.0,21.0
2021 29 Oct,222166.0,222145.0,21.0
2021 30 Oct,227997.0,227976.0,21.0
2021 31 Oct,233170.0,233149.0,21.0
2021 01 Nov,244209.0,244188.0,21.0
2021 02 Nov,256599.0,256578.0,21.0
2021 03 Nov,268891.0,268870.0,21.0
2021 04 Nov,281407.0,281379.0,28.0
2021 05 Nov,290962.0,290934.0,28.0
2021 06 Nov,297094.0,297066.0,28.0
2021 07 Nov,302260.0,302232.0,28.0
2021 08 Nov,311339.0,311304.0,35.0
2021 09 Nov,320971.0,320936.0,35.0
2021 10 Nov,328734.0,328692.0,42.0
2021 11 Nov,337064.0,337022.0,42.0
2021 12 Nov,344141.0,344092.0,49.0
2021 13 Nov,349762.0,349713.0,49.0
2021 14 Nov,353822.0,353773.0,49.0
2021 15 Nov,361669.0,361620.0,49.0
2021 16 Nov,367339.0,367283.0,56.0
2021 17 Nov,373429.0,373373.0,56.0
2021 18 Nov,379085.0,379029.0,56.0
2021 19 Nov,384181.0,384118.0,63.0
2021 20 Nov,387562.0,387499.0,63.0
2021 21 Nov,390166.0,390096.0,70.0
2021 22 Nov,394093.0,394023.0,70.0
2021 23 Nov,398083.0,398013.0,70.0
2021 24 Nov,402059.0,401975.0,84.0
2021 25 Nov,405867.0,405783.0,84.0
2021 26 Nov,408471.0,408380.0,91.0
2021 27 Nov,411152.0,411061.0,91.0
2021 28 Nov,413595.0,413504.0,91.0
2021 29 Nov,416906.0,416815.0,91.0
2021 30 Nov,420231.0,420140.0,91.0
2021 01 Dec,422912.0,422814.0,98.0
2021 02 Dec,425299.0,425201.0,98.0
2021 03 Dec,427378.0,427280.0,98.0
2021 04 Dec,430262.0,430164.0,98.0
2021 05 Dec,432859.0,432754.0,105.0
2021 06 Dec,435232.0,435127.0,105.0
2021 07 Dec,437087.0,436982.0,105.0
2021 08 Dec,438767.0,438655.0,112.0
2021 09 Dec,440636.0,440517.0,119.0
2021 10 Dec,442673.0,442554.0,119.0
2021 11 Dec,445081.0,444962.0,119.0
2021 12 Dec,447895.0,447769.0,126.0
2021 13 Dec,449918.0,449778.0,140.0
2021 14 Dec,452116.0,451969.0,147.0
2021 15 Dec,453978.0,453831.0,147.0
