covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White,Black_total,Mixed_total,Other_total,South Asian_total,Unknown_total,White_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,10997,3248,6720,28133,59052,1001294
2020-12-08,0.0,0.0,0.0,0.0,14.0,518.0,10997,3248,6720,28133,59052,1001294
2020-12-09,0.0,0.0,21.0,21.0,56.0,1883.0,10997,3248,6720,28133,59052,1001294
2020-12-10,7.0,7.0,35.0,49.0,112.0,3668.0,10997,3248,6720,28133,59052,1001294
2020-12-11,14.0,14.0,42.0,70.0,161.0,5376.0,10997,3248,6720,28133,59052,1001294
2020-12-12,21.0,14.0,49.0,84.0,196.0,6601.0,10997,3248,6720,28133,59052,1001294
2020-12-13,21.0,14.0,63.0,105.0,231.0,7693.0,10997,3248,6720,28133,59052,1001294
2020-12-14,28.0,14.0,70.0,140.0,287.0,9492.0,10997,3248,6720,28133,59052,1001294
2020-12-15,126.0,49.0,147.0,497.0,1274.0,28987.0,10997,3248,6720,28133,59052,1001294
2020-12-16,308.0,119.0,280.0,1120.0,2926.0,61215.0,10997,3248,6720,28133,59052,1001294
2020-12-17,476.0,175.0,413.0,1694.0,4340.0,89950.0,10997,3248,6720,28133,59052,1001294
2020-12-18,581.0,217.0,511.0,2142.0,5145.0,108682.0,10997,3248,6720,28133,59052,1001294
2020-12-19,749.0,294.0,637.0,2919.0,6020.0,131236.0,10997,3248,6720,28133,59052,1001294
2020-12-20,847.0,329.0,735.0,3353.0,6958.0,151228.0,10997,3248,6720,28133,59052,1001294
2020-12-21,917.0,357.0,805.0,3640.0,7448.0,163156.0,10997,3248,6720,28133,59052,1001294
2020-12-22,1015.0,406.0,882.0,3976.0,8351.0,185892.0,10997,3248,6720,28133,59052,1001294
2020-12-23,1057.0,427.0,966.0,4158.0,9037.0,202027.0,10997,3248,6720,28133,59052,1001294
2020-12-24,1071.0,448.0,987.0,4284.0,9184.0,205492.0,10997,3248,6720,28133,59052,1001294
2020-12-25,1071.0,448.0,987.0,4284.0,9184.0,205492.0,10997,3248,6720,28133,59052,1001294
2020-12-26,1071.0,448.0,987.0,4291.0,9184.0,205499.0,10997,3248,6720,28133,59052,1001294
2020-12-27,1071.0,448.0,987.0,4291.0,9191.0,205674.0,10997,3248,6720,28133,59052,1001294
2020-12-28,1071.0,448.0,987.0,4298.0,9205.0,206108.0,10997,3248,6720,28133,59052,1001294
2020-12-29,1120.0,469.0,1022.0,4452.0,9464.0,213472.0,10997,3248,6720,28133,59052,1001294
2020-12-30,1218.0,504.0,1092.0,4788.0,10234.0,231868.0,10997,3248,6720,28133,59052,1001294
2020-12-31,1267.0,532.0,1155.0,5054.0,10927.0,244853.0,10997,3248,6720,28133,59052,1001294
2021-01-01,1274.0,539.0,1162.0,5061.0,11109.0,247247.0,10997,3248,6720,28133,59052,1001294
