covid_vacc_date,Black,Mixed,Other,South Asian,Unknown,White,Black_total,Mixed_total,Other_total,South Asian_total,Unknown_total,White_total
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,90251,42182,89789,266301,318346,2166185
2020-12-02,0.0,0.0,0.0,0.0,0.0,0.0,90251,42182,89789,266301,318346,2166185
2020-12-03,0.0,0.0,0.0,0.0,0.0,7.0,90251,42182,89789,266301,318346,2166185
2020-12-04,0.0,0.0,0.0,0.0,0.0,7.0,90251,42182,89789,266301,318346,2166185
2020-12-07,0.0,0.0,0.0,0.0,0.0,14.0,90251,42182,89789,266301,318346,2166185
2020-12-08,7.0,0.0,7.0,49.0,21.0,266.0,90251,42182,89789,266301,318346,2166185
2020-12-09,28.0,21.0,28.0,140.0,56.0,658.0,90251,42182,89789,266301,318346,2166185
2020-12-10,42.0,28.0,49.0,217.0,91.0,1099.0,90251,42182,89789,266301,318346,2166185
2020-12-11,56.0,42.0,70.0,322.0,133.0,1554.0,90251,42182,89789,266301,318346,2166185
2020-12-12,77.0,49.0,91.0,427.0,182.0,2072.0,90251,42182,89789,266301,318346,2166185
2020-12-13,91.0,56.0,112.0,490.0,231.0,2436.0,90251,42182,89789,266301,318346,2166185
2020-12-14,98.0,70.0,133.0,602.0,280.0,2884.0,90251,42182,89789,266301,318346,2166185
2020-12-15,119.0,77.0,175.0,791.0,371.0,3696.0,90251,42182,89789,266301,318346,2166185
2020-12-16,147.0,98.0,210.0,980.0,462.0,4655.0,90251,42182,89789,266301,318346,2166185
2020-12-17,189.0,126.0,266.0,1211.0,595.0,5810.0,90251,42182,89789,266301,318346,2166185
2020-12-18,217.0,147.0,301.0,1470.0,721.0,6958.0,90251,42182,89789,266301,318346,2166185
2020-12-19,238.0,161.0,329.0,1715.0,805.0,7903.0,90251,42182,89789,266301,318346,2166185
2020-12-20,273.0,189.0,378.0,2023.0,938.0,9247.0,90251,42182,89789,266301,318346,2166185
2020-12-21,315.0,217.0,441.0,2345.0,1099.0,10976.0,90251,42182,89789,266301,318346,2166185
2020-12-22,357.0,245.0,504.0,2667.0,1232.0,12418.0,90251,42182,89789,266301,318346,2166185
2020-12-23,413.0,294.0,602.0,3108.0,1421.0,14315.0,90251,42182,89789,266301,318346,2166185
2020-12-24,427.0,308.0,651.0,3339.0,1505.0,15267.0,90251,42182,89789,266301,318346,2166185
2020-12-25,427.0,308.0,651.0,3339.0,1505.0,15267.0,90251,42182,89789,266301,318346,2166185
2020-12-26,427.0,315.0,651.0,3367.0,1512.0,15302.0,90251,42182,89789,266301,318346,2166185
2020-12-27,434.0,329.0,665.0,3416.0,1547.0,15624.0,90251,42182,89789,266301,318346,2166185
2020-12-28,448.0,336.0,686.0,3535.0,1589.0,16128.0,90251,42182,89789,266301,318346,2166185
2020-12-29,490.0,371.0,756.0,3836.0,1715.0,17444.0,90251,42182,89789,266301,318346,2166185
2020-12-30,581.0,441.0,910.0,4480.0,2002.0,20482.0,90251,42182,89789,266301,318346,2166185
2020-12-31,672.0,511.0,1043.0,5054.0,2303.0,23513.0,90251,42182,89789,266301,318346,2166185
2021-01-01,700.0,525.0,1071.0,5215.0,2380.0,24276.0,90251,42182,89789,266301,318346,2166185
2021-01-02,735.0,553.0,1120.0,5411.0,2478.0,25249.0,90251,42182,89789,266301,318346,2166185
2021-01-03,763.0,567.0,1176.0,5558.0,2569.0,26138.0,90251,42182,89789,266301,318346,2166185
2021-01-04,819.0,595.0,1260.0,5859.0,2681.0,27622.0,90251,42182,89789,266301,318346,2166185
2021-01-05,903.0,665.0,1365.0,6412.0,2933.0,30310.0,90251,42182,89789,266301,318346,2166185
2021-01-06,1043.0,742.0,1533.0,7007.0,3269.0,34076.0,90251,42182,89789,266301,318346,2166185
2021-01-07,1211.0,833.0,1722.0,7854.0,3766.0,39676.0,90251,42182,89789,266301,318346,2166185
2021-01-08,1414.0,952.0,1911.0,8715.0,4326.0,45577.0,90251,42182,89789,266301,318346,2166185
2021-01-09,1596.0,1043.0,2058.0,9394.0,4802.0,50974.0,90251,42182,89789,266301,318346,2166185
2021-01-10,1701.0,1099.0,2177.0,9912.0,5075.0,54327.0,90251,42182,89789,266301,318346,2166185
2021-01-11,1855.0,1183.0,2324.0,10472.0,5474.0,59353.0,90251,42182,89789,266301,318346,2166185
2021-01-12,2086.0,1316.0,2506.0,11200.0,6069.0,65541.0,90251,42182,89789,266301,318346,2166185
2021-01-13,2345.0,1456.0,2667.0,11956.0,6692.0,72289.0,90251,42182,89789,266301,318346,2166185
2021-01-14,2667.0,1575.0,2891.0,12796.0,7406.0,79506.0,90251,42182,89789,266301,318346,2166185
2021-01-15,2996.0,1715.0,3108.0,13657.0,8183.0,87899.0,90251,42182,89789,266301,318346,2166185
2021-01-16,3290.0,1855.0,3297.0,14406.0,8841.0,95151.0,90251,42182,89789,266301,318346,2166185
2021-01-17,3493.0,1932.0,3437.0,14945.0,9338.0,100240.0,90251,42182,89789,266301,318346,2166185
2021-01-18,3794.0,2044.0,3584.0,15554.0,9884.0,105987.0,90251,42182,89789,266301,318346,2166185
2021-01-19,4095.0,2156.0,3759.0,16275.0,10514.0,112553.0,90251,42182,89789,266301,318346,2166185
2021-01-20,4480.0,2261.0,3941.0,17017.0,11186.0,119819.0,90251,42182,89789,266301,318346,2166185
2021-01-21,4872.0,2408.0,4116.0,17766.0,11872.0,127197.0,90251,42182,89789,266301,318346,2166185
2021-01-22,5271.0,2562.0,4284.0,18543.0,12649.0,135415.0,90251,42182,89789,266301,318346,2166185
2021-01-23,5565.0,2681.0,4459.0,19180.0,13230.0,142058.0,90251,42182,89789,266301,318346,2166185
2021-01-24,5733.0,2758.0,4550.0,19565.0,13622.0,146069.0,90251,42182,89789,266301,318346,2166185
2021-01-25,6006.0,2842.0,4648.0,19999.0,14084.0,151011.0,90251,42182,89789,266301,318346,2166185
2021-01-26,6300.0,2940.0,4774.0,20496.0,14609.0,156779.0,90251,42182,89789,266301,318346,2166185
2021-01-27,6601.0,3052.0,4886.0,20986.0,15092.0,161966.0,90251,42182,89789,266301,318346,2166185
2021-01-28,6895.0,3143.0,5005.0,21455.0,15596.0,167454.0,90251,42182,89789,266301,318346,2166185
2021-01-29,7196.0,3248.0,5124.0,22050.0,16107.0,173285.0,90251,42182,89789,266301,318346,2166185
2021-01-30,7399.0,3332.0,5215.0,22526.0,16569.0,178017.0,90251,42182,89789,266301,318346,2166185
2021-01-31,7581.0,3409.0,5285.0,22932.0,16926.0,181601.0,90251,42182,89789,266301,318346,2166185
2021-02-01,7826.0,3465.0,5362.0,23247.0,17234.0,185080.0,90251,42182,89789,266301,318346,2166185
2021-02-02,8050.0,3542.0,5432.0,23639.0,17584.0,188622.0,90251,42182,89789,266301,318346,2166185
2021-02-03,8288.0,3626.0,5523.0,24073.0,17920.0,192486.0,90251,42182,89789,266301,318346,2166185
2021-02-04,8568.0,3710.0,5628.0,24612.0,18312.0,196833.0,90251,42182,89789,266301,318346,2166185
2021-02-05,8848.0,3808.0,5733.0,25151.0,18669.0,201054.0,90251,42182,89789,266301,318346,2166185
2021-02-06,9023.0,3871.0,5824.0,25571.0,18984.0,204904.0,90251,42182,89789,266301,318346,2166185
2021-02-07,9149.0,3913.0,5873.0,25823.0,19201.0,207172.0,90251,42182,89789,266301,318346,2166185
2021-02-08,9345.0,3955.0,5915.0,26096.0,19418.0,209377.0,90251,42182,89789,266301,318346,2166185
2021-02-09,9555.0,4018.0,5992.0,26495.0,19698.0,212226.0,90251,42182,89789,266301,318346,2166185
2021-02-10,9786.0,4081.0,6097.0,26929.0,20006.0,215439.0,90251,42182,89789,266301,318346,2166185
2021-02-11,10059.0,4165.0,6202.0,27489.0,20349.0,219527.0,90251,42182,89789,266301,318346,2166185
2021-02-12,10374.0,4277.0,6342.0,28126.0,20790.0,224665.0,90251,42182,89789,266301,318346,2166185
2021-02-13,10619.0,4361.0,6482.0,28749.0,21252.0,230111.0,90251,42182,89789,266301,318346,2166185
2021-02-14,10752.0,4410.0,6552.0,29169.0,21525.0,233289.0,90251,42182,89789,266301,318346,2166185
2021-02-15,10934.0,4459.0,6622.0,29645.0,21826.0,236999.0,90251,42182,89789,266301,318346,2166185
2021-02-16,11193.0,4578.0,6811.0,30499.0,22267.0,244013.0,90251,42182,89789,266301,318346,2166185
2021-02-17,11466.0,4739.0,7042.0,31535.0,22988.0,255234.0,90251,42182,89789,266301,318346,2166185
2021-02-18,11767.0,4900.0,7252.0,32823.0,23772.0,266868.0,90251,42182,89789,266301,318346,2166185
2021-02-19,12040.0,5040.0,7462.0,33901.0,24465.0,277200.0,90251,42182,89789,266301,318346,2166185
2021-02-20,12278.0,5180.0,7637.0,34923.0,25130.0,287924.0,90251,42182,89789,266301,318346,2166185
2021-02-21,12425.0,5243.0,7756.0,35553.0,25508.0,292243.0,90251,42182,89789,266301,318346,2166185
2021-02-22,12621.0,5327.0,7875.0,36253.0,25858.0,297136.0,90251,42182,89789,266301,318346,2166185
2021-02-23,12915.0,5488.0,8099.0,37254.0,26565.0,308833.0,90251,42182,89789,266301,318346,2166185
2021-02-24,13279.0,5691.0,8435.0,38647.0,27643.0,324128.0,90251,42182,89789,266301,318346,2166185
2021-02-25,13699.0,5929.0,8757.0,40355.0,28721.0,340571.0,90251,42182,89789,266301,318346,2166185
2021-02-26,14112.0,6174.0,9107.0,41902.0,29869.0,358239.0,90251,42182,89789,266301,318346,2166185
2021-02-27,14455.0,6349.0,9380.0,43330.0,30961.0,372428.0,90251,42182,89789,266301,318346,2166185
2021-02-28,14651.0,6440.0,9520.0,44086.0,31430.0,378378.0,90251,42182,89789,266301,318346,2166185
2021-03-01,14805.0,6524.0,9646.0,44611.0,31857.0,383502.0,90251,42182,89789,266301,318346,2166185
2021-03-02,14994.0,6615.0,9779.0,45192.0,32249.0,388990.0,90251,42182,89789,266301,318346,2166185
2021-03-03,15295.0,6734.0,9989.0,46242.0,33012.0,399588.0,90251,42182,89789,266301,318346,2166185
2021-03-04,15603.0,6881.0,10248.0,47509.0,33873.0,412125.0,90251,42182,89789,266301,318346,2166185
2021-03-05,15960.0,7070.0,10549.0,48951.0,34902.0,426454.0,90251,42182,89789,266301,318346,2166185
2021-03-06,16331.0,7252.0,10871.0,50365.0,36015.0,443289.0,90251,42182,89789,266301,318346,2166185
2021-03-07,16478.0,7329.0,10976.0,50925.0,36295.0,447531.0,90251,42182,89789,266301,318346,2166185
2021-03-08,16618.0,7392.0,11053.0,51422.0,36582.0,451773.0,90251,42182,89789,266301,318346,2166185
2021-03-09,16807.0,7483.0,11221.0,52122.0,36960.0,457156.0,90251,42182,89789,266301,318346,2166185
2021-03-10,17024.0,7595.0,11403.0,52913.0,37464.0,464233.0,90251,42182,89789,266301,318346,2166185
2021-03-11,17248.0,7700.0,11557.0,53571.0,37898.0,469693.0,90251,42182,89789,266301,318346,2166185
2021-03-12,17591.0,7861.0,11837.0,54698.0,38766.0,481138.0,90251,42182,89789,266301,318346,2166185
2021-03-13,17969.0,8092.0,12201.0,56343.0,40005.0,498337.0,90251,42182,89789,266301,318346,2166185
2021-03-14,18137.0,8183.0,12390.0,57204.0,40558.0,505897.0,90251,42182,89789,266301,318346,2166185
2021-03-15,18375.0,8295.0,12628.0,58261.0,41342.0,515795.0,90251,42182,89789,266301,318346,2166185
2021-03-16,18648.0,8463.0,12950.0,59451.0,42504.0,528269.0,90251,42182,89789,266301,318346,2166185
2021-03-17,19012.0,8666.0,13335.0,61355.0,43778.0,541632.0,90251,42182,89789,266301,318346,2166185
2021-03-18,19376.0,8876.0,13699.0,62874.0,45318.0,557592.0,90251,42182,89789,266301,318346,2166185
2021-03-19,19845.0,9170.0,14224.0,64925.0,47285.0,576912.0,90251,42182,89789,266301,318346,2166185
2021-03-20,20454.0,9548.0,14840.0,67228.0,50428.0,605969.0,90251,42182,89789,266301,318346,2166185
2021-03-21,20713.0,9758.0,15204.0,68551.0,51968.0,619668.0,90251,42182,89789,266301,318346,2166185
2021-03-22,20944.0,9926.0,15491.0,69930.0,53144.0,631393.0,90251,42182,89789,266301,318346,2166185
2021-03-23,21322.0,10101.0,15862.0,71491.0,54635.0,645372.0,90251,42182,89789,266301,318346,2166185
2021-03-24,21637.0,10339.0,16261.0,73290.0,56392.0,662403.0,90251,42182,89789,266301,318346,2166185
2021-03-25,22148.0,10619.0,16765.0,75572.0,58849.0,683669.0,90251,42182,89789,266301,318346,2166185
2021-03-26,22694.0,10962.0,17381.0,78519.0,62167.0,710997.0,90251,42182,89789,266301,318346,2166185
2021-03-27,23569.0,11529.0,18417.0,82201.0,67760.0,756133.0,90251,42182,89789,266301,318346,2166185
2021-03-28,24003.0,11788.0,18991.0,84504.0,70770.0,780570.0,90251,42182,89789,266301,318346,2166185
2021-03-29,24395.0,11998.0,19425.0,86212.0,72947.0,798007.0,90251,42182,89789,266301,318346,2166185
2021-03-30,24780.0,12222.0,19922.0,87885.0,75334.0,816802.0,90251,42182,89789,266301,318346,2166185
2021-03-31,25319.0,12495.0,20489.0,89971.0,77588.0,834995.0,90251,42182,89789,266301,318346,2166185
2021-04-01,25683.0,12691.0,20888.0,91483.0,79415.0,849611.0,90251,42182,89789,266301,318346,2166185
2021-04-02,25858.0,12789.0,21119.0,92183.0,80339.0,856793.0,90251,42182,89789,266301,318346,2166185
2021-04-03,26005.0,12859.0,21252.0,92792.0,81193.0,863793.0,90251,42182,89789,266301,318346,2166185
2021-04-04,26075.0,12908.0,21329.0,93156.0,81606.0,867062.0,90251,42182,89789,266301,318346,2166185
2021-04-05,26117.0,12943.0,21385.0,93317.0,81795.0,868889.0,90251,42182,89789,266301,318346,2166185
2021-04-06,26271.0,13034.0,21588.0,94066.0,82691.0,875406.0,90251,42182,89789,266301,318346,2166185
2021-04-07,26446.0,13132.0,21826.0,94941.0,83671.0,882826.0,90251,42182,89789,266301,318346,2166185
2021-04-08,26586.0,13216.0,21966.0,95683.0,84434.0,889133.0,90251,42182,89789,266301,318346,2166185
2021-04-09,26796.0,13321.0,22169.0,96593.0,85463.0,897176.0,90251,42182,89789,266301,318346,2166185
2021-04-10,27006.0,13475.0,22400.0,97454.0,86863.0,909013.0,90251,42182,89789,266301,318346,2166185
2021-04-11,27125.0,13566.0,22561.0,97958.0,87612.0,914830.0,90251,42182,89789,266301,318346,2166185
2021-04-12,27216.0,13615.0,22652.0,98357.0,87857.0,917259.0,90251,42182,89789,266301,318346,2166185
2021-04-13,27342.0,13706.0,22834.0,99036.0,88914.0,924868.0,90251,42182,89789,266301,318346,2166185
2021-04-14,27678.0,13923.0,23387.0,100135.0,91147.0,942438.0,90251,42182,89789,266301,318346,2166185
2021-04-15,28056.0,14217.0,24087.0,101759.0,94780.0,967624.0,90251,42182,89789,266301,318346,2166185
2021-04-16,28476.0,14518.0,24745.0,103110.0,98350.0,994098.0,90251,42182,89789,266301,318346,2166185
2021-04-17,29015.0,14875.0,25627.0,105441.0,102557.0,1024268.0,90251,42182,89789,266301,318346,2166185
2021-04-18,29330.0,15092.0,26138.0,106799.0,105175.0,1042832.0,90251,42182,89789,266301,318346,2166185
2021-04-19,29624.0,15372.0,26712.0,107947.0,107933.0,1063097.0,90251,42182,89789,266301,318346,2166185
2021-04-20,30002.0,15589.0,27265.0,109256.0,110495.0,1081521.0,90251,42182,89789,266301,318346,2166185
2021-04-21,30450.0,15869.0,27958.0,110852.0,113428.0,1103186.0,90251,42182,89789,266301,318346,2166185
2021-04-22,30863.0,16184.0,28623.0,112238.0,116893.0,1126965.0,90251,42182,89789,266301,318346,2166185
